x,y
340,0
341.771,51
343.542,0
345.312,49
347.083,7
348.854,132
350.625,0
352.396,54
354.167,71
355.938,97
357.708,0
359.479,139
361.25,22
363.021,76
364.792,2
366.562,28
368.333,48
370.104,15
371.875,77
373.646,63
375.417,83
377.188,66
378.958,0
380.729,6
382.5,75
384.271,0
386.042,0
387.812,58
389.583,24
391.354,28
393.125,156
394.896,72
396.667,104
398.438,72
400.208,0
401.979,94
403.75,0
405.521,66
407.292,59
409.062,71
410.833,86
412.604,71
414.375,0
416.146,67
417.917,71
419.688,27
421.458,92
423.229,117
425,189
426.771,357
428.542,286
430.312,462
432.083,557
433.854,830
435.625,1197
437.396,1940
439.167,2997
440.938,3939
442.708,5165
444.479,5697
446.25,6212
448.021,6046
449.792,5678
451.562,5242
453.333,5476
455.104,5489
456.875,5477
458.646,5366
460.417,5344
462.188,5373
463.958,5640
465.729,5755
467.5,6400
469.271,6582
471.042,7022
472.812,7268
474.583,7276
476.354,7683
478.125,7861
479.896,7782
481.667,7943
483.438,7781
485.208,7380
486.979,7716
488.75,7904
490.521,8160
492.292,8566
494.062,8669
495.833,9040
497.604,9311
499.375,9362
501.146,9734
502.917,9818
504.688,10088
506.458,10187
508.229,10158
510,10724
511.771,10839
513.542,10984
515.312,10977
517.083,11146
518.854,11163
520.625,10793
522.396,10561
524.167,10794
525.938,10401
527.708,10113
529.479,10319
531.25,10241
533.021,10312
534.792,10134
536.562,9904
538.333,9993
540.104,9930
541.875,9972
543.646,10102
545.417,9645
547.188,9504
548.958,9554
550.729,9605
552.5,9647
554.271,9465
556.042,9228
557.812,9397
559.583,9426
561.354,9420
563.125,9447
564.896,9473
566.667,9453
568.438,9425
570.208,9339
571.979,9006
573.75,9063
575.521,9086
577.292,8871
579.062,8817
580.833,8467
582.604,8469
584.375,8277
586.146,8018
587.917,7716
589.688,7868
591.458,7458
593.229,7263
595,6950
596.771,7017
598.542,6807
600.312,6632
602.083,6471
603.854,6299
605.625,6083
607.396,5727
609.167,5813
610.938,5471
612.708,5166
614.479,5023
616.25,4888
618.021,4690
619.792,4401
621.562,4290
623.333,4103
625.104,3792
626.875,3768
628.646,3653
630.417,3562
632.188,3413
633.958,3237
635.729,3100
637.5,2868
639.271,2823
641.042,2677
642.812,2518
644.583,2504
646.354,2361
648.125,2305
649.896,2113
651.667,2040
653.438,1963
655.208,1643
656.979,1835
658.75,1488
660.521,1511
662.292,1289
664.062,1283
665.833,1319
667.604,1394
669.375,1159
671.146,1112
672.917,1002
674.688,984
676.458,924
678.229,940
680,864
681.771,753
683.542,763
685.312,660
687.083,545
688.854,605
690.625,637
692.396,577
694.167,480
695.938,427
697.708,544
699.479,394
701.25,376
703.021,438
704.792,398
706.562,362
708.333,318
710.104,298
711.875,450
713.646,278
715.417,342
717.188,238
718.958,158
720.729,303
722.5,165
724.271,205
726.042,140
727.812,232
729.583,205
731.354,294
733.125,132
734.896,155
736.667,149
738.438,240
740.208,262
741.979,96
743.75,58
745.521,56
747.292,176
749.062,0
750.833,118
752.604,147
754.375,76
756.146,193
757.917,192
759.688,25
761.458,28
763.229,45
765,54
766.771,69
768.542,76
770.312,49
772.083,60
773.854,35
775.625,27
777.396,75
779.167,58
780.938,119
782.708,62
784.479,86
786.25,0
788.021,146
789.792,7
791.562,60
793.333,24
795.104,29
796.875,30
798.646,95
800.417,16
802.188,25
803.958,139
805.729,135
807.5,96
809.271,29
811.042,45
812.812,57
814.583,70
816.354,47
818.125,0
819.896,0
821.667,50
823.438,57
825.208,57
826.979,43
828.75,0
830.521,90
832.292,94
834.062,30
835.833,0
837.604,77
839.375,12
841.146,68
842.917,44
844.688,0
846.458,32
848.229,119
