x,y
340,0
341.771,56
343.542,0
345.312,0
347.083,36
348.854,112
350.625,81
352.396,0
354.167,63
355.938,13
357.708,0
359.479,73
361.25,26
363.021,0
364.792,0
366.562,0
368.333,49
370.104,165
371.875,0
373.646,26
375.417,18
377.188,50
378.958,0
380.729,13
382.5,3
384.271,211
386.042,284
387.812,522
389.583,439
391.354,442
393.125,269
394.896,179
396.667,144
398.438,25
400.208,117
401.979,88
403.75,176
405.521,335
407.292,345
409.062,461
410.833,526
412.604,831
414.375,1072
416.146,1599
417.917,1916
419.688,2444
421.458,3054
423.229,3232
425,3406
426.771,3713
428.542,3847
430.312,4249
432.083,4502
433.854,4990
435.625,5195
437.396,5575
439.167,5666
440.938,5585
442.708,5505
444.479,5210
446.25,5135
448.021,5054
449.792,4917
451.562,4751
453.333,4390
455.104,4165
456.875,3884
458.646,3741
460.417,3309
462.188,3103
463.958,2766
465.729,2421
467.5,2113
469.271,1882
471.042,1832
472.812,1646
474.583,1572
476.354,1429
478.125,1348
479.896,1247
481.667,1148
483.438,1061
485.208,1042
486.979,997
488.75,749
490.521,819
492.292,804
494.062,727
495.833,692
497.604,658
499.375,633
501.146,475
502.917,527
504.688,455
506.458,442
508.229,340
510,378
511.771,280
513.542,346
515.312,307
517.083,330
518.854,205
520.625,261
522.396,205
524.167,241
525.938,260
527.708,93
529.479,253
531.25,247
533.021,102
534.792,127
536.562,170
538.333,239
540.104,77
541.875,73
543.646,95
545.417,33
547.188,107
548.958,177
550.729,17
552.5,152
554.271,17
556.042,80
557.812,98
559.583,52
561.354,38
563.125,0
564.896,74
566.667,13
568.438,62
570.208,29
571.979,76
573.75,63
575.521,8
577.292,167
579.062,64
580.833,0
582.604,0
584.375,1
586.146,23
587.917,44
589.688,63
591.458,38
593.229,70
595,51
596.771,48
598.542,0
600.312,0
602.083,146
603.854,70
605.625,57
607.396,43
609.167,58
610.938,48
612.708,1
614.479,133
616.25,81
618.021,26
619.792,0
621.562,0
623.333,0
625.104,108
626.875,0
628.646,29
630.417,0
632.188,109
633.958,90
635.729,107
637.5,34
639.271,87
641.042,86
642.812,149
644.583,102
646.354,58
648.125,0
649.896,0
651.667,61
653.438,0
655.208,48
656.979,0
658.75,61
660.521,0
662.292,75
664.062,0
665.833,0
667.604,0
669.375,35
671.146,0
672.917,37
674.688,0
676.458,12
678.229,15
680,0
681.771,145
683.542,17
685.312,73
687.083,21
688.854,13
690.625,0
692.396,0
694.167,41
695.938,0
697.708,48
699.479,0
701.25,145
703.021,45
704.792,113
706.562,0
708.333,0
710.104,0
711.875,0
713.646,58
715.417,0
717.188,39
718.958,31
720.729,0
722.5,36
724.271,35
726.042,20
727.812,0
729.583,0
731.354,60
733.125,17
734.896,0
736.667,0
738.438,97
740.208,6
741.979,77
743.75,3
745.521,80
747.292,0
749.062,0
750.833,0
752.604,6
754.375,81
756.146,122
757.917,0
759.688,0
761.458,0
763.229,53
765,33
766.771,57
768.542,36
770.312,32
772.083,13
773.854,35
775.625,15
777.396,35
779.167,9
780.938,14
782.708,100
784.479,95
786.25,25
788.021,0
789.792,83
791.562,35
793.333,7
795.104,13
796.875,6
798.646,0
800.417,0
802.188,186
803.958,159
805.729,0
807.5,0
809.271,0
811.042,0
812.812,0
814.583,32
816.354,83
818.125,15
819.896,0
821.667,0
823.438,0
825.208,32
826.979,48
828.75,0
830.521,0
832.292,0
834.062,0
835.833,0
837.604,29
839.375,0
841.146,0
842.917,0
844.688,42
846.458,51
848.229,0
