x,y
900.989,11221
904.913,12340
908.832,13811
914.051,14936
917.96,16443
921.865,18142
925.765,20629
929.661,22851
933.553,25890
937.44,29671
941.322,32392
945.2,35810
949.074,39201
954.232,42368
958.095,45132
961.954,48059
965.809,49442
969.659,52056
973.505,53301
977.346,54707
981.182,55741
985.015,55987
990.118,56143
993.94,55509
997.757,55185
1001.57,55260
1005.38,54849
1009.18,54393
1012.98,53567
1016.78,53489
1020.57,53193
1024.36,53766
1029.4,53894
1033.17,53570
1036.95,53377
1040.71,53465
1044.48,54575
1048.23,54751
1051.99,55123
1055.74,55533
1059.48,55627
1063.22,56377
1068.2,56689
1071.93,56886
1075.66,57063
1079.38,57174
1083.1,57226
1086.81,57421
1090.52,57062
1094.22,57046
1097.92,57161
1102.85,56784
1106.54,56375
1110.22,56591
1113.9,55965
1117.58,55803
1121.25,55587
1124.92,54751
1128.58,53626
1132.24,52694
1135.89,51163
1140.76,49110
1144.4,46061
1148.04,43266
1151.67,39741
1155.3,35733
1158.93,32544
1162.55,30520
1166.16,29672
1169.78,29311
1173.38,29362
1178.19,27545
1181.79,25155
1185.38,20850
1188.97,21173
1192.55,19083
1196.13,17650
1199.71,16773
1203.28,15431
1206.84,15440
1211.59,17101
1215.15,19556
1218.7,24696
1222.25,30411
1225.79,36642
1229.33,42818
1232.86,48646
1236.39,53127
1239.92,57382
1243.44,60696
1248.12,64328
1251.63,66837
1255.14,68910
1258.64,70985
1262.14,72771
1265.63,74603
1269.12,76224
1272.6,77507
1276.08,78994
1279.56,80080
1284.18,81230
1287.65,81735
1291.11,82228
1294.56,82540
1298.01,83567
1301.46,83828
1304.9,84040
1308.34,84356
1311.77,84624
1316.34,85120
1319.77,85049
1323.19,84759
1326.6,84206
1330.01,83877
1333.42,83846
1336.82,82811
1340.21,82085
1343.61,80957
1346.99,78441
1351.5,75329
1354.88,71249
1358.25,67297
1361.62,63822
1364.99,60328
1368.34,56395
1371.7,51153
1375.05,46240
1378.4,40805
1381.74,35043
1386.19,30041
1389.52,27982
1392.85,28244
1396.17,29053
1399.49,29338
1402.8,28791
1406.11,27577
1409.41,26130
1412.72,26168
1417.11,26819
1420.4,28221
1423.68,29299
1426.97,29885
1430.24,30560
1433.52,32051
1436.78,33229
1440.05,34942
1443.31,37415
1446.56,38855
1450.89,40952
1454.14,42149
1457.38,43823
1460.61,45250
1463.84,46391
1467.07,47155
1470.29,47766
1473.51,48977
1476.72,49828
1479.93,50447
1484.2,51638
1487.4,51637
1490.6,52361
1493.79,52320
1496.97,52586
1500.15,52579
1503.33,52033
1506.5,51827
1509.67,51431
1513.88,51525
1517.04,50172
1520.19,50174
1523.34,49787
1526.49,48717
1529.63,48391
1532.76,48111
1535.89,47599
1539.02,47619
1542.14,47579
1546.29,47018
1549.41,46959
1552.51,46031
1555.61,45404
1558.71,45038
1561.81,44455
1564.9,43431
1567.98,42330
1571.06,41797
1574.14,41440
1578.23,40646
1581.3,40182
1584.36,39292
1587.41,38815
1590.47,37906
1593.51,36807
1596.56,36375
1599.6,35068
1602.63,33889
1606.67,32636
1609.69,30988
1612.71,29829
1615.73,29666
1618.74,28237
1621.75,27697
1624.75,26460
1627.75,25121
1630.74,23895
1633.73,22198
1637.71,21117
1640.68,19856
1643.66,18437
1646.63,16436
1649.59,14971
1652.55,13858
1655.51,11990
1658.46,9941
1661.41,8549
1664.35,7252
1668.27,6485
1671.2,5672
1674.13,5467
1677.05,3714
1679.97,2636
1682.89,2065
1685.8,1494
1688.7,962
1691.61,-23
1694.5,428
1698.36,178
1701.25,-11
