x,y
340,0
341.771,6
343.542,16
345.312,31
347.083,70
348.854,0
350.625,36
352.396,51
354.167,34
355.938,45
357.708,231
359.479,111
361.25,39
363.021,73
364.792,47
366.562,0
368.333,11
370.104,0
371.875,0
373.646,94
375.417,141
377.188,51
378.958,46
380.729,0
382.5,64
384.271,6
386.042,118
387.812,0
389.583,0
391.354,79
393.125,91
394.896,90
396.667,8
398.438,93
400.208,209
401.979,236
403.75,349
405.521,439
407.292,483
409.062,385
410.833,434
412.604,528
414.375,505
416.146,660
417.917,771
419.688,979
421.458,1050
423.229,1252
425,1224
426.771,1123
428.542,1340
430.312,1317
432.083,1434
433.854,1657
435.625,1621
437.396,1745
439.167,1770
440.938,1884
442.708,1738
444.479,1987
446.25,1922
448.021,1767
449.792,1902
451.562,1864
453.333,1999
455.104,1974
456.875,2145
458.646,2177
460.417,2232
462.188,2333
463.958,2255
465.729,2264
467.5,2268
469.271,2302
471.042,2178
472.812,2147
474.583,2184
476.354,2090
478.125,2138
479.896,2145
481.667,2094
483.438,2006
485.208,1873
486.979,2121
488.75,2206
490.521,2379
492.292,2434
494.062,2573
495.833,2853
497.604,2762
499.375,2882
501.146,2885
502.917,2672
504.688,2752
506.458,2504
508.229,2590
510,2431
511.771,2489
513.542,2490
515.312,2512
517.083,2433
518.854,2446
520.625,2406
522.396,2238
524.167,2326
525.938,2137
527.708,1958
529.479,1885
531.25,1839
533.021,1830
534.792,1718
536.562,1533
538.333,1564
540.104,1561
541.875,1390
543.646,1352
545.417,1250
547.188,1167
548.958,1161
550.729,1032
552.5,1034
554.271,963
556.042,914
557.812,878
559.583,831
561.354,766
563.125,803
564.896,742
566.667,645
568.438,745
570.208,561
571.979,609
573.75,593
575.521,625
577.292,429
579.062,540
580.833,508
582.604,684
584.375,607
586.146,676
587.917,595
589.688,694
591.458,810
593.229,782
595,991
596.771,1131
598.542,1456
600.312,1822
602.083,2487
603.854,3089
605.625,3922
607.396,5326
609.167,6780
610.938,8351
612.708,10535
614.479,13216
616.25,16099
618.021,18903
619.792,21611
621.562,24544
623.333,25967
625.104,26910
626.875,27176
628.646,26028
630.417,24159
632.188,21477
633.958,18534
635.729,15943
637.5,13660
639.271,11760
641.042,10197
642.812,9160
644.583,8360
646.354,7775
648.125,7493
649.896,7393
651.667,7312
653.438,7230
655.208,6986
656.979,7106
658.75,6711
660.521,7198
662.292,7068
664.062,7080
665.833,7032
667.604,7149
669.375,6880
671.146,6798
672.917,6417
674.688,6111
676.458,5873
678.229,5456
680,5002
681.771,4552
683.542,4318
685.312,3765
687.083,3580
688.854,3235
690.625,2998
692.396,2729
694.167,2606
695.938,2413
697.708,2251
699.479,2101
701.25,1931
703.021,1747
704.792,1441
706.562,1463
708.333,1391
710.104,1285
711.875,1071
713.646,1042
715.417,900
717.188,730
718.958,623
720.729,622
722.5,568
724.271,524
726.042,414
727.812,427
729.583,460
731.354,483
733.125,399
734.896,329
736.667,358
738.438,348
740.208,346
741.979,357
743.75,219
745.521,259
747.292,387
749.062,236
750.833,240
752.604,270
754.375,282
756.146,320
757.917,242
759.688,299
761.458,175
763.229,179
765,105
766.771,168
768.542,114
770.312,114
772.083,78
773.854,167
775.625,177
777.396,145
779.167,131
780.938,122
782.708,122
784.479,152
786.25,132
788.021,115
789.792,150
791.562,109
793.333,154
795.104,29
796.875,42
798.646,27
800.417,70
802.188,131
803.958,0
805.729,115
807.5,59
809.271,86
811.042,0
812.812,0
814.583,9
816.354,0
818.125,89
819.896,60
821.667,65
823.438,0
825.208,129
826.979,68
828.75,23
830.521,39
832.292,44
834.062,148
835.833,39
837.604,37
839.375,183
841.146,36
842.917,35
844.688,58
846.458,133
848.229,70
