x,y
900.989,11912
904.913,13128
908.832,13997
914.051,15908
917.96,16971
921.865,18947
925.765,20865
929.661,23788
933.553,26933
937.44,30270
941.322,34001
945.2,37333
949.074,40726
954.232,45000
958.095,46998
961.954,49224
965.809,51259
969.659,53669
973.505,55386
977.346,57026
981.182,58212
985.015,58471
990.118,58074
993.94,57592
997.757,57478
1001.57,57044
1005.38,56720
1009.18,56171
1012.98,56056
1016.78,55936
1020.57,56013
1024.36,55663
1029.4,55533
1033.17,56028
1036.95,55702
1040.71,55676
1044.48,56333
1048.23,56570
1051.99,57288
1055.74,57622
1059.48,57081
1063.22,58060
1068.2,58393
1071.93,58388
1075.66,58624
1079.38,58807
1083.1,58838
1086.81,59363
1090.52,59210
1094.22,59130
1097.92,59223
1102.85,59284
1106.54,58799
1110.22,58638
1113.9,58722
1117.58,58435
1121.25,58136
1124.92,57402
1128.58,56459
1132.24,55705
1135.89,54650
1140.76,52181
1144.4,49938
1148.04,46816
1151.67,43902
1155.3,41000
1158.93,37203
1162.55,34327
1166.16,33067
1169.78,32032
1173.38,31404
1178.19,29326
1181.79,26734
1185.38,21310
1188.97,21593
1192.55,19692
1196.13,17822
1199.71,16522
1203.28,14857
1206.84,13759
1211.59,15135
1215.15,17694
1218.7,22774
1222.25,28620
1225.79,36133
1229.33,42605
1232.86,48542
1236.39,54207
1239.92,58274
1243.44,62458
1248.12,66776
1251.63,69208
1255.14,71060
1258.64,73292
1262.14,76046
1265.63,77378
1269.12,79200
1272.6,80904
1276.08,81703
1279.56,82712
1284.18,83764
1287.65,85025
1291.11,86274
1294.56,86090
1298.01,86764
1301.46,87400
1304.9,87995
1308.34,87962
1311.77,88219
1316.34,88846
1319.77,88413
1323.19,88511
1326.6,88558
1330.01,87840
1333.42,87265
1336.82,86261
1340.21,85955
1343.61,84829
1346.99,82175
1351.5,79079
1354.88,74760
1358.25,70678
1361.62,66999
1364.99,62866
1368.34,57780
1371.7,53241
1375.05,47555
1378.4,41798
1381.74,36526
1386.19,30359
1389.52,27347
1392.85,26699
1396.17,28166
1399.49,29076
1402.8,28973
1406.11,27342
1409.41,26025
1412.72,25204
1417.11,25932
1420.4,27269
1423.68,28673
1426.97,29807
1430.24,30715
1433.52,31758
1436.78,33116
1440.05,34430
1443.31,36169
1446.56,38674
1450.89,41173
1454.14,42784
1457.38,44463
1460.61,45613
1463.84,46631
1467.07,47781
1470.29,48922
1473.51,50118
1476.72,51080
1479.93,51860
1484.2,52823
1487.4,53399
1490.6,53413
1493.79,53842
1496.97,53940
1500.15,54232
1503.33,54104
1506.5,53930
1509.67,53930
1513.88,53091
1517.04,52393
1520.19,51944
1523.34,51553
1526.49,51355
1529.63,50425
1532.76,49527
1535.89,49883
1539.02,49779
1542.14,49122
1546.29,49565
1549.41,48949
1552.51,48501
1555.61,47822
1558.71,47700
1561.81,47155
1564.9,46064
1567.98,45005
1571.06,44042
1574.14,43496
1578.23,42895
1581.3,42456
1584.36,42004
1587.41,40429
1590.47,39560
1593.51,38709
1596.56,38184
1599.6,37024
1602.63,35974
1606.67,34779
1609.69,33389
1612.71,32432
1615.73,31998
1618.74,30628
1621.75,29498
1624.75,28176
1627.75,26734
1630.74,25950
1633.73,24299
1637.71,23066
1640.68,22067
1643.66,20671
1646.63,19009
1649.59,17607
1652.55,16152
1655.51,14511
1658.46,13077
1661.41,11065
1664.35,9640
1668.27,8070
1671.2,7858
1674.13,6095
1677.05,5136
1679.97,3749
1682.89,2792
1685.8,1646
1688.7,938
1691.61,556
1694.5,707
1698.36,336
1701.25,702
