x,y
340,0
341.771,65
343.542,8
345.312,68
347.083,148
348.854,56
350.625,109
352.396,18
354.167,72
355.938,0
357.708,93
359.479,55
361.25,57
363.021,135
364.792,74
366.562,77
368.333,45
370.104,78
371.875,139
373.646,52
375.417,15
377.188,30
378.958,41
380.729,109
382.5,89
384.271,38
386.042,56
387.812,57
389.583,12
391.354,7
393.125,108
394.896,0
396.667,20
398.438,67
400.208,32
401.979,96
403.75,93
405.521,136
407.292,26
409.062,115
410.833,96
412.604,35
414.375,86
416.146,22
417.917,0
419.688,0
421.458,74
423.229,45
425,24
426.771,115
428.542,120
430.312,147
432.083,180
433.854,249
435.625,349
437.396,578
439.167,646
440.938,891
442.708,1262
444.479,1424
446.25,1439
448.021,1273
449.792,1242
451.562,1180
453.333,1186
455.104,994
456.875,1072
458.646,951
460.417,910
462.188,789
463.958,805
465.729,751
467.5,697
469.271,846
471.042,924
472.812,906
474.583,1156
476.354,1485
478.125,1655
479.896,1888
481.667,2106
483.438,2628
485.208,2906
486.979,3437
488.75,4242
490.521,4900
492.292,6008
494.062,6870
495.833,7835
497.604,8416
499.375,9087
501.146,9467
502.917,9586
504.688,9632
506.458,9715
508.229,9935
510,10439
511.771,11395
513.542,11972
515.312,12744
517.083,13288
518.854,13541
520.625,13764
522.396,13972
524.167,13672
525.938,13811
527.708,14075
529.479,14130
531.25,14234
533.021,14505
534.792,14567
536.562,14507
538.333,14707
540.104,14926
541.875,15045
543.646,15049
545.417,14432
547.188,14675
548.958,14643
550.729,14195
552.5,14166
554.271,13868
556.042,13488
557.812,13384
559.583,12720
561.354,12058
563.125,11747
564.896,11456
566.667,11298
568.438,11308
570.208,11066
571.979,11146
573.75,11308
575.521,11207
577.292,11013
579.062,11051
580.833,10912
582.604,10711
584.375,10582
586.146,10288
587.917,9869
589.688,9545
591.458,9301
593.229,8651
595,8308
596.771,7874
598.542,7139
600.312,6737
602.083,5934
603.854,5441
605.625,4730
607.396,4048
609.167,3512
610.938,2853
612.708,2390
614.479,2157
616.25,1865
618.021,1889
619.792,2070
621.562,2209
623.333,2333
625.104,2697
626.875,3019
628.646,3541
630.417,3797
632.188,4035
633.958,3984
635.729,4152
637.5,4226
639.271,3976
641.042,3933
642.812,3860
644.583,3485
646.354,3263
648.125,3434
649.896,3300
651.667,3065
653.438,2969
655.208,2942
656.979,2554
658.75,2596
660.521,2458
662.292,2453
664.062,2244
665.833,2191
667.604,2009
669.375,1831
671.146,1781
672.917,1897
674.688,1707
676.458,1627
678.229,1498
680,1369
681.771,1303
683.542,1195
685.312,1174
687.083,1158
688.854,862
690.625,996
692.396,879
694.167,913
695.938,840
697.708,773
699.479,766
701.25,707
703.021,643
704.792,648
706.562,574
708.333,585
710.104,469
711.875,509
713.646,448
715.417,574
717.188,495
718.958,438
720.729,393
722.5,268
724.271,321
726.042,364
727.812,233
729.583,366
731.354,295
733.125,292
734.896,185
736.667,235
738.438,340
740.208,245
741.979,193
743.75,147
745.521,286
747.292,213
749.062,185
750.833,117
752.604,129
754.375,208
756.146,83
757.917,150
759.688,140
761.458,94
763.229,134
765,128
766.771,145
768.542,131
770.312,56
772.083,62
773.854,52
775.625,105
777.396,42
779.167,155
780.938,165
782.708,101
784.479,113
786.25,72
788.021,155
789.792,46
791.562,0
793.333,2
795.104,145
796.875,86
798.646,156
800.417,99
802.188,24
803.958,166
805.729,42
807.5,2
809.271,93
811.042,45
812.812,17
814.583,26
816.354,17
818.125,47
819.896,95
821.667,95
823.438,70
825.208,79
826.979,46
828.75,7
830.521,53
832.292,96
834.062,14
835.833,60
837.604,0
839.375,0
841.146,69
842.917,137
844.688,39
846.458,78
848.229,0
