x,y
900.989,9669
904.913,10446
908.832,11395
914.051,12416
917.96,13633
921.865,15390
925.765,17803
929.661,19384
933.553,21825
937.44,24866
941.322,27254
945.2,30463
949.074,33562
954.232,36087
958.095,38497
961.954,39542
965.809,41701
969.659,43401
973.505,44605
977.346,45078
981.182,46609
985.015,46589
990.118,46902
993.94,46397
997.757,45526
1001.57,45547
1005.38,44852
1009.18,44676
1012.98,44579
1016.78,44308
1020.57,44420
1024.36,44364
1029.4,44110
1033.17,44172
1036.95,44034
1040.71,44249
1044.48,44256
1048.23,45003
1051.99,45207
1055.74,45590
1059.48,45846
1063.22,45900
1068.2,46220
1071.93,46210
1075.66,46450
1079.38,46821
1083.1,46789
1086.81,46974
1090.52,46956
1094.22,46962
1097.92,46660
1102.85,46988
1106.54,46862
1110.22,46793
1113.9,46171
1117.58,46407
1121.25,45937
1124.92,45513
1128.58,45060
1132.24,44394
1135.89,43605
1140.76,41343
1144.4,39852
1148.04,37780
1151.67,34895
1155.3,32832
1158.93,30018
1162.55,27480
1166.16,26258
1169.78,26215
1173.38,25342
1178.19,23519
1181.79,21585
1185.38,17970
1188.97,17171
1192.55,15728
1196.13,14226
1199.71,13335
1203.28,12179
1206.84,11096
1211.59,12160
1215.15,14483
1218.7,18364
1222.25,23041
1225.79,28830
1229.33,34699
1232.86,38912
1236.39,43734
1239.92,47231
1243.44,50475
1248.12,53582
1251.63,55764
1255.14,57814
1258.64,59227
1262.14,61540
1265.63,62522
1269.12,63773
1272.6,64936
1276.08,66293
1279.56,67095
1284.18,67998
1287.65,68470
1291.11,68997
1294.56,69260
1298.01,69756
1301.46,70499
1304.9,71105
1308.34,71417
1311.77,70965
1316.34,71251
1319.77,71426
1323.19,71609
1326.6,71115
1330.01,70988
1333.42,70707
1336.82,70157
1340.21,69114
1343.61,68179
1346.99,66930
1351.5,63702
1354.88,60477
1358.25,57171
1361.62,54063
1364.99,51083
1368.34,47304
1371.7,43132
1375.05,38548
1378.4,33927
1381.74,29348
1386.19,24214
1389.52,22031
1392.85,21616
1396.17,22953
1399.49,23828
1402.8,22990
1406.11,22392
1409.41,20728
1412.72,20343
1417.11,21221
1420.4,22189
1423.68,23076
1426.97,23735
1430.24,24596
1433.52,25080
1436.78,26447
1440.05,28064
1443.31,29559
1446.56,30987
1450.89,33120
1454.14,34655
1457.38,35472
1460.61,36538
1463.84,37579
1467.07,38687
1470.29,39894
1473.51,40142
1476.72,41026
1479.93,41688
1484.2,42666
1487.4,43461
1490.6,43782
1493.79,43085
1496.97,43812
1500.15,44229
1503.33,43307
1506.5,43282
1509.67,43077
1513.88,42707
1517.04,42427
1520.19,41973
1523.34,41509
1526.49,40921
1529.63,40850
1532.76,40019
1535.89,40038
1539.02,39871
1542.14,39913
1546.29,40215
1549.41,39752
1552.51,39199
1555.61,39020
1558.71,38227
1561.81,37898
1564.9,37195
1567.98,36802
1571.06,36279
1574.14,35765
1578.23,35090
1581.3,34919
1584.36,34239
1587.41,33455
1590.47,33040
1593.51,32126
1596.56,31071
1599.6,30371
1602.63,29486
1606.67,28508
1609.69,27757
1612.71,26731
1615.73,25700
1618.74,25309
1621.75,24326
1624.75,23169
1627.75,22438
1630.74,21175
1633.73,19841
1637.71,18846
1640.68,17641
1643.66,16843
1646.63,15742
1649.59,14195
1652.55,13173
1655.51,11863
1658.46,10962
1661.41,9214
1664.35,7673
1668.27,6591
1671.2,5795
1674.13,4773
1677.05,4010
1679.97,2859
1682.89,1274
1685.8,1014
1688.7,828
1691.61,40
1694.5,403
1698.36,224
1701.25,310
