x,y
900.989,9692
904.913,10597
908.832,11222
914.051,12867
917.96,13644
921.865,14813
925.765,16333
929.661,18902
933.553,21463
937.44,23818
941.322,27098
945.2,29471
949.074,32189
954.232,35106
958.095,36915
961.954,38612
965.809,40583
969.659,41914
973.505,43570
977.346,44791
981.182,45317
985.015,45832
990.118,45220
993.94,44732
997.757,44790
1001.57,44506
1005.38,43889
1009.18,43839
1012.98,43826
1016.78,43124
1020.57,43472
1024.36,42648
1029.4,43300
1033.17,42678
1036.95,42830
1040.71,42887
1044.48,43426
1048.23,43725
1051.99,43943
1055.74,44297
1059.48,44442
1063.22,44572
1068.2,44947
1071.93,45150
1075.66,45483
1079.38,45755
1083.1,45896
1086.81,45869
1090.52,45536
1094.22,45806
1097.92,45676
1102.85,45683
1106.54,45900
1110.22,45646
1113.9,45463
1117.58,44860
1121.25,44497
1124.92,44951
1128.58,44279
1132.24,43152
1135.89,42320
1140.76,40682
1144.4,38286
1148.04,36513
1151.67,33876
1155.3,31378
1158.93,28881
1162.55,26851
1166.16,25711
1169.78,25179
1173.38,24309
1178.19,22434
1181.79,20410
1185.38,18422
1188.97,16487
1192.55,15118
1196.13,13461
1199.71,12551
1203.28,11268
1206.84,11350
1211.59,12401
1215.15,14624
1218.7,18045
1222.25,23412
1225.79,29481
1229.33,34433
1232.86,39549
1236.39,43033
1239.92,46285
1243.44,49164
1248.12,52715
1251.63,54951
1255.14,56330
1258.64,58446
1262.14,59711
1265.63,61549
1269.12,62449
1272.6,64093
1276.08,64380
1279.56,65646
1284.18,67061
1287.65,67270
1291.11,68229
1294.56,68711
1298.01,68765
1301.46,69076
1304.9,69707
1308.34,69720
1311.77,70124
1316.34,70040
1319.77,70108
1323.19,70034
1326.6,69564
1330.01,69403
1333.42,69059
1336.82,68567
1340.21,67478
1343.61,67091
1346.99,64950
1351.5,61604
1354.88,58522
1358.25,55126
1361.62,52096
1364.99,49506
1368.34,45511
1371.7,41034
1375.05,36812
1378.4,32809
1381.74,28437
1386.19,23265
1389.52,21464
1392.85,21634
1396.17,22859
1399.49,23201
1402.8,22701
1406.11,21304
1409.41,20031
1412.72,19654
1417.11,20242
1420.4,21699
1423.68,22572
1426.97,23024
1430.24,23928
1433.52,24475
1436.78,25789
1440.05,26535
1443.31,29122
1446.56,29941
1450.89,32389
1454.14,33548
1457.38,35074
1460.61,35664
1463.84,36777
1467.07,37760
1470.29,39130
1473.51,39748
1476.72,40588
1479.93,41529
1484.2,42052
1487.4,42943
1490.6,42798
1493.79,43127
1496.97,43139
1500.15,43504
1503.33,43468
1506.5,42997
1509.67,43070
1513.88,42867
1517.04,42201
1520.19,41682
1523.34,40992
1526.49,41143
1529.63,40491
1532.76,40021
1535.89,39858
1539.02,39825
1542.14,39897
1546.29,39652
1549.41,39265
1552.51,39099
1555.61,38396
1558.71,38162
1561.81,37897
1564.9,37105
1567.98,36444
1571.06,36135
1574.14,35935
1578.23,34736
1581.3,34276
1584.36,33504
1587.41,32912
1590.47,32273
1593.51,31785
1596.56,30810
1599.6,30299
1602.63,29263
1606.67,27638
1609.69,27142
1612.71,26418
1615.73,25364
1618.74,24551
1621.75,23867
1624.75,23166
1627.75,22072
1630.74,21052
1633.73,19916
1637.71,18573
1640.68,17612
1643.66,16890
1646.63,15191
1649.59,13976
1652.55,12770
1655.51,12101
1658.46,10428
1661.41,8596
1664.35,7150
1668.27,6473
1671.2,5878
1674.13,4579
1677.05,4085
1679.97,2812
1682.89,2168
1685.8,1206
1688.7,450
1691.61,577
1694.5,-102
1698.36,358
1701.25,30
