x,y
340,0
341.771,33
343.542,2
345.312,10
347.083,0
348.854,0
350.625,67
352.396,24
354.167,0
355.938,0
357.708,16
359.479,0
361.25,0
363.021,44
364.792,3
366.562,0
368.333,3
370.104,0
371.875,0
373.646,36
375.417,36
377.188,0
378.958,31
380.729,22
382.5,115
384.271,102
386.042,298
387.812,530
389.583,645
391.354,506
393.125,406
394.896,133
396.667,64
398.438,36
400.208,66
401.979,133
403.75,237
405.521,359
407.292,378
409.062,449
410.833,653
412.604,903
414.375,989
416.146,1331
417.917,1717
419.688,2022
421.458,2281
423.229,2637
425,2780
426.771,2892
428.542,3042
430.312,3174
432.083,3578
433.854,3910
435.625,4024
437.396,4231
439.167,4515
440.938,4569
442.708,4538
444.479,4271
446.25,4387
448.021,4349
449.792,4278
451.562,4186
453.333,4120
455.104,4072
456.875,4009
458.646,3769
460.417,3665
462.188,3473
463.958,3079
465.729,2885
467.5,2715
469.271,2582
471.042,2306
472.812,2146
474.583,1877
476.354,1719
478.125,1730
479.896,1652
481.667,1376
483.438,1169
485.208,1289
486.979,1025
488.75,1089
490.521,1036
492.292,847
494.062,811
495.833,867
497.604,799
499.375,808
501.146,677
502.917,695
504.688,611
506.458,592
508.229,582
510,568
511.771,510
513.542,487
515.312,316
517.083,286
518.854,467
520.625,430
522.396,288
524.167,189
525.938,297
527.708,275
529.479,309
531.25,242
533.021,229
534.792,151
536.562,271
538.333,179
540.104,230
541.875,328
543.646,128
545.417,79
547.188,83
548.958,140
550.729,65
552.5,87
554.271,116
556.042,75
557.812,209
559.583,70
561.354,100
563.125,116
564.896,85
566.667,38
568.438,74
570.208,0
571.979,78
573.75,192
575.521,156
577.292,191
579.062,156
580.833,0
582.604,47
584.375,18
586.146,0
587.917,34
589.688,92
591.458,92
593.229,19
595,14
596.771,0
598.542,0
600.312,15
602.083,0
603.854,12
605.625,12
607.396,11
609.167,75
610.938,0
612.708,132
614.479,0
616.25,11
618.021,0
619.792,128
621.562,101
623.333,32
625.104,76
626.875,29
628.646,6
630.417,128
632.188,4
633.958,74
635.729,22
637.5,99
639.271,63
641.042,92
642.812,229
644.583,47
646.354,0
648.125,0
649.896,0
651.667,54
653.438,0
655.208,0
656.979,32
658.75,26
660.521,0
662.292,21
664.062,31
665.833,11
667.604,0
669.375,30
671.146,68
672.917,70
674.688,14
676.458,0
678.229,20
680,0
681.771,0
683.542,0
685.312,0
687.083,18
688.854,0
690.625,0
692.396,0
694.167,0
695.938,23
697.708,3
699.479,0
701.25,15
703.021,83
704.792,18
706.562,0
708.333,0
710.104,0
711.875,48
713.646,0
715.417,0
717.188,0
718.958,50
720.729,0
722.5,0
724.271,38
726.042,0
727.812,0
729.583,7
731.354,0
733.125,29
734.896,49
736.667,42
738.438,26
740.208,0
741.979,6
743.75,0
745.521,2
747.292,48
749.062,146
750.833,117
752.604,0
754.375,0
756.146,94
757.917,48
759.688,4
761.458,7
763.229,80
765,89
766.771,89
768.542,0
770.312,0
772.083,10
773.854,57
775.625,42
777.396,0
779.167,0
780.938,0
782.708,85
784.479,6
786.25,0
788.021,0
789.792,0
791.562,0
793.333,0
795.104,0
796.875,0
798.646,11
800.417,0
802.188,67
803.958,0
805.729,0
807.5,0
809.271,0
811.042,87
812.812,75
814.583,6
816.354,0
818.125,0
819.896,11
821.667,30
823.438,0
825.208,0
826.979,0
828.75,0
830.521,0
832.292,0
834.062,0
835.833,52
837.604,42
839.375,0
841.146,0
842.917,0
844.688,0
846.458,0
848.229,0
