x,y
900.989,10949
904.913,12079
908.832,12970
914.051,14105
917.96,15806
921.865,17248
925.765,19491
929.661,21770
933.553,24759
937.44,28520
941.322,31768
945.2,34755
949.074,37684
954.232,41294
958.095,43834
961.954,45890
965.809,47777
969.659,49557
973.505,51626
977.346,52444
981.182,53731
985.015,53956
990.118,54001
993.94,53651
997.757,53151
1001.57,52982
1005.38,52613
1009.18,52297
1012.98,52140
1016.78,51303
1020.57,51671
1024.36,51271
1029.4,51706
1033.17,51605
1036.95,51342
1040.71,51822
1044.48,51929
1048.23,52381
1051.99,52564
1055.74,53316
1059.48,53241
1063.22,53994
1068.2,54337
1071.93,54258
1075.66,54759
1079.38,54939
1083.1,54938
1086.81,55111
1090.52,55314
1094.22,54993
1097.92,54720
1102.85,55440
1106.54,54607
1110.22,54711
1113.9,54754
1117.58,54337
1121.25,53790
1124.92,53404
1128.58,52902
1132.24,51695
1135.89,50421
1140.76,48777
1144.4,46560
1148.04,44174
1151.67,40917
1155.3,37849
1158.93,34900
1162.55,32213
1166.16,30980
1169.78,29557
1173.38,29181
1178.19,26946
1181.79,24668
1185.38,22558
1188.97,19801
1192.55,18194
1196.13,15859
1199.71,14720
1203.28,13808
1206.84,13085
1211.59,14442
1215.15,16379
1218.7,20953
1222.25,26571
1225.79,33594
1229.33,39693
1232.86,45763
1236.39,49980
1239.92,54778
1243.44,58434
1248.12,62300
1251.63,64845
1255.14,66540
1258.64,69026
1262.14,71275
1265.63,73110
1269.12,74441
1272.6,75587
1276.08,77453
1279.56,77900
1284.18,78921
1287.65,79864
1291.11,80608
1294.56,81410
1298.01,81488
1301.46,81851
1304.9,82811
1308.34,82659
1311.77,83118
1316.34,82967
1319.77,82765
1323.19,82547
1326.6,82819
1330.01,82478
1333.42,81770
1336.82,81158
1340.21,80367
1343.61,79232
1346.99,77292
1351.5,73681
1354.88,69557
1358.25,65991
1361.62,62305
1364.99,58738
1368.34,54459
1371.7,49606
1375.05,44372
1378.4,39103
1381.74,33566
1386.19,28009
1389.52,25261
1392.85,25320
1396.17,26334
1399.49,26411
1402.8,26464
1406.11,25351
1409.41,23867
1412.72,23400
1417.11,24001
1420.4,25356
1423.68,26771
1426.97,27316
1430.24,28169
1433.52,29525
1436.78,30981
1440.05,32310
1443.31,34464
1446.56,36266
1450.89,38274
1454.14,40682
1457.38,41689
1460.61,43380
1463.84,44107
1467.07,45723
1470.29,46680
1473.51,47385
1476.72,48999
1479.93,48999
1484.2,49986
1487.4,50615
1490.6,51251
1493.79,51903
1496.97,51744
1500.15,51455
1503.33,51335
1506.5,51223
1509.67,51141
1513.88,50604
1517.04,50158
1520.19,49693
1523.34,49334
1526.49,48737
1529.63,48650
1532.76,48102
1535.89,47845
1539.02,47713
1542.14,47182
1546.29,46920
1549.41,46971
1552.51,47167
1555.61,45521
1558.71,45320
1561.81,44849
1564.9,43980
1567.98,43482
1571.06,42791
1574.14,42065
1578.23,41341
1581.3,40641
1584.36,40084
1587.41,39305
1590.47,38178
1593.51,37411
1596.56,36820
1599.6,36045
1602.63,35064
1606.67,33175
1609.69,31942
1612.71,31096
1615.73,29817
1618.74,29315
1621.75,28419
1624.75,27087
1627.75,26165
1630.74,24407
1633.73,23563
1637.71,21959
1640.68,21481
1643.66,19665
1646.63,18358
1649.59,17111
1652.55,15874
1655.51,14099
1658.46,12655
1661.41,11273
1664.35,9468
1668.27,7980
1671.2,7114
1674.13,6341
1677.05,4765
1679.97,3555
1682.89,2678
1685.8,1996
1688.7,689
1691.61,395
1694.5,959
1698.36,447
1701.25,224
