x,y
340,0
341.771,52
343.542,0
345.312,0
347.083,0
348.854,46
350.625,7
352.396,0
354.167,53
355.938,66
357.708,67
359.479,0
361.25,31
363.021,94
364.792,41
366.562,57
368.333,47
370.104,48
371.875,54
373.646,8
375.417,27
377.188,28
378.958,35
380.729,26
382.5,94
384.271,148
386.042,68
387.812,61
389.583,140
391.354,63
393.125,141
394.896,72
396.667,89
398.438,70
400.208,150
401.979,71
403.75,0
405.521,33
407.292,76
409.062,76
410.833,105
412.604,85
414.375,17
416.146,0
417.917,51
419.688,126
421.458,9
423.229,27
425,136
426.771,159
428.542,143
430.312,209
432.083,153
433.854,266
435.625,586
437.396,915
439.167,1432
440.938,2115
442.708,2913
444.479,3484
446.25,3930
448.021,4054
449.792,4407
451.562,4544
453.333,4931
455.104,5426
456.875,5470
458.646,5586
460.417,5607
462.188,5990
463.958,6296
465.729,6308
467.5,6637
469.271,6714
471.042,6956
472.812,6860
474.583,6943
476.354,7446
478.125,7199
479.896,7660
481.667,7505
483.438,7622
485.208,8002
486.979,8379
488.75,8535
490.521,9190
492.292,9933
494.062,10221
495.833,11223
497.604,11382
499.375,12491
501.146,12837
502.917,12836
504.688,13679
506.458,14038
508.229,14579
510,14882
511.771,15100
513.542,15517
515.312,15827
517.083,15947
518.854,16136
520.625,16178
522.396,16185
524.167,16206
525.938,16077
527.708,16184
529.479,16336
531.25,16539
533.021,16674
534.792,16358
536.562,17015
538.333,17262
540.104,17014
541.875,17313
543.646,17258
545.417,17146
547.188,17185
548.958,17247
550.729,17218
552.5,17232
554.271,17006
556.042,16447
557.812,16685
559.583,16291
561.354,16064
563.125,16429
564.896,16400
566.667,16542
568.438,16231
570.208,16176
571.979,15994
573.75,15671
575.521,15214
577.292,15225
579.062,14477
580.833,14359
582.604,13669
584.375,13171
586.146,12465
587.917,12012
589.688,11501
591.458,11062
593.229,10337
595,9777
596.771,9636
598.542,8978
600.312,8571
602.083,8312
603.854,8176
605.625,7925
607.396,7788
609.167,7467
610.938,7265
612.708,7158
614.479,6851
616.25,6889
618.021,6462
619.792,6246
621.562,6203
623.333,5995
625.104,5622
626.875,5705
628.646,5459
630.417,5154
632.188,5103
633.958,4758
635.729,4538
637.5,4525
639.271,4171
641.042,4187
642.812,3842
644.583,3443
646.354,3273
648.125,3374
649.896,3327
651.667,2944
653.438,2889
655.208,2843
656.979,2656
658.75,2376
660.521,2367
662.292,2084
664.062,2052
665.833,2019
667.604,1939
669.375,1839
671.146,1583
672.917,1556
674.688,1415
676.458,1438
678.229,1333
680,1389
681.771,1224
683.542,1183
685.312,1063
687.083,933
688.854,902
690.625,897
692.396,867
694.167,902
695.938,732
697.708,737
699.479,715
701.25,561
703.021,605
704.792,539
706.562,491
708.333,521
710.104,383
711.875,477
713.646,362
715.417,494
717.188,421
718.958,379
720.729,447
722.5,390
724.271,249
726.042,338
727.812,295
729.583,330
731.354,256
733.125,251
734.896,154
736.667,40
738.438,214
740.208,201
741.979,199
743.75,97
745.521,172
747.292,180
749.062,146
750.833,204
752.604,118
754.375,170
756.146,10
757.917,225
759.688,184
761.458,71
763.229,144
765,182
766.771,35
768.542,134
770.312,116
772.083,0
773.854,143
775.625,133
777.396,195
779.167,168
780.938,134
782.708,52
784.479,30
786.25,72
788.021,94
789.792,209
791.562,58
793.333,82
795.104,51
796.875,88
798.646,90
800.417,136
802.188,126
803.958,60
805.729,56
807.5,159
809.271,121
811.042,93
812.812,134
814.583,0
816.354,111
818.125,0
819.896,81
821.667,0
823.438,0
825.208,105
826.979,32
828.75,29
830.521,0
832.292,100
834.062,41
835.833,110
837.604,58
839.375,138
841.146,117
842.917,70
844.688,107
846.458,0
848.229,132
