x,y
340,0
341.771,6
343.542,1
345.312,180
347.083,186
348.854,351
350.625,174
352.396,77
354.167,171
355.938,210
357.708,186
359.479,86
361.25,259
363.021,211
364.792,182
366.562,201
368.333,104
370.104,154
371.875,215
373.646,141
375.417,186
377.188,158
378.958,142
380.729,244
382.5,108
384.271,104
386.042,117
387.812,111
389.583,269
391.354,186
393.125,113
394.896,130
396.667,223
398.438,406
400.208,904
401.979,1282
403.75,1872
405.521,2014
407.292,2412
409.062,2691
410.833,2828
412.604,2792
414.375,2922
416.146,2962
417.917,3113
419.688,3105
421.458,3087
423.229,3301
425,3528
426.771,3529
428.542,3800
430.312,3999
432.083,4176
433.854,4496
435.625,4527
437.396,4899
439.167,4791
440.938,4936
442.708,5268
444.479,5191
446.25,5463
448.021,5581
449.792,5672
451.562,5734
453.333,6026
455.104,6182
456.875,6386
458.646,6109
460.417,6078
462.188,6045
463.958,5896
465.729,5726
467.5,5514
469.271,5459
471.042,5300
472.812,5048
474.583,4960
476.354,5057
478.125,5004
479.896,4967
481.667,4978
483.438,4770
485.208,4825
486.979,5037
488.75,5017
490.521,5303
492.292,5333
494.062,5420
495.833,5441
497.604,5503
499.375,5437
501.146,5204
502.917,5134
504.688,4778
506.458,4427
508.229,4518
510,4448
511.771,4154
513.542,4045
515.312,4030
517.083,3823
518.854,3656
520.625,3601
522.396,3600
524.167,3441
525.938,3219
527.708,2993
529.479,2999
531.25,2926
533.021,2757
534.792,2750
536.562,2643
538.333,2591
540.104,2512
541.875,2441
543.646,2524
545.417,2388
547.188,2083
548.958,2125
550.729,2118
552.5,1982
554.271,1947
556.042,1911
557.812,1835
559.583,1779
561.354,1546
563.125,1595
564.896,1418
566.667,1473
568.438,1307
570.208,1314
571.979,1245
573.75,1374
575.521,1203
577.292,1154
579.062,1149
580.833,1141
582.604,1231
584.375,1287
586.146,1041
587.917,1126
589.688,1187
591.458,1119
593.229,1240
595,1438
596.771,1579
598.542,1712
600.312,2060
602.083,2651
603.854,3172
605.625,4184
607.396,5331
609.167,6593
610.938,8353
612.708,10312
614.479,12709
616.25,14936
618.021,17087
619.792,18945
621.562,20416
623.333,20763
625.104,20314
626.875,19332
628.646,17663
630.417,15372
632.188,13032
633.958,11053
635.729,9294
637.5,7882
639.271,6623
641.042,5700
642.812,5226
644.583,4680
646.354,4400
648.125,4273
649.896,4260
651.667,4135
653.438,3911
655.208,3902
656.979,3830
658.75,3763
660.521,3832
662.292,3895
664.062,3931
665.833,3901
667.604,3639
669.375,3447
671.146,3583
672.917,3406
674.688,3215
676.458,3107
678.229,2864
680,2652
681.771,2463
683.542,2198
685.312,2053
687.083,1952
688.854,1755
690.625,1523
692.396,1571
694.167,1320
695.938,1312
697.708,1157
699.479,1098
701.25,950
703.021,1125
704.792,970
706.562,949
708.333,649
710.104,777
711.875,510
713.646,533
715.417,613
717.188,560
718.958,398
720.729,383
722.5,418
724.271,350
726.042,386
727.812,409
729.583,385
731.354,318
733.125,339
734.896,319
736.667,280
738.438,279
740.208,326
741.979,411
743.75,278
745.521,174
747.292,347
749.062,286
750.833,280
752.604,220
754.375,331
756.146,276
757.917,190
759.688,287
761.458,125
763.229,151
765,282
766.771,198
768.542,171
770.312,233
772.083,185
773.854,279
775.625,264
777.396,108
779.167,288
780.938,212
782.708,232
784.479,135
786.25,116
788.021,217
789.792,179
791.562,174
793.333,77
795.104,195
796.875,181
798.646,194
800.417,140
802.188,276
803.958,117
805.729,162
807.5,176
809.271,109
811.042,153
812.812,127
814.583,246
816.354,102
818.125,225
819.896,98
821.667,172
823.438,198
825.208,141
826.979,151
828.75,121
830.521,129
832.292,175
834.062,196
835.833,179
837.604,105
839.375,184
841.146,220
842.917,185
844.688,132
846.458,293
848.229,122
