x,y
900.989,11057
904.913,11744
908.832,13098
914.051,14847
917.96,15618
921.865,17274
925.765,19591
929.661,21852
933.553,24688
937.44,28074
941.322,30806
945.2,33969
949.074,37049
954.232,40604
958.095,42495
961.954,45421
965.809,46921
969.659,48780
973.505,50437
977.346,51994
981.182,52652
985.015,53032
990.118,52692
993.94,52830
997.757,52212
1001.57,52065
1005.38,51820
1009.18,51472
1012.98,50747
1016.78,50674
1020.57,50891
1024.36,50751
1029.4,51006
1033.17,50496
1036.95,50292
1040.71,50920
1044.48,50961
1048.23,51728
1051.99,52300
1055.74,52672
1059.48,53081
1063.22,52890
1068.2,53587
1071.93,53726
1075.66,53804
1079.38,53767
1083.1,54564
1086.81,53511
1090.52,54125
1094.22,54599
1097.92,54047
1102.85,53681
1106.54,54277
1110.22,53562
1113.9,53044
1117.58,52812
1121.25,52292
1124.92,52108
1128.58,50831
1132.24,50262
1135.89,48785
1140.76,46254
1144.4,43368
1148.04,40861
1151.67,37688
1155.3,33678
1158.93,30847
1162.55,28533
1166.16,27769
1169.78,27782
1173.38,28403
1178.19,26123
1181.79,24236
1185.38,21756
1188.97,19322
1192.55,18111
1196.13,16982
1199.71,15631
1203.28,14939
1206.84,14667
1211.59,15955
1215.15,18356
1218.7,23191
1222.25,28701
1225.79,34268
1229.33,40589
1232.86,45823
1236.39,50498
1239.92,54070
1243.44,57221
1248.12,61392
1251.63,63695
1255.14,65903
1258.64,67494
1262.14,69884
1265.63,71514
1269.12,72790
1272.6,74228
1276.08,75463
1279.56,75957
1284.18,77642
1287.65,77885
1291.11,78994
1294.56,79465
1298.01,80201
1301.46,80415
1304.9,80904
1308.34,80607
1311.77,80955
1316.34,81130
1319.77,81289
1323.19,80740
1326.6,80762
1330.01,79908
1333.42,79336
1336.82,78451
1340.21,78209
1343.61,76863
1346.99,75314
1351.5,70882
1354.88,67757
1358.25,64405
1361.62,60765
1364.99,57106
1368.34,53190
1371.7,48964
1375.05,43519
1378.4,38499
1381.74,33547
1386.19,28763
1389.52,26717
1392.85,26405
1396.17,27272
1399.49,27699
1402.8,27458
1406.11,26003
1409.41,24584
1412.72,24803
1417.11,25229
1420.4,26963
1423.68,27755
1426.97,28501
1430.24,28978
1433.52,30425
1436.78,31695
1440.05,33424
1443.31,35454
1446.56,36697
1450.89,39133
1454.14,40802
1457.38,41655
1460.61,43145
1463.84,44485
1467.07,45283
1470.29,46455
1473.51,47133
1476.72,47979
1479.93,48948
1484.2,49842
1487.4,50905
1490.6,50705
1493.79,51085
1496.97,51161
1500.15,51021
1503.33,51100
1506.5,50492
1509.67,50826
1513.88,49838
1517.04,49565
1520.19,48985
1523.34,48670
1526.49,47904
1529.63,47375
1532.76,47116
1535.89,46760
1539.02,47132
1542.14,46509
1546.29,46414
1549.41,46255
1552.51,45624
1555.61,45011
1558.71,43940
1561.81,43596
1564.9,42226
1567.98,41644
1571.06,41138
1574.14,40737
1578.23,39828
1581.3,38960
1584.36,38630
1587.41,38231
1590.47,36911
1593.51,36107
1596.56,35929
1599.6,34284
1602.63,33287
1606.67,31554
1609.69,30817
1612.71,29084
1615.73,28686
1618.74,27967
1621.75,26979
1624.75,25907
1627.75,24421
1630.74,23704
1633.73,22378
1637.71,20583
1640.68,19207
1643.66,18202
1646.63,16136
1649.59,14760
1652.55,13506
1655.51,12162
1658.46,9739
1661.41,8440
1664.35,7799
1668.27,6533
1671.2,5906
1674.13,5081
1677.05,3687
1679.97,3092
1682.89,1958
1685.8,1708
1688.7,993
1691.61,428
1694.5,224
1698.36,102
1701.25,671
