x,y
340,0
341.771,9
343.542,0
345.312,82
347.083,49
348.854,0
350.625,20
352.396,82
354.167,59
355.938,0
357.708,0
359.479,154
361.25,120
363.021,94
364.792,33
366.562,16
368.333,129
370.104,20
371.875,108
373.646,32
375.417,69
377.188,93
378.958,186
380.729,12
382.5,116
384.271,70
386.042,122
387.812,151
389.583,110
391.354,0
393.125,59
394.896,82
396.667,0
398.438,0
400.208,60
401.979,145
403.75,130
405.521,155
407.292,132
409.062,31
410.833,0
412.604,3
414.375,108
416.146,50
417.917,47
419.688,122
421.458,13
423.229,66
425,46
426.771,123
428.542,162
430.312,104
432.083,126
433.854,308
435.625,457
437.396,508
439.167,725
440.938,894
442.708,1240
444.479,1335
446.25,1413
448.021,1431
449.792,1307
451.562,1502
453.333,1544
455.104,1698
456.875,1738
458.646,1751
460.417,1847
462.188,1751
463.958,1807
465.729,1770
467.5,1781
469.271,1931
471.042,1945
472.812,2189
474.583,2265
476.354,2669
478.125,2785
479.896,3136
481.667,3670
483.438,3988
485.208,4561
486.979,5080
488.75,5899
490.521,6829
492.292,7790
494.062,8890
495.833,9982
497.604,10928
499.375,11379
501.146,11776
502.917,12248
504.688,12170
506.458,12318
508.229,13002
510,13567
511.771,14307
513.542,15001
515.312,15755
517.083,16139
518.854,16453
520.625,16489
522.396,16441
524.167,16476
525.938,16469
527.708,16322
529.479,16613
531.25,16764
533.021,17043
534.792,16980
536.562,17134
538.333,17630
540.104,17746
541.875,18182
543.646,17846
545.417,17608
547.188,17834
548.958,17639
550.729,17482
552.5,17293
554.271,17078
556.042,16541
557.812,16433
559.583,16123
561.354,15241
563.125,15467
564.896,15056
566.667,15051
568.438,14559
570.208,14874
571.979,14494
573.75,14525
575.521,14445
577.292,14436
579.062,14247
580.833,14148
582.604,13506
584.375,13395
586.146,12764
587.917,12548
589.688,12127
591.458,11339
593.229,10994
595,10328
596.771,9951
598.542,9157
600.312,8607
602.083,7721
603.854,7370
605.625,6703
607.396,5901
609.167,5032
610.938,4369
612.708,4177
614.479,3452
616.25,3347
618.021,3342
619.792,3191
621.562,3448
623.333,3563
625.104,3915
626.875,4337
628.646,4453
630.417,4736
632.188,4622
633.958,4431
635.729,4487
637.5,4455
639.271,4224
641.042,4029
642.812,3901
644.583,3591
646.354,3541
648.125,3360
649.896,3274
651.667,3062
653.438,2846
655.208,2719
656.979,2580
658.75,2599
660.521,2354
662.292,2352
664.062,2377
665.833,2080
667.604,1917
669.375,1921
671.146,1843
672.917,1820
674.688,1733
676.458,1625
678.229,1482
680,1333
681.771,1195
683.542,1342
685.312,1176
687.083,1130
688.854,954
690.625,957
692.396,900
694.167,805
695.938,774
697.708,819
699.479,651
701.25,622
703.021,691
704.792,670
706.562,621
708.333,616
710.104,598
711.875,466
713.646,509
715.417,295
717.188,446
718.958,314
720.729,294
722.5,379
724.271,358
726.042,418
727.812,260
729.583,351
731.354,349
733.125,223
734.896,403
736.667,129
738.438,267
740.208,261
741.979,280
743.75,176
745.521,207
747.292,212
749.062,265
750.833,127
752.604,117
754.375,120
756.146,138
757.917,195
759.688,198
761.458,267
763.229,160
765,154
766.771,55
768.542,178
770.312,150
772.083,212
773.854,97
775.625,206
777.396,9
779.167,147
780.938,118
782.708,136
784.479,112
786.25,62
788.021,63
789.792,131
791.562,122
793.333,113
795.104,62
796.875,96
798.646,178
800.417,122
802.188,112
803.958,160
805.729,51
807.5,126
809.271,153
811.042,51
812.812,86
814.583,12
816.354,19
818.125,87
819.896,66
821.667,41
823.438,127
825.208,0
826.979,99
828.75,68
830.521,137
832.292,97
834.062,0
835.833,111
837.604,88
839.375,42
841.146,97
842.917,0
844.688,0
846.458,52
848.229,38
