x,y
340,0
341.771,59
343.542,7
345.312,99
347.083,31
348.854,48
350.625,33
352.396,205
354.167,94
355.938,126
357.708,0
359.479,47
361.25,20
363.021,97
364.792,0
366.562,92
368.333,14
370.104,92
371.875,73
373.646,98
375.417,80
377.188,29
378.958,83
380.729,62
382.5,123
384.271,80
386.042,0
387.812,65
389.583,86
391.354,55
393.125,104
394.896,78
396.667,34
398.438,21
400.208,0
401.979,148
403.75,157
405.521,0
407.292,142
409.062,41
410.833,100
412.604,26
414.375,84
416.146,63
417.917,98
419.688,12
421.458,82
423.229,43
425,94
426.771,63
428.542,132
430.312,144
432.083,125
433.854,463
435.625,620
437.396,1002
439.167,1382
440.938,2149
442.708,3102
444.479,3577
446.25,3847
448.021,4103
449.792,4285
451.562,4480
453.333,5038
455.104,5391
456.875,5501
458.646,5636
460.417,5564
462.188,6118
463.958,6160
465.729,6390
467.5,6437
469.271,6748
471.042,6803
472.812,7125
474.583,6997
476.354,7255
478.125,7387
479.896,7511
481.667,7639
483.438,7602
485.208,7880
486.979,8305
488.75,8465
490.521,9204
492.292,9978
494.062,10445
495.833,10951
497.604,11810
499.375,12231
501.146,12489
502.917,13050
504.688,13647
506.458,13934
508.229,14456
510,14774
511.771,15155
513.542,15410
515.312,15957
517.083,15787
518.854,15895
520.625,16124
522.396,16175
524.167,16008
525.938,16039
527.708,16116
529.479,16286
531.25,16308
533.021,16694
534.792,16888
536.562,17093
538.333,17008
540.104,17485
541.875,17413
543.646,17525
545.417,17226
547.188,17042
548.958,17267
550.729,17156
552.5,17180
554.271,16673
556.042,16611
557.812,16555
559.583,16560
561.354,16204
563.125,16192
564.896,16321
566.667,16596
568.438,16236
570.208,16330
571.979,16010
573.75,15713
575.521,15470
577.292,15141
579.062,14673
580.833,14089
582.604,13843
584.375,13287
586.146,12493
587.917,12066
589.688,11591
591.458,10919
593.229,10341
595,9792
596.771,9310
598.542,9014
600.312,8544
602.083,8353
603.854,8067
605.625,7898
607.396,7684
609.167,7489
610.938,7177
612.708,7058
614.479,6752
616.25,6617
618.021,6424
619.792,6305
621.562,6195
623.333,5933
625.104,5758
626.875,5494
628.646,5424
630.417,5308
632.188,5054
633.958,4796
635.729,4622
637.5,4457
639.271,4239
641.042,4028
642.812,3812
644.583,3582
646.354,3402
648.125,3298
649.896,3184
651.667,3074
653.438,2855
655.208,2722
656.979,2596
658.75,2405
660.521,2376
662.292,2310
664.062,2009
665.833,1946
667.604,1786
669.375,1734
671.146,1705
672.917,1588
674.688,1500
676.458,1473
678.229,1387
680,1423
681.771,1336
683.542,1253
685.312,1049
687.083,1065
688.854,842
690.625,841
692.396,779
694.167,815
695.938,661
697.708,699
699.479,691
701.25,670
703.021,615
704.792,578
706.562,622
708.333,584
710.104,458
711.875,398
713.646,459
715.417,333
717.188,395
718.958,352
720.729,383
722.5,292
724.271,309
726.042,457
727.812,273
729.583,218
731.354,179
733.125,139
734.896,233
736.667,228
738.438,198
740.208,129
741.979,89
743.75,229
745.521,203
747.292,213
749.062,193
750.833,96
752.604,87
754.375,163
756.146,116
757.917,176
759.688,66
761.458,144
763.229,119
765,208
766.771,86
768.542,112
770.312,0
772.083,78
773.854,108
775.625,166
777.396,150
779.167,27
780.938,74
782.708,49
784.479,221
786.25,87
788.021,0
789.792,98
791.562,0
793.333,72
795.104,0
796.875,16
798.646,172
800.417,2
802.188,39
803.958,40
805.729,55
807.5,74
809.271,30
811.042,71
812.812,123
814.583,32
816.354,94
818.125,29
819.896,61
821.667,89
823.438,25
825.208,22
826.979,34
828.75,73
830.521,10
832.292,100
834.062,88
835.833,18
837.604,116
839.375,77
841.146,105
842.917,4
844.688,5
846.458,45
848.229,0
