x,y
340,0
341.771,15
343.542,10
345.312,0
347.083,0
348.854,10
350.625,0
352.396,46
354.167,172
355.938,178
357.708,0
359.479,0
361.25,0
363.021,62
364.792,74
366.562,52
368.333,67
370.104,0
371.875,0
373.646,0
375.417,19
377.188,40
378.958,29
380.729,31
382.5,26
384.271,74
386.042,26
387.812,98
389.583,308
391.354,304
393.125,139
394.896,72
396.667,192
398.438,479
400.208,1096
401.979,1887
403.75,2796
405.521,3624
407.292,4139
409.062,5046
410.833,5347
412.604,5781
414.375,6266
416.146,6775
417.917,7120
419.688,7446
421.458,7662
423.229,8052
425,8388
426.771,8697
428.542,9108
430.312,9460
432.083,9643
433.854,9929
435.625,10362
437.396,10935
439.167,11038
440.938,11310
442.708,11729
444.479,12022
446.25,12443
448.021,12614
449.792,12807
451.562,12826
453.333,12938
455.104,12969
456.875,12788
458.646,12463
460.417,12223
462.188,11943
463.958,11300
465.729,11142
467.5,10487
469.271,10277
471.042,9728
472.812,9423
474.583,8907
476.354,8556
478.125,8035
479.896,7770
481.667,7301
483.438,6949
485.208,6680
486.979,6460
488.75,6064
490.521,6034
492.292,5930
494.062,5900
495.833,5830
497.604,5716
499.375,5371
501.146,5362
502.917,5043
504.688,4728
506.458,4602
508.229,4580
510,4397
511.771,4200
513.542,3915
515.312,3861
517.083,3686
518.854,3463
520.625,3449
522.396,3282
524.167,3064
525.938,2947
527.708,2837
529.479,2801
531.25,2734
533.021,2626
534.792,2471
536.562,2418
538.333,2463
540.104,2387
541.875,2274
543.646,2257
545.417,2089
547.188,1967
548.958,2057
550.729,1987
552.5,1876
554.271,1780
556.042,1713
557.812,1615
559.583,1686
561.354,1607
563.125,1589
564.896,1531
566.667,1359
568.438,1426
570.208,1386
571.979,1376
573.75,1160
575.521,1176
577.292,1155
579.062,1102
580.833,1126
582.604,1090
584.375,951
586.146,1071
587.917,919
589.688,948
591.458,901
593.229,985
595,1119
596.771,1187
598.542,1229
600.312,1282
602.083,1461
603.854,1474
605.625,1738
607.396,1724
609.167,1845
610.938,1859
612.708,1954
614.479,1834
616.25,1634
618.021,1776
619.792,1729
621.562,1448
623.333,1452
625.104,1231
626.875,1087
628.646,1027
630.417,938
632.188,819
633.958,786
635.729,723
637.5,579
639.271,582
641.042,529
642.812,603
644.583,540
646.354,440
648.125,419
649.896,419
651.667,484
653.438,459
655.208,338
656.979,399
658.75,348
660.521,337
662.292,352
664.062,345
665.833,288
667.604,295
669.375,372
671.146,183
672.917,313
674.688,256
676.458,216
678.229,215
680,142
681.771,225
683.542,129
685.312,229
687.083,33
688.854,110
690.625,226
692.396,122
694.167,110
695.938,167
697.708,77
699.479,115
701.25,142
703.021,96
704.792,83
706.562,48
708.333,103
710.104,39
711.875,133
713.646,106
715.417,32
717.188,52
718.958,68
720.729,5
722.5,140
724.271,0
726.042,0
727.812,101
729.583,20
731.354,73
733.125,167
734.896,20
736.667,0
738.438,79
740.208,41
741.979,6
743.75,133
745.521,122
747.292,0
749.062,3
750.833,19
752.604,0
754.375,62
756.146,96
757.917,93
759.688,141
761.458,173
763.229,75
765,87
766.771,2
768.542,78
770.312,0
772.083,0
773.854,90
775.625,75
777.396,80
779.167,25
780.938,44
782.708,6
784.479,33
786.25,8
788.021,131
789.792,51
791.562,0
793.333,0
795.104,73
796.875,0
798.646,0
800.417,19
802.188,87
803.958,70
805.729,46
807.5,85
809.271,2
811.042,0
812.812,96
814.583,0
816.354,2
818.125,32
819.896,17
821.667,0
823.438,0
825.208,26
826.979,65
828.75,45
830.521,23
832.292,0
834.062,1
835.833,0
837.604,26
839.375,0
841.146,28
842.917,124
844.688,48
846.458,87
848.229,31
