x,y
340,0
341.771,50
343.542,0
345.312,110
347.083,135
348.854,36
350.625,55
352.396,23
354.167,152
355.938,235
357.708,112
359.479,61
361.25,8
363.021,47
364.792,37
366.562,23
368.333,109
370.104,91
371.875,105
373.646,75
375.417,51
377.188,57
378.958,38
380.729,0
382.5,36
384.271,8
386.042,137
387.812,101
389.583,161
391.354,187
393.125,130
394.896,5
396.667,83
398.438,28
400.208,127
401.979,0
403.75,39
405.521,106
407.292,46
409.062,97
410.833,69
412.604,31
414.375,99
416.146,60
417.917,101
419.688,105
421.458,171
423.229,155
425,211
426.771,403
428.542,305
430.312,532
432.083,688
433.854,987
435.625,1552
437.396,2477
439.167,3691
440.938,5202
442.708,6938
444.479,8148
446.25,8984
448.021,8732
449.792,8639
451.562,8783
453.333,9037
455.104,9256
456.875,9315
458.646,8968
460.417,8842
462.188,8737
463.958,8850
465.729,9153
467.5,9365
469.271,9180
471.042,9734
472.812,9618
474.583,9515
476.354,9509
478.125,9992
479.896,9914
481.667,9874
483.438,9750
485.208,9969
486.979,10148
488.75,10443
490.521,10989
492.292,11682
494.062,12198
495.833,12685
497.604,13173
499.375,13720
501.146,14335
502.917,14483
504.688,14845
506.458,15273
508.229,15759
510,16021
511.771,16414
513.542,16558
515.312,16730
517.083,17054
518.854,17023
520.625,17345
522.396,17097
524.167,17251
525.938,17158
527.708,17161
529.479,17047
531.25,17298
533.021,17548
534.792,17688
536.562,17449
538.333,17820
540.104,17967
541.875,18060
543.646,17987
545.417,17992
547.188,17891
548.958,17892
550.729,17849
552.5,17709
554.271,17801
556.042,17583
557.812,17520
559.583,17625
561.354,17046
563.125,17321
564.896,16852
566.667,16704
568.438,16638
570.208,16708
571.979,16391
573.75,16063
575.521,15858
577.292,15551
579.062,14880
580.833,14582
582.604,14264
584.375,14044
586.146,13239
587.917,12876
589.688,12681
591.458,12251
593.229,11753
595,11569
596.771,10907
598.542,10368
600.312,9830
602.083,9734
603.854,9237
605.625,8945
607.396,8491
609.167,8220
610.938,7884
612.708,7532
614.479,7187
616.25,6853
618.021,6716
619.792,6457
621.562,6068
623.333,6012
625.104,5596
626.875,5263
628.646,5099
630.417,4910
632.188,4680
633.958,4334
635.729,4313
637.5,4220
639.271,3867
641.042,3642
642.812,3586
644.583,3344
646.354,3246
648.125,3030
649.896,2714
651.667,2712
653.438,2669
655.208,2306
656.979,2348
658.75,2209
660.521,2192
662.292,1963
664.062,1708
665.833,1732
667.604,1658
669.375,1597
671.146,1491
672.917,1454
674.688,1308
676.458,1251
678.229,1098
680,1173
681.771,1080
683.542,954
685.312,932
687.083,978
688.854,793
690.625,913
692.396,836
694.167,744
695.938,707
697.708,640
699.479,658
701.25,651
703.021,544
704.792,556
706.562,442
708.333,504
710.104,469
711.875,456
713.646,328
715.417,499
717.188,382
718.958,307
720.729,285
722.5,316
724.271,298
726.042,249
727.812,339
729.583,319
731.354,127
733.125,175
734.896,232
736.667,166
738.438,187
740.208,212
741.979,195
743.75,193
745.521,261
747.292,186
749.062,143
750.833,124
752.604,147
754.375,65
756.146,100
757.917,126
759.688,140
761.458,227
763.229,122
765,234
766.771,93
768.542,91
770.312,67
772.083,70
773.854,192
775.625,66
777.396,108
779.167,43
780.938,105
782.708,88
784.479,0
786.25,118
788.021,138
789.792,151
791.562,162
793.333,53
795.104,180
796.875,47
798.646,147
800.417,137
802.188,91
803.958,116
805.729,113
807.5,40
809.271,43
811.042,70
812.812,113
814.583,2
816.354,0
818.125,160
819.896,144
821.667,85
823.438,74
825.208,113
826.979,123
828.75,20
830.521,17
832.292,11
834.062,9
835.833,52
837.604,3
839.375,50
841.146,4
842.917,1
844.688,22
846.458,99
848.229,39
