x,y
340,0
341.771,0
343.542,0
345.312,101
347.083,46
348.854,44
350.625,44
352.396,28
354.167,7
355.938,21
357.708,2
359.479,31
361.25,54
363.021,16
364.792,37
366.562,20
368.333,2
370.104,0
371.875,6
373.646,22
375.417,55
377.188,18
378.958,47
380.729,1
382.5,0
384.271,93
386.042,202
387.812,83
389.583,262
391.354,122
393.125,103
394.896,150
396.667,186
398.438,408
400.208,1094
401.979,1782
403.75,2667
405.521,3568
407.292,4106
409.062,4882
410.833,5380
412.604,5816
414.375,6079
416.146,6673
417.917,6982
419.688,7413
421.458,7966
423.229,7998
425,8420
426.771,8692
428.542,8917
430.312,9308
432.083,9792
433.854,10112
435.625,10299
437.396,10745
439.167,11325
440.938,11220
442.708,11921
444.479,11951
446.25,12410
448.021,12784
449.792,12508
451.562,12817
453.333,13071
455.104,13001
456.875,12743
458.646,12415
460.417,12330
462.188,12013
463.958,11547
465.729,11070
467.5,10576
469.271,10171
471.042,9669
472.812,9388
474.583,9220
476.354,8376
478.125,8179
479.896,7798
481.667,7270
483.438,6776
485.208,6626
486.979,6448
488.75,6231
490.521,5977
492.292,5794
494.062,5750
495.833,5590
497.604,5731
499.375,5413
501.146,5173
502.917,5177
504.688,4790
506.458,4663
508.229,4456
510,4432
511.771,4125
513.542,3997
515.312,3879
517.083,3726
518.854,3525
520.625,3341
522.396,3337
524.167,3079
525.938,2964
527.708,2883
529.479,2804
531.25,2672
533.021,2584
534.792,2478
536.562,2515
538.333,2410
540.104,2346
541.875,2224
543.646,2188
545.417,2238
547.188,2150
548.958,1988
550.729,1899
552.5,1855
554.271,1876
556.042,1628
557.812,1748
559.583,1709
561.354,1535
563.125,1562
564.896,1530
566.667,1479
568.438,1409
570.208,1215
571.979,1297
573.75,1270
575.521,1220
577.292,1135
579.062,1042
580.833,1057
582.604,1033
584.375,1029
586.146,1040
587.917,1018
589.688,955
591.458,1006
593.229,1182
595,1108
596.771,1165
598.542,1219
600.312,1291
602.083,1507
603.854,1556
605.625,1669
607.396,1747
609.167,1906
610.938,1934
612.708,1817
614.479,1845
616.25,1745
618.021,1634
619.792,1656
621.562,1382
623.333,1349
625.104,1390
626.875,1129
628.646,1057
630.417,924
632.188,793
633.958,777
635.729,598
637.5,514
639.271,636
641.042,460
642.812,565
644.583,426
646.354,487
648.125,475
649.896,384
651.667,341
653.438,371
655.208,344
656.979,349
658.75,348
660.521,392
662.292,364
664.062,336
665.833,171
667.604,303
669.375,188
671.146,251
672.917,232
674.688,222
676.458,230
678.229,232
680,95
681.771,202
683.542,160
685.312,166
687.083,160
688.854,74
690.625,131
692.396,233
694.167,52
695.938,133
697.708,160
699.479,87
701.25,1
703.021,34
704.792,139
706.562,211
708.333,110
710.104,117
711.875,19
713.646,164
715.417,0
717.188,87
718.958,98
720.729,79
722.5,3
724.271,146
726.042,0
727.812,86
729.583,38
731.354,74
733.125,0
734.896,50
736.667,0
738.438,41
740.208,0
741.979,56
743.75,0
745.521,131
747.292,0
749.062,144
750.833,30
752.604,0
754.375,0
756.146,0
757.917,75
759.688,24
761.458,42
763.229,39
765,0
766.771,48
768.542,0
770.312,0
772.083,0
773.854,60
775.625,0
777.396,0
779.167,59
780.938,95
782.708,0
784.479,6
786.25,71
788.021,67
789.792,43
791.562,56
793.333,0
795.104,0
796.875,67
798.646,0
800.417,0
802.188,35
803.958,0
805.729,0
807.5,0
809.271,0
811.042,118
812.812,0
814.583,0
816.354,33
818.125,34
819.896,82
821.667,21
823.438,0
825.208,0
826.979,37
828.75,0
830.521,64
832.292,17
834.062,13
835.833,10
837.604,28
839.375,58
841.146,0
842.917,62
844.688,51
846.458,49
848.229,0
