x,y
340,0
341.771,0
343.542,0
345.312,3
347.083,35
348.854,107
350.625,0
352.396,32
354.167,124
355.938,0
357.708,30
359.479,75
361.25,45
363.021,118
364.792,30
366.562,66
368.333,0
370.104,134
371.875,87
373.646,57
375.417,123
377.188,78
378.958,39
380.729,111
382.5,96
384.271,162
386.042,142
387.812,21
389.583,30
391.354,103
393.125,132
394.896,94
396.667,0
398.438,0
400.208,126
401.979,36
403.75,156
405.521,84
407.292,0
409.062,0
410.833,59
412.604,32
414.375,2
416.146,11
417.917,112
419.688,17
421.458,0
423.229,70
425,167
426.771,162
428.542,46
430.312,72
432.083,148
433.854,310
435.625,346
437.396,446
439.167,703
440.938,891
442.708,1290
444.479,1422
446.25,1358
448.021,1440
449.792,1441
451.562,1372
453.333,1431
455.104,1635
456.875,1622
458.646,1707
460.417,1703
462.188,1851
463.958,1796
465.729,1774
467.5,1912
469.271,1971
471.042,1954
472.812,2245
474.583,2265
476.354,2493
478.125,2860
479.896,3248
481.667,3493
483.438,3905
485.208,4383
486.979,5131
488.75,5892
490.521,6980
492.292,7943
494.062,9061
495.833,10039
497.604,10937
499.375,11478
501.146,11852
502.917,11915
504.688,12223
506.458,12256
508.229,12755
510,13525
511.771,14372
513.542,15320
515.312,15710
517.083,16373
518.854,16394
520.625,16485
522.396,16622
524.167,16547
525.938,16292
527.708,16410
529.479,16267
531.25,16476
533.021,17126
534.792,16994
536.562,17270
538.333,17509
540.104,17709
541.875,17914
543.646,18062
545.417,17744
547.188,17620
548.958,17399
550.729,17213
552.5,17261
554.271,17257
556.042,16724
557.812,16389
559.583,15743
561.354,15219
563.125,15013
564.896,15091
566.667,14794
568.438,14735
570.208,14642
571.979,14789
573.75,14622
575.521,14331
577.292,14219
579.062,14183
580.833,13760
582.604,13613
584.375,13371
586.146,12848
587.917,12372
589.688,12320
591.458,11348
593.229,10909
595,10498
596.771,9982
598.542,9157
600.312,8680
602.083,7967
603.854,7332
605.625,6431
607.396,5696
609.167,5160
610.938,4407
612.708,3884
614.479,3629
616.25,3203
618.021,3236
619.792,3282
621.562,3433
623.333,3610
625.104,3884
626.875,4093
628.646,4611
630.417,4677
632.188,4679
633.958,4713
635.729,4514
637.5,4369
639.271,3860
641.042,3921
642.812,3904
644.583,3637
646.354,3643
648.125,3436
649.896,3289
651.667,3094
653.438,3014
655.208,2867
656.979,2652
658.75,2574
660.521,2347
662.292,2325
664.062,2193
665.833,2208
667.604,1939
669.375,1852
671.146,1817
672.917,1744
674.688,1660
676.458,1438
678.229,1498
680,1306
681.771,1377
683.542,1231
685.312,987
687.083,1017
688.854,1004
690.625,1059
692.396,854
694.167,883
695.938,817
697.708,756
699.479,585
701.25,654
703.021,672
704.792,525
706.562,640
708.333,559
710.104,584
711.875,467
713.646,558
715.417,372
717.188,488
718.958,398
720.729,288
722.5,361
724.271,392
726.042,407
727.812,338
729.583,330
731.354,259
733.125,157
734.896,175
736.667,229
738.438,183
740.208,212
741.979,199
743.75,141
745.521,161
747.292,177
749.062,104
750.833,133
752.604,107
754.375,188
756.146,0
757.917,179
759.688,179
761.458,31
763.229,121
765,117
766.771,162
768.542,22
770.312,75
772.083,136
773.854,116
775.625,19
777.396,145
779.167,167
780.938,110
782.708,150
784.479,190
786.25,80
788.021,151
789.792,13
791.562,44
793.333,196
795.104,122
796.875,196
798.646,79
800.417,103
802.188,0
803.958,189
805.729,14
807.5,0
809.271,0
811.042,85
812.812,131
814.583,163
816.354,105
818.125,0
819.896,178
821.667,87
823.438,67
825.208,95
826.979,17
828.75,76
830.521,102
832.292,77
834.062,0
835.833,81
837.604,43
839.375,41
841.146,0
842.917,91
844.688,11
846.458,13
848.229,0
