x,y
340,0
341.771,21
343.542,0
345.312,71
347.083,117
348.854,50
350.625,19
352.396,3
354.167,26
355.938,213
357.708,148
359.479,44
361.25,68
363.021,88
364.792,7
366.562,75
368.333,54
370.104,73
371.875,61
373.646,50
375.417,31
377.188,37
378.958,27
380.729,0
382.5,10
384.271,0
386.042,134
387.812,136
389.583,138
391.354,3
393.125,66
394.896,9
396.667,24
398.438,45
400.208,97
401.979,61
403.75,183
405.521,154
407.292,188
409.062,235
410.833,215
412.604,270
414.375,323
416.146,589
417.917,815
419.688,802
421.458,1014
423.229,1178
425,1219
426.771,1276
428.542,1308
430.312,1336
432.083,1554
433.854,1780
435.625,1657
437.396,1970
439.167,1861
440.938,1852
442.708,1646
444.479,1652
446.25,1630
448.021,1637
449.792,1604
451.562,1474
453.333,1424
455.104,1543
456.875,1381
458.646,1275
460.417,1295
462.188,1192
463.958,1136
465.729,1161
467.5,1188
469.271,1168
471.042,1040
472.812,969
474.583,1280
476.354,1052
478.125,1049
479.896,1253
481.667,1120
483.438,1252
485.208,1138
486.979,1327
488.75,1359
490.521,1460
492.292,1568
494.062,1704
495.833,1715
497.604,1828
499.375,1803
501.146,1886
502.917,1727
504.688,1526
506.458,1664
508.229,1517
510,1652
511.771,1743
513.542,1607
515.312,1616
517.083,1529
518.854,1485
520.625,1468
522.396,1398
524.167,1387
525.938,1180
527.708,1205
529.479,1166
531.25,1218
533.021,1197
534.792,1109
536.562,1010
538.333,886
540.104,929
541.875,896
543.646,931
545.417,798
547.188,795
548.958,853
550.729,707
552.5,613
554.271,631
556.042,533
557.812,560
559.583,597
561.354,599
563.125,527
564.896,391
566.667,451
568.438,339
570.208,426
571.979,499
573.75,426
575.521,391
577.292,558
579.062,441
580.833,405
582.604,523
584.375,504
586.146,500
587.917,576
589.688,695
591.458,727
593.229,817
595,999
596.771,1238
598.542,1552
600.312,2060
602.083,2614
603.854,3433
605.625,4539
607.396,5841
609.167,7471
610.938,9353
612.708,11581
614.479,14183
616.25,17060
618.021,20276
619.792,22981
621.562,25808
623.333,27998
625.104,29135
626.875,28816
628.646,27658
630.417,26023
632.188,23066
633.958,20123
635.729,17619
637.5,14966
639.271,12609
641.042,10976
642.812,9984
644.583,9369
646.354,8584
648.125,8267
649.896,8105
651.667,7978
653.438,7997
655.208,8102
656.979,7952
658.75,8021
660.521,7967
662.292,7874
664.062,7929
665.833,8121
667.604,7999
669.375,7945
671.146,7605
672.917,7207
674.688,7117
676.458,6486
678.229,6127
680,5476
681.771,5071
683.542,4609
685.312,4211
687.083,3865
688.854,3618
690.625,3411
692.396,3063
694.167,3028
695.938,2771
697.708,2587
699.479,2320
701.25,2241
703.021,2020
704.792,1735
706.562,1548
708.333,1585
710.104,1464
711.875,1280
713.646,1079
715.417,1082
717.188,953
718.958,784
720.729,746
722.5,763
724.271,541
726.042,622
727.812,659
729.583,496
731.354,472
733.125,467
734.896,551
736.667,457
738.438,360
740.208,412
741.979,450
743.75,402
745.521,345
747.292,348
749.062,283
750.833,291
752.604,363
754.375,301
756.146,232
757.917,274
759.688,142
761.458,188
763.229,305
765,138
766.771,231
768.542,225
770.312,161
772.083,163
773.854,227
775.625,75
777.396,202
779.167,178
780.938,39
782.708,110
784.479,74
786.25,141
788.021,212
789.792,73
791.562,112
793.333,120
795.104,148
796.875,100
798.646,0
800.417,111
802.188,110
803.958,178
805.729,33
807.5,104
809.271,83
811.042,80
812.812,52
814.583,18
816.354,80
818.125,122
819.896,142
821.667,108
823.438,134
825.208,167
826.979,0
828.75,0
830.521,162
832.292,0
834.062,98
835.833,51
837.604,30
839.375,92
841.146,38
842.917,22
844.688,65
846.458,198
848.229,0
