x,y
340,0
341.771,21
343.542,0
345.312,160
347.083,131
348.854,172
350.625,158
352.396,150
354.167,205
355.938,39
357.708,115
359.479,55
361.25,140
363.021,72
364.792,0
366.562,99
368.333,99
370.104,86
371.875,91
373.646,200
375.417,95
377.188,127
378.958,189
380.729,78
382.5,120
384.271,141
386.042,138
387.812,219
389.583,210
391.354,147
393.125,150
394.896,92
396.667,118
398.438,186
400.208,439
401.979,700
403.75,812
405.521,830
407.292,810
409.062,914
410.833,923
412.604,866
414.375,1050
416.146,1315
417.917,1328
419.688,1593
421.458,1753
423.229,1756
425,1894
426.771,2035
428.542,2169
430.312,2335
432.083,2585
433.854,2765
435.625,3043
437.396,3006
439.167,3286
440.938,3387
442.708,3441
444.479,3433
446.25,3576
448.021,3712
449.792,3929
451.562,4225
453.333,4553
455.104,4953
456.875,4908
458.646,5168
460.417,5233
462.188,5178
463.958,4945
465.729,5000
467.5,4884
469.271,4597
471.042,4485
472.812,4608
474.583,4228
476.354,3888
478.125,3917
479.896,3832
481.667,3794
483.438,3777
485.208,3749
486.979,3824
488.75,3788
490.521,3955
492.292,4107
494.062,4359
495.833,4315
497.604,4601
499.375,4697
501.146,4429
502.917,4306
504.688,4186
506.458,3929
508.229,4027
510,3881
511.771,3811
513.542,3811
515.312,3606
517.083,3652
518.854,3292
520.625,3224
522.396,3012
524.167,2879
525.938,2676
527.708,2601
529.479,2399
531.25,2291
533.021,2228
534.792,2186
536.562,2136
538.333,1875
540.104,1814
541.875,1748
543.646,1656
545.417,1680
547.188,1487
548.958,1497
550.729,1472
552.5,1311
554.271,1225
556.042,1279
557.812,1081
559.583,1127
561.354,907
563.125,903
564.896,836
566.667,846
568.438,780
570.208,840
571.979,831
573.75,785
575.521,724
577.292,758
579.062,756
580.833,650
582.604,752
584.375,777
586.146,640
587.917,826
589.688,611
591.458,661
593.229,899
595,783
596.771,922
598.542,1027
600.312,1215
602.083,1503
603.854,1982
605.625,2511
607.396,3106
609.167,4176
610.938,4928
612.708,6209
614.479,7620
616.25,9221
618.021,10595
619.792,11734
621.562,12674
623.333,13333
625.104,12856
626.875,12736
628.646,11317
630.417,10384
632.188,8961
633.958,7667
635.729,6254
637.5,5352
639.271,4486
641.042,4238
642.812,3686
644.583,3460
646.354,3450
648.125,3278
649.896,2946
651.667,3122
653.438,2855
655.208,2908
656.979,2956
658.75,2930
660.521,2873
662.292,2868
664.062,2926
665.833,2874
667.604,2784
669.375,2959
671.146,2771
672.917,2655
674.688,2495
676.458,2432
678.229,2179
680,2053
681.771,1836
683.542,1785
685.312,1714
687.083,1443
688.854,1362
690.625,1294
692.396,1211
694.167,913
695.938,1012
697.708,995
699.479,1037
701.25,810
703.021,890
704.792,611
706.562,748
708.333,727
710.104,636
711.875,481
713.646,425
715.417,417
717.188,277
718.958,369
720.729,319
722.5,377
724.271,272
726.042,371
727.812,271
729.583,267
731.354,310
733.125,249
734.896,238
736.667,186
738.438,289
740.208,298
741.979,288
743.75,290
745.521,161
747.292,283
749.062,129
750.833,115
752.604,294
754.375,177
756.146,158
757.917,175
759.688,147
761.458,186
763.229,93
765,125
766.771,217
768.542,213
770.312,209
772.083,263
773.854,187
775.625,74
777.396,176
779.167,163
780.938,206
782.708,157
784.479,205
786.25,75
788.021,185
789.792,145
791.562,129
793.333,57
795.104,126
796.875,159
798.646,232
800.417,48
802.188,43
803.958,67
805.729,0
807.5,149
809.271,94
811.042,183
812.812,12
814.583,200
816.354,119
818.125,141
819.896,151
821.667,68
823.438,93
825.208,232
826.979,229
828.75,163
830.521,109
832.292,182
834.062,168
835.833,92
837.604,36
839.375,54
841.146,110
842.917,108
844.688,205
846.458,122
848.229,247
