x,y
340,0
341.771,0
343.542,0
345.312,44
347.083,229
348.854,31
350.625,56
352.396,78
354.167,68
355.938,0
357.708,81
359.479,46
361.25,100
363.021,42
364.792,41
366.562,32
368.333,0
370.104,85
371.875,75
373.646,85
375.417,0
377.188,34
378.958,94
380.729,143
382.5,34
384.271,73
386.042,99
387.812,25
389.583,58
391.354,0
393.125,122
394.896,109
396.667,91
398.438,17
400.208,80
401.979,53
403.75,0
405.521,51
407.292,36
409.062,0
410.833,61
412.604,0
414.375,58
416.146,77
417.917,35
419.688,0
421.458,26
423.229,121
425,122
426.771,161
428.542,141
430.312,100
432.083,276
433.854,263
435.625,343
437.396,518
439.167,716
440.938,873
442.708,1136
444.479,1280
446.25,1188
448.021,1114
449.792,1028
451.562,931
453.333,868
455.104,772
456.875,762
458.646,623
460.417,565
462.188,607
463.958,564
465.729,541
467.5,591
469.271,577
471.042,646
472.812,837
474.583,853
476.354,890
478.125,1048
479.896,1307
481.667,1511
483.438,1979
485.208,2441
486.979,2982
488.75,3695
490.521,4689
492.292,5626
494.062,6979
495.833,7745
497.604,8544
499.375,9185
501.146,9575
502.917,9775
504.688,9606
506.458,9397
508.229,9992
510,10712
511.771,11436
513.542,12445
515.312,13145
517.083,13950
518.854,14166
520.625,14279
522.396,14046
524.167,14090
525.938,14190
527.708,14234
529.479,14345
531.25,14422
533.021,14679
534.792,14940
536.562,15241
538.333,15275
540.104,15440
541.875,15568
543.646,15725
545.417,15627
547.188,15588
548.958,15202
550.729,14896
552.5,14745
554.271,14434
556.042,13495
557.812,12957
559.583,12410
561.354,11941
563.125,11580
564.896,11419
566.667,11077
568.438,10735
570.208,10672
571.979,10725
573.75,11002
575.521,10844
577.292,10924
579.062,10842
580.833,10806
582.604,10755
584.375,10427
586.146,9913
587.917,9498
589.688,9310
591.458,8669
593.229,8338
595,7870
596.771,7325
598.542,6690
600.312,6138
602.083,5439
603.854,4738
605.625,4008
607.396,3480
609.167,2811
610.938,2255
612.708,2004
614.479,1406
616.25,1639
618.021,1528
619.792,1557
621.562,1676
623.333,1986
625.104,2168
626.875,2695
628.646,3080
630.417,3409
632.188,3714
633.958,3643
635.729,3819
637.5,3714
639.271,3572
641.042,3520
642.812,3329
644.583,3137
646.354,3124
648.125,3110
649.896,2992
651.667,2870
653.438,2875
655.208,2752
656.979,2552
658.75,2371
660.521,2357
662.292,2186
664.062,2222
665.833,2114
667.604,1937
669.375,2004
671.146,1693
672.917,1711
674.688,1595
676.458,1534
678.229,1409
680,1379
681.771,1221
683.542,1262
685.312,1218
687.083,1057
688.854,1002
690.625,871
692.396,810
694.167,827
695.938,771
697.708,750
699.479,843
701.25,796
703.021,661
704.792,647
706.562,569
708.333,445
710.104,553
711.875,519
713.646,461
715.417,377
717.188,341
718.958,320
720.729,271
722.5,356
724.271,304
726.042,267
727.812,289
729.583,333
731.354,251
733.125,252
734.896,243
736.667,249
738.438,233
740.208,252
741.979,178
743.75,310
745.521,128
747.292,229
749.062,128
750.833,289
752.604,185
754.375,92
756.146,118
757.917,133
759.688,137
761.458,135
763.229,167
765,113
766.771,18
768.542,91
770.312,133
772.083,123
773.854,26
775.625,106
777.396,171
779.167,194
780.938,49
782.708,168
784.479,196
786.25,121
788.021,60
789.792,215
791.562,83
793.333,0
795.104,73
796.875,106
798.646,0
800.417,0
802.188,54
803.958,155
805.729,5
807.5,44
809.271,14
811.042,0
812.812,184
814.583,91
816.354,27
818.125,34
819.896,75
821.667,0
823.438,70
825.208,54
826.979,72
828.75,10
830.521,62
832.292,0
834.062,134
835.833,0
837.604,0
839.375,73
841.146,0
842.917,91
844.688,48
846.458,27
848.229,52
