x,y
900.989,25035
904.913,27675
908.832,30696
914.051,34842
917.96,39101
921.865,42896
925.765,48467
929.661,54781
933.553,60711
937.44,67128
941.322,72810
945.2,78673
949.074,83313
954.232,90798
958.095,95137
961.954,99381
965.809,103280
969.659,106807
973.505,109362
977.346,112137
981.182,114315
985.015,115769
990.118,115149
993.94,114916
997.757,114390
1001.57,114481
1005.38,113816
1009.18,114000
1012.98,114066
1016.78,113864
1020.57,113855
1024.36,114848
1029.4,114668
1033.17,115469
1036.95,115625
1040.71,116383
1044.48,116925
1048.23,117153
1051.99,117962
1055.74,117768
1059.48,118174
1063.22,118330
1068.2,118598
1071.93,118888
1075.66,119435
1079.38,119428
1083.1,119003
1086.81,119033
1090.52,119347
1094.22,119394
1097.92,119239
1102.85,119131
1106.54,118822
1110.22,118577
1113.9,118312
1117.58,118252
1121.25,117503
1124.92,117922
1128.58,117787
1132.24,117296
1135.89,117416
1140.76,117021
1144.4,116872
1148.04,116458
1151.67,116755
1155.3,116602
1158.93,116852
1162.55,116766
1166.16,117490
1169.78,117392
1173.38,118172
1178.19,119627
1181.79,120247
1185.38,121149
1188.97,122920
1192.55,124414
1196.13,126091
1199.71,128003
1203.28,129934
1206.84,132390
1211.59,134701
1215.15,137694
1218.7,140378
1222.25,142691
1225.79,145190
1229.33,148354
1232.86,150109
1236.39,152735
1239.92,154885
1243.44,157122
1248.12,158820
1251.63,160004
1255.14,161815
1258.64,162869
1262.14,164962
1265.63,166587
1269.12,168111
1272.6,169653
1276.08,171703
1279.56,173388
1284.18,175254
1287.65,175885
1291.11,176986
1294.56,177797
1298.01,178866
1301.46,179310
1304.9,179626
1308.34,180075
1311.77,180015
1316.34,179529
1319.77,179128
1323.19,178671
1326.6,177922
1330.01,176959
1333.42,176304
1336.82,174865
1340.21,173702
1343.61,171549
1346.99,170325
1351.5,167212
1354.88,164285
1358.25,162003
1361.62,159873
1364.99,158429
1368.34,156778
1371.7,155732
1375.05,153467
1378.4,150234
1381.74,146848
1386.19,142346
1389.52,139436
1392.85,136583
1396.17,134453
1399.49,131705
1402.8,129278
1406.11,126342
1409.41,123576
1412.72,121013
1417.11,118098
1420.4,115733
1423.68,112834
1426.97,111559
1430.24,109806
1433.52,108252
1436.78,106897
1440.05,106098
1443.31,105025
1446.56,104731
1450.89,103544
1454.14,102829
1457.38,102408
1460.61,101705
1463.84,101092
1467.07,100244
1470.29,99638
1473.51,99841
1476.72,98693
1479.93,98250
1484.2,96861
1487.4,96722
1490.6,95894
1493.79,95333
1496.97,94933
1500.15,94328
1503.33,93600
1506.5,92097
1509.67,91628
1513.88,90913
1517.04,90007
1520.19,89255
1523.34,88765
1526.49,88353
1529.63,87062
1532.76,86031
1535.89,84956
1539.02,84021
1542.14,82732
1546.29,81306
1549.41,80707
1552.51,79280
1555.61,78331
1558.71,76539
1561.81,75578
1564.9,73390
1567.98,72147
1571.06,71010
1574.14,69397
1578.23,68537
1581.3,67595
1584.36,65333
1587.41,64838
1590.47,63714
1593.51,62532
1596.56,61242
1599.6,60546
1602.63,59250
1606.67,57812
1609.69,56806
1612.71,56091
1615.73,54511
1618.74,53392
1621.75,52557
1624.75,50973
1627.75,49692
1630.74,48292
1633.73,47512
1637.71,45627
1640.68,44496
1643.66,43347
1646.63,41880
1649.59,40214
1652.55,39249
1655.51,37548
1658.46,36252
1661.41,34637
1664.35,32484
1668.27,28967
1671.2,26669
1674.13,23575
1677.05,20047
1679.97,17603
1682.89,15264
1685.8,12433
1688.7,10444
1691.61,8556
1694.5,7536
1698.36,5777
1701.25,5319
