x,y
900.989,25992
904.913,28964
908.832,31562
914.051,36115
917.96,39963
921.865,44354
925.765,49932
929.661,56287
933.553,62420
937.44,68704
941.322,74673
945.2,80286
949.074,86000
954.232,92415
958.095,97525
961.954,102034
965.809,106576
969.659,109146
973.505,112431
977.346,115169
981.182,117461
985.015,118057
990.118,118430
993.94,117690
997.757,117223
1001.57,116946
1005.38,117101
1009.18,117482
1012.98,117365
1016.78,117363
1020.57,117462
1024.36,117398
1029.4,118025
1033.17,118338
1036.95,118727
1040.71,119217
1044.48,120221
1048.23,120458
1051.99,120733
1055.74,120502
1059.48,121242
1063.22,121440
1068.2,121825
1071.93,122153
1075.66,122345
1079.38,122672
1083.1,122641
1086.81,122535
1090.52,122320
1094.22,122337
1097.92,122262
1102.85,122051
1106.54,121679
1110.22,121261
1113.9,121046
1117.58,120718
1121.25,120755
1124.92,120437
1128.58,120844
1132.24,120559
1135.89,120094
1140.76,119537
1144.4,119692
1148.04,119411
1151.67,119348
1155.3,119236
1158.93,119388
1162.55,119270
1166.16,119623
1169.78,120620
1173.38,121181
1178.19,122362
1181.79,123262
1185.38,124169
1188.97,125613
1192.55,127116
1196.13,128615
1199.71,130658
1203.28,132504
1206.84,135233
1211.59,138344
1215.15,140823
1218.7,142920
1222.25,145874
1225.79,148734
1229.33,151583
1232.86,153708
1236.39,155989
1239.92,158452
1243.44,159974
1248.12,162711
1251.63,164099
1255.14,164864
1258.64,166856
1262.14,168576
1265.63,170053
1269.12,172547
1272.6,173854
1276.08,175800
1279.56,177916
1284.18,179455
1287.65,180473
1291.11,181631
1294.56,182788
1298.01,183628
1301.46,184064
1304.9,184545
1308.34,184539
1311.77,184025
1316.34,184339
1319.77,184065
1323.19,183580
1326.6,182866
1330.01,182125
1333.42,181126
1336.82,179922
1340.21,178353
1343.61,176737
1346.99,175185
1351.5,171869
1354.88,169426
1358.25,167162
1361.62,164929
1364.99,163760
1368.34,161990
1371.7,160924
1375.05,159059
1378.4,155390
1381.74,151246
1386.19,147425
1389.52,143921
1392.85,141192
1396.17,138396
1399.49,136246
1402.8,133093
1406.11,130177
1409.41,127732
1412.72,124889
1417.11,121483
1420.4,119349
1423.68,116721
1426.97,114639
1430.24,112768
1433.52,111692
1436.78,109735
1440.05,108677
1443.31,108149
1446.56,107262
1450.89,106232
1454.14,105812
1457.38,105180
1460.61,104033
1463.84,103892
1467.07,103007
1470.29,102103
1473.51,101754
1476.72,101370
1479.93,100509
1484.2,99708
1487.4,99169
1490.6,98583
1493.79,98007
1496.97,96997
1500.15,96647
1503.33,95495
1506.5,94963
1509.67,93935
1513.88,92595
1517.04,92328
1520.19,91328
1523.34,90363
1526.49,89796
1529.63,88818
1532.76,88192
1535.89,87211
1539.02,86222
1542.14,84737
1546.29,83222
1549.41,82413
1552.51,81144
1555.61,79444
1558.71,78150
1561.81,76754
1564.9,75582
1567.98,73888
1571.06,72779
1574.14,71383
1578.23,69604
1581.3,68498
1584.36,66917
1587.41,66028
1590.47,64523
1593.51,63703
1596.56,62904
1599.6,61212
1602.63,60618
1606.67,59116
1609.69,57511
1612.71,57201
1615.73,55861
1618.74,54370
1621.75,53115
1624.75,51990
1627.75,50950
1630.74,49472
1633.73,48170
1637.71,46769
1640.68,45159
1643.66,44308
1646.63,42574
1649.59,41664
1652.55,40021
1655.51,38935
1658.46,37070
1661.41,35142
1664.35,33303
1668.27,30330
1671.2,27719
1674.13,24985
1677.05,22036
1679.97,19052
1682.89,15913
1685.8,13102
1688.7,11448
1691.61,9239
1694.5,7972
1698.36,6962
1701.25,5805
