x,y
340,0
341.771,13212
343.542,13143
345.312,11389
347.083,11442
348.854,11353
350.625,11623
352.396,11275
354.167,11379
355.938,11546
357.708,11308
359.479,11490
361.25,11308
363.021,11358
364.792,11470
366.562,11340
368.333,11430
370.104,11522
371.875,11308
373.646,11408
375.417,11437
377.188,11348
378.958,11491
380.729,11218
382.5,11363
384.271,11535
386.042,11610
387.812,11688
389.583,11658
391.354,11581
393.125,11609
394.896,11476
396.667,11398
398.438,11608
400.208,11974
401.979,12937
403.75,13831
405.521,14858
407.292,15836
409.062,16914
410.833,17620
412.604,18328
414.375,18823
416.146,19829
417.917,20529
419.688,21037
421.458,22011
423.229,22502
425,23209
426.771,23986
428.542,24622
430.312,25365
432.083,25934
433.854,26416
435.625,27203
437.396,27571
439.167,27961
440.938,28321
442.708,28379
444.479,28909
446.25,28650
448.021,29178
449.792,29664
451.562,29864
453.333,30328
455.104,30337
456.875,30065
458.646,30166
460.417,29874
462.188,29798
463.958,28979
465.729,28198
467.5,27444
469.271,26782
471.042,25718
472.812,25301
474.583,24709
476.354,24161
478.125,23593
479.896,23561
481.667,22812
483.438,22528
485.208,22063
486.979,22038
488.75,22077
490.521,22097
492.292,22435
494.062,22209
495.833,22383
497.604,22521
499.375,21956
501.146,22125
502.917,21630
504.688,21306
506.458,20961
508.229,20585
510,20143
511.771,19775
513.542,19391
515.312,19200
517.083,18938
518.854,18470
520.625,18170
522.396,17898
524.167,17394
525.938,17134
527.708,17005
529.479,16871
531.25,16497
533.021,16301
534.792,16000
536.562,15730
538.333,15578
540.104,15825
541.875,15277
543.646,15401
545.417,15484
547.188,15208
548.958,15215
550.729,15111
552.5,14940
554.271,14828
556.042,14589
557.812,14597
559.583,14520
561.354,14428
563.125,14329
564.896,14310
566.667,14218
568.438,14186
570.208,13799
571.979,13844
573.75,13790
575.521,13610
577.292,13548
579.062,13352
580.833,13278
582.604,13296
584.375,13021
586.146,13183
587.917,12850
589.688,12748
591.458,12921
593.229,12678
595,12746
596.771,12734
598.542,12387
600.312,12626
602.083,12582
603.854,12395
605.625,12479
607.396,12278
609.167,12304
610.938,12345
612.708,12235
614.479,12310
616.25,12177
618.021,12191
619.792,12236
621.562,12066
623.333,12093
625.104,12113
626.875,11967
628.646,11906
630.417,11943
632.188,11813
633.958,12007
635.729,11931
637.5,11941
639.271,11856
641.042,11571
642.812,11850
644.583,11772
646.354,11769
648.125,11737
649.896,11685
651.667,11702
653.438,11723
655.208,11610
656.979,11815
658.75,11632
660.521,11564
662.292,11741
664.062,11484
665.833,11607
667.604,11702
669.375,11474
671.146,11721
672.917,11592
674.688,11515
676.458,11614
678.229,11497
680,11481
681.771,11662
683.542,11331
685.312,11636
687.083,11410
688.854,11470
690.625,11574
692.396,11436
694.167,11467
695.938,11650
697.708,11408
699.479,11633
701.25,11382
703.021,11559
704.792,11560
706.562,11361
708.333,11542
710.104,11559
711.875,11277
713.646,11544
715.417,11411
717.188,11392
718.958,11640
720.729,11490
722.5,11542
724.271,11568
726.042,11236
727.812,11570
729.583,11338
731.354,11393
733.125,11366
734.896,11418
736.667,11364
738.438,11452
740.208,11263
741.979,11461
743.75,11313
745.521,11442
747.292,11550
749.062,11337
750.833,11366
752.604,11492
754.375,11333
756.146,11574
757.917,11432
759.688,11421
761.458,11389
763.229,11327
765,11465
766.771,11498
768.542,11364
770.312,11541
772.083,11393
773.854,11298
775.625,11503
777.396,11329
779.167,11429
780.938,11438
782.708,11310
784.479,11489
786.25,11304
788.021,11410
789.792,11631
791.562,11339
793.333,11368
795.104,11406
796.875,11233
798.646,11418
800.417,11492
802.188,11394
803.958,11737
805.729,11356
807.5,11446
809.271,11582
811.042,11312
812.812,11604
814.583,11376
816.354,11485
818.125,11605
819.896,11298
821.667,11591
823.438,11393
825.208,11409
826.979,11546
828.75,11532
830.521,11378
832.292,11493
834.062,11345
835.833,11424
837.604,11509
839.375,11394
841.146,11510
842.917,11414
844.688,11514
846.458,11656
848.229,11470
