x,y
340,0
341.771,13211
343.542,13148
345.312,11425
347.083,11384
348.854,11369
350.625,11603
352.396,11290
354.167,11339
355.938,11474
357.708,11260
359.479,11443
361.25,11304
363.021,11249
364.792,11464
366.562,11300
368.333,11370
370.104,11477
371.875,11303
373.646,11436
375.417,11384
377.188,11355
378.958,11334
380.729,11272
382.5,11406
384.271,11540
386.042,11570
387.812,11630
389.583,11582
391.354,11544
393.125,11644
394.896,11391
396.667,11419
398.438,11621
400.208,11927
401.979,12916
403.75,13811
405.521,14871
407.292,15507
409.062,16758
410.833,17503
412.604,18079
414.375,18528
416.146,19798
417.917,20385
419.688,21052
421.458,21661
423.229,22087
425,23106
426.771,23448
428.542,24365
430.312,25102
432.083,25366
433.854,25892
435.625,26700
437.396,27079
439.167,27421
440.938,27656
442.708,27990
444.479,28356
446.25,28663
448.021,28963
449.792,28931
451.562,29293
453.333,29413
455.104,29591
456.875,30085
458.646,29896
460.417,29365
462.188,29212
463.958,28682
465.729,27600
467.5,27171
469.271,26761
471.042,25439
472.812,24839
474.583,24513
476.354,23744
478.125,23097
479.896,23081
481.667,22526
483.438,22118
485.208,21877
486.979,21836
488.75,21853
490.521,22100
492.292,22159
494.062,21946
495.833,21868
497.604,22057
499.375,21578
501.146,21665
502.917,20939
504.688,20665
506.458,20276
508.229,20143
510,19493
511.771,19506
513.542,18649
515.312,18660
517.083,18295
518.854,17916
520.625,17890
522.396,17393
524.167,16980
525.938,16706
527.708,16372
529.479,16395
531.25,16127
533.021,15726
534.792,15822
536.562,15516
538.333,15362
540.104,15553
541.875,15035
543.646,15107
545.417,15105
547.188,15019
548.958,15098
550.729,14813
552.5,14679
554.271,14605
556.042,14354
557.812,14537
559.583,14395
561.354,14200
563.125,14317
564.896,14179
566.667,13949
568.438,13992
570.208,13650
571.979,13807
573.75,13675
575.521,13446
577.292,13491
579.062,13268
580.833,13233
582.604,13206
584.375,13075
586.146,13052
587.917,12757
589.688,12792
591.458,12919
593.229,12508
595,12601
596.771,12638
598.542,12305
600.312,12532
602.083,12476
603.854,12349
605.625,12387
607.396,12263
609.167,12294
610.938,12285
612.708,12167
614.479,12274
616.25,12042
618.021,12116
619.792,12147
621.562,12025
623.333,12045
625.104,12055
626.875,11886
628.646,12066
630.417,11950
632.188,11863
633.958,11936
635.729,11882
637.5,11856
639.271,11921
641.042,11547
642.812,11808
644.583,11722
646.354,11655
648.125,11827
649.896,11602
651.667,11777
653.438,11763
655.208,11526
656.979,11847
658.75,11597
660.521,11609
662.292,11741
664.062,11453
665.833,11667
667.604,11665
669.375,11486
671.146,11608
672.917,11580
674.688,11551
676.458,11564
678.229,11490
680,11452
681.771,11616
683.542,11386
685.312,11559
687.083,11423
688.854,11519
690.625,11631
692.396,11484
694.167,11441
695.938,11573
697.708,11373
699.479,11681
701.25,11390
703.021,11545
704.792,11467
706.562,11432
708.333,11434
710.104,11498
711.875,11284
713.646,11646
715.417,11448
717.188,11315
718.958,11580
720.729,11492
722.5,11474
724.271,11475
726.042,11301
727.812,11536
729.583,11317
731.354,11415
733.125,11382
734.896,11435
736.667,11426
738.438,11507
740.208,11233
741.979,11504
743.75,11337
745.521,11344
747.292,11559
749.062,11284
750.833,11354
752.604,11457
754.375,11288
756.146,11538
757.917,11397
759.688,11341
761.458,11422
763.229,11276
765,11445
766.771,11578
768.542,11271
770.312,11494
772.083,11451
773.854,11346
775.625,11588
777.396,11309
779.167,11366
780.938,11474
782.708,11255
784.479,11511
786.25,11375
788.021,11371
789.792,11599
791.562,11250
793.333,11467
795.104,11354
796.875,11291
798.646,11357
800.417,11388
802.188,11347
803.958,11680
805.729,11351
807.5,11452
809.271,11598
811.042,11401
812.812,11536
814.583,11275
816.354,11417
818.125,11638
819.896,11245
821.667,11547
823.438,11345
825.208,11362
826.979,11542
828.75,11553
830.521,11365
832.292,11585
834.062,11366
835.833,11516
837.604,11557
839.375,11395
841.146,11449
842.917,11573
844.688,11447
846.458,11583
848.229,11373
