x,y
340,0
341.771,13223
343.542,13153
345.312,11517
347.083,11482
348.854,11320
350.625,11617
352.396,11249
354.167,11336
355.938,11535
357.708,11323
359.479,11496
361.25,11372
363.021,11377
364.792,11548
366.562,11353
368.333,11469
370.104,11592
371.875,11246
373.646,11416
375.417,11382
377.188,11352
378.958,11529
380.729,11243
382.5,11364
384.271,11516
386.042,11435
387.812,11414
389.583,11341
391.354,11372
393.125,11451
394.896,11427
396.667,11420
398.438,11482
400.208,11383
401.979,11518
403.75,11532
405.521,11370
407.292,11538
409.062,11411
410.833,11420
412.604,11496
414.375,11244
416.146,11512
417.917,11554
419.688,11654
421.458,11744
423.229,11676
425,11918
426.771,12148
428.542,12340
430.312,13103
432.083,13647
433.854,14663
435.625,16170
437.396,18447
439.167,21734
440.938,25989
442.708,29370
444.479,32246
446.25,32609
448.021,31208
449.792,28858
451.562,27071
453.333,26496
455.104,25737
456.875,24499
458.646,23274
460.417,21958
462.188,21585
463.958,21296
465.729,21034
467.5,21148
469.271,21448
471.042,21492
472.812,21627
474.583,22478
476.354,22908
478.125,23688
479.896,24503
481.667,25028
483.438,25734
485.208,26548
486.979,27997
488.75,28643
490.521,29702
492.292,31702
494.062,32977
495.833,34387
497.604,35509
499.375,36351
501.146,37681
502.917,38250
504.688,39299
506.458,39608
508.229,40648
510,41394
511.771,41695
513.542,42100
515.312,42607
517.083,43373
518.854,43568
520.625,43648
522.396,44339
524.167,44824
525.938,44555
527.708,44375
529.479,46163
531.25,45999
533.021,46766
534.792,47295
536.562,47661
538.333,48269
540.104,48774
541.875,48711
543.646,49853
545.417,49005
547.188,49838
548.958,50234
550.729,50405
552.5,50386
554.271,50527
556.042,50121
557.812,50570
559.583,50129
561.354,49669
563.125,50058
564.896,49784
566.667,49198
568.438,48122
570.208,48094
571.979,47953
573.75,46880
575.521,46100
577.292,44845
579.062,44289
580.833,43571
582.604,43124
584.375,41701
586.146,40733
587.917,39854
589.688,39114
591.458,37908
593.229,36792
595,36177
596.771,35182
598.542,33915
600.312,33009
602.083,32157
603.854,31293
605.625,30462
607.396,29681
609.167,28938
610.938,28302
612.708,27200
614.479,26606
616.25,25837
618.021,24857
619.792,24039
621.562,23686
623.333,23031
625.104,22608
626.875,21898
628.646,21644
630.417,21032
632.188,20475
633.958,20063
635.729,19432
637.5,19173
639.271,18804
641.042,18088
642.812,17794
644.583,17639
646.354,17131
648.125,16974
649.896,16582
651.667,16451
653.438,16075
655.208,15630
656.979,15750
658.75,15287
660.521,15012
662.292,14989
664.062,14618
665.833,14533
667.604,14370
669.375,14015
671.146,14080
672.917,13958
674.688,13576
676.458,13622
678.229,13405
680,13219
681.771,13393
683.542,12979
685.312,13068
687.083,12880
688.854,12836
690.625,12797
692.396,12645
694.167,12472
695.938,12572
697.708,12369
699.479,12506
701.25,12260
703.021,12235
704.792,12299
706.562,12074
708.333,12146
710.104,12254
711.875,11841
713.646,12092
715.417,11919
717.188,11838
718.958,11987
720.729,11810
722.5,11832
724.271,11928
726.042,11705
727.812,11875
729.583,11661
731.354,11692
733.125,11621
734.896,11610
736.667,11703
738.438,11693
740.208,11539
741.979,11661
743.75,11486
745.521,11562
747.292,11757
749.062,11567
750.833,11500
752.604,11619
754.375,11448
756.146,11720
757.917,11532
759.688,11522
761.458,11650
763.229,11429
765,11530
766.771,11706
768.542,11385
770.312,11602
772.083,11515
773.854,11490
775.625,11654
777.396,11395
779.167,11462
780.938,11590
782.708,11363
784.479,11549
786.25,11466
788.021,11479
789.792,11681
791.562,11481
793.333,11493
795.104,11527
796.875,11390
798.646,11540
800.417,11521
802.188,11458
803.958,11683
805.729,11323
807.5,11531
809.271,11670
811.042,11444
812.812,11499
814.583,11254
816.354,11490
818.125,11600
819.896,11322
821.667,11537
823.438,11487
825.208,11395
826.979,11520
828.75,11517
830.521,11398
832.292,11508
834.062,11360
835.833,11421
837.604,11533
839.375,11424
841.146,11509
842.917,11410
844.688,11489
846.458,11656
848.229,11470
