x,y
340,0
341.771,13228
343.542,13119
345.312,11496
347.083,11412
348.854,11386
350.625,11609
352.396,11294
354.167,11363
355.938,11503
357.708,11309
359.479,11502
361.25,11415
363.021,11302
364.792,11607
366.562,11387
368.333,11497
370.104,11527
371.875,11303
373.646,11504
375.417,11443
377.188,11417
378.958,11516
380.729,11248
382.5,11387
384.271,11492
386.042,11403
387.812,11507
389.583,11402
391.354,11414
393.125,11574
394.896,11391
396.667,11374
398.438,11474
400.208,11401
401.979,11506
403.75,11428
405.521,11393
407.292,11532
409.062,11474
410.833,11493
412.604,11506
414.375,11182
416.146,11546
417.917,11479
419.688,11554
421.458,11735
423.229,11704
425,11786
426.771,12179
428.542,12184
430.312,13011
432.083,13525
433.854,14497
435.625,16127
437.396,18405
439.167,21430
440.938,25215
442.708,29073
444.479,31876
446.25,32331
448.021,30630
449.792,28757
451.562,27030
453.333,26106
455.104,25362
456.875,24278
458.646,23261
460.417,22028
462.188,21320
463.958,21157
465.729,20959
467.5,20971
469.271,21488
471.042,21371
472.812,21590
474.583,22193
476.354,22729
478.125,23149
479.896,24200
481.667,24713
483.438,25467
485.208,26046
486.979,27231
488.75,28343
490.521,29755
492.292,31417
494.062,32494
495.833,33764
497.604,35171
499.375,36223
501.146,37089
502.917,37950
504.688,38702
506.458,39575
508.229,40059
510,40634
511.771,41346
513.542,41507
515.312,42054
517.083,42582
518.854,42863
520.625,43722
522.396,43914
524.167,43807
525.938,44138
527.708,44462
529.479,45526
531.25,45415
533.021,46247
534.792,46624
536.562,47240
538.333,47489
540.104,48482
541.875,48460
543.646,49054
545.417,48851
547.188,49658
548.958,49927
550.729,49863
552.5,49951
554.271,49924
556.042,49999
557.812,49657
559.583,49643
561.354,49016
563.125,49379
564.896,49553
566.667,49273
568.438,47906
570.208,47269
571.979,46824
573.75,46302
575.521,45597
577.292,45143
579.062,43558
580.833,42973
582.604,42188
584.375,41156
586.146,40328
587.917,39324
589.688,38504
591.458,37612
593.229,36380
595,35653
596.771,34863
598.542,33406
600.312,32755
602.083,31840
603.854,31248
605.625,30388
607.396,29300
609.167,28868
610.938,27885
612.708,27002
614.479,26541
616.25,25527
618.021,24976
619.792,24178
621.562,23292
623.333,22947
625.104,22510
626.875,21724
628.646,21640
630.417,20860
632.188,20321
633.958,20023
635.729,19437
637.5,19111
639.271,18758
641.042,17992
642.812,17822
644.583,17519
646.354,17066
648.125,17154
649.896,16511
651.667,16309
653.438,16245
655.208,15688
656.979,15847
658.75,15298
660.521,14988
662.292,14984
664.062,14506
665.833,14595
667.604,14386
669.375,14033
671.146,14075
672.917,13834
674.688,13499
676.458,13618
678.229,13316
680,13342
681.771,13474
683.542,12982
685.312,13070
687.083,12905
688.854,12761
690.625,12777
692.396,12629
694.167,12641
695.938,12589
697.708,12369
699.479,12645
701.25,12256
703.021,12278
704.792,12202
706.562,12187
708.333,12199
710.104,12123
711.875,11870
713.646,12129
715.417,11931
717.188,11835
718.958,12037
720.729,11858
722.5,11880
724.271,11881
726.042,11674
727.812,11877
729.583,11650
731.354,11759
733.125,11695
734.896,11636
736.667,11731
738.438,11648
740.208,11489
741.979,11634
743.75,11458
745.521,11599
747.292,11708
749.062,11488
750.833,11478
752.604,11645
754.375,11538
756.146,11692
757.917,11554
759.688,11511
761.458,11535
763.229,11455
765,11518
766.771,11673
768.542,11480
770.312,11609
772.083,11457
773.854,11418
775.625,11550
777.396,11402
779.167,11485
780.938,11565
782.708,11412
784.479,11599
786.25,11390
788.021,11544
789.792,11692
791.562,11453
793.333,11505
795.104,11463
796.875,11343
798.646,11657
800.417,11534
802.188,11496
803.958,11740
805.729,11393
807.5,11535
809.271,11623
811.042,11377
812.812,11548
814.583,11286
816.354,11491
818.125,11614
819.896,11292
821.667,11588
823.438,11502
825.208,11414
826.979,11565
828.75,11487
830.521,11460
832.292,11500
834.062,11414
835.833,11506
837.604,11464
839.375,11451
841.146,11552
842.917,11474
844.688,11474
846.458,11652
848.229,11419
