x,y
900.989,28390
904.913,31521
908.832,35135
914.051,39259
917.96,43807
921.865,48119
925.765,54751
929.661,61298
933.553,67782
937.44,74069
941.322,80400
945.2,86134
949.074,92012
954.232,98141
958.095,103396
961.954,107821
965.809,112001
969.659,114708
973.505,117863
977.346,120358
981.182,122313
985.015,123129
990.118,123208
993.94,122172
997.757,121732
1001.57,121296
1005.38,121764
1009.18,121384
1012.98,121025
1016.78,121073
1020.57,121964
1024.36,121619
1029.4,122165
1033.17,122563
1036.95,122890
1040.71,124206
1044.48,124317
1048.23,124739
1051.99,125128
1055.74,125600
1059.48,126245
1063.22,126055
1068.2,126676
1071.93,127484
1075.66,127682
1079.38,127996
1083.1,127636
1086.81,128544
1090.52,128206
1094.22,128075
1097.92,128482
1102.85,128308
1106.54,128099
1110.22,127624
1113.9,128049
1117.58,127445
1121.25,127370
1124.92,127827
1128.58,127908
1132.24,127445
1135.89,127412
1140.76,127292
1144.4,127582
1148.04,127769
1151.67,127369
1155.3,127705
1158.93,127768
1162.55,128271
1166.16,128417
1169.78,129559
1173.38,130262
1178.19,131681
1181.79,132806
1185.38,134187
1188.97,135655
1192.55,137231
1196.13,138686
1199.71,140854
1203.28,142816
1206.84,145002
1211.59,148274
1215.15,151027
1218.7,153292
1222.25,156060
1225.79,158183
1229.33,161366
1232.86,162948
1236.39,165776
1239.92,167642
1243.44,169505
1248.12,171541
1251.63,172641
1255.14,174569
1258.64,175750
1262.14,177725
1265.63,179774
1269.12,181657
1272.6,182841
1276.08,185171
1279.56,186552
1284.18,188278
1287.65,190118
1291.11,190825
1294.56,191795
1298.01,192581
1301.46,193402
1304.9,193087
1308.34,194168
1311.77,194012
1316.34,193540
1319.77,193130
1323.19,192468
1326.6,192110
1330.01,190652
1333.42,189726
1336.82,188257
1340.21,186994
1343.61,185443
1346.99,182953
1351.5,180953
1354.88,178011
1358.25,175994
1361.62,174283
1364.99,172065
1368.34,171307
1371.7,169894
1375.05,167945
1378.4,164714
1381.74,160887
1386.19,156455
1389.52,153205
1392.85,150070
1396.17,147543
1399.49,144297
1402.8,141284
1406.11,138740
1409.41,136086
1412.72,132548
1417.11,128882
1420.4,125828
1423.68,123296
1426.97,120942
1430.24,119491
1433.52,118253
1436.78,116515
1440.05,115512
1443.31,114503
1446.56,113748
1450.89,112694
1454.14,112402
1457.38,111230
1460.61,110978
1463.84,110521
1467.07,109686
1470.29,109490
1473.51,108533
1476.72,108124
1479.93,107184
1484.2,107034
1487.4,106590
1490.6,105933
1493.79,105284
1496.97,105068
1500.15,104306
1503.33,103763
1506.5,103284
1509.67,102328
1513.88,100945
1517.04,99819
1520.19,99080
1523.34,98697
1526.49,97281
1529.63,96444
1532.76,95398
1535.89,93900
1539.02,93021
1542.14,91566
1546.29,90129
1549.41,88935
1552.51,87129
1555.61,85634
1558.71,83987
1561.81,82807
1564.9,80891
1567.98,79526
1571.06,78263
1574.14,76873
1578.23,75198
1581.3,73442
1584.36,72284
1587.41,70954
1590.47,69743
1593.51,68287
1596.56,67169
1599.6,65955
1602.63,65139
1606.67,63261
1609.69,61915
1612.71,60495
1615.73,59856
1618.74,58526
1621.75,56735
1624.75,55490
1627.75,54419
1630.74,52779
1633.73,51516
1637.71,49947
1640.68,48210
1643.66,47316
1646.63,45741
1649.59,44150
1652.55,42653
1655.51,41087
1658.46,39191
1661.41,37226
1664.35,34835
1668.27,31235
1671.2,27864
1674.13,25111
1677.05,21873
1679.97,17955
1682.89,15642
1685.8,13419
1688.7,11070
1691.61,7743
1694.5,8028
1698.36,6444
1701.25,5938
