x,y
900.989,28797
904.913,31737
908.832,35210
914.051,39834
917.96,43911
921.865,49236
925.765,54928
929.661,61778
933.553,68236
937.44,75145
941.322,81362
945.2,87683
949.074,92653
954.232,99687
958.095,104712
961.954,109090
965.809,113214
969.659,116730
973.505,119749
977.346,122160
981.182,124165
985.015,125393
990.118,124370
993.94,124175
997.757,123647
1001.57,123462
1005.38,123068
1009.18,123055
1012.98,123020
1016.78,123179
1020.57,123481
1024.36,123731
1029.4,124072
1033.17,124489
1036.95,124389
1040.71,125417
1044.48,126330
1048.23,126994
1051.99,127237
1055.74,127689
1059.48,127951
1063.22,128181
1068.2,128594
1071.93,129329
1075.66,128608
1079.38,129965
1083.1,129682
1086.81,130036
1090.52,129406
1094.22,130192
1097.92,129832
1102.85,129965
1106.54,129343
1110.22,129828
1113.9,129194
1117.58,128993
1121.25,129142
1124.92,129050
1128.58,128931
1132.24,129169
1135.89,129343
1140.76,128744
1144.4,129199
1148.04,128836
1151.67,128781
1155.3,129050
1158.93,129270
1162.55,130019
1166.16,130581
1169.78,131305
1173.38,132178
1178.19,133542
1181.79,134174
1185.38,135717
1188.97,137308
1192.55,139218
1196.13,140577
1199.71,142460
1203.28,144603
1206.84,146895
1211.59,150239
1215.15,152266
1218.7,154967
1222.25,157566
1225.79,160572
1229.33,163013
1232.86,165215
1236.39,167753
1239.92,169853
1243.44,171352
1248.12,173622
1251.63,175622
1255.14,176501
1258.64,177646
1262.14,179824
1265.63,181695
1269.12,183642
1272.6,185622
1276.08,187789
1279.56,189231
1284.18,190829
1287.65,192151
1291.11,193400
1294.56,194532
1298.01,195071
1301.46,195379
1304.9,196319
1308.34,195567
1311.77,196536
1316.34,196274
1319.77,195660
1323.19,194664
1326.6,194720
1330.01,193419
1333.42,192013
1336.82,190895
1340.21,189748
1343.61,187943
1346.99,186013
1351.5,183477
1354.88,180813
1358.25,178123
1361.62,176252
1364.99,174254
1368.34,173288
1371.7,172067
1375.05,169411
1378.4,166605
1381.74,162992
1386.19,158183
1389.52,155344
1392.85,152611
1396.17,149289
1399.49,146095
1402.8,143977
1406.11,140658
1409.41,137369
1412.72,134802
1417.11,131131
1420.4,128476
1423.68,126040
1426.97,122830
1430.24,121234
1433.52,119663
1436.78,117989
1440.05,117114
1443.31,116456
1446.56,115075
1450.89,114817
1454.14,113873
1457.38,113265
1460.61,113089
1463.84,112536
1467.07,111823
1470.29,110968
1473.51,110738
1476.72,109940
1479.93,109525
1484.2,108519
1487.4,108340
1490.6,107989
1493.79,107172
1496.97,106804
1500.15,106013
1503.33,105567
1506.5,104770
1509.67,103681
1513.88,102463
1517.04,101639
1520.19,100568
1523.34,99552
1526.49,98443
1529.63,97583
1532.76,96399
1535.89,95577
1539.02,94521
1542.14,93267
1546.29,91432
1549.41,89626
1552.51,88599
1555.61,87079
1558.71,85425
1561.81,83701
1564.9,82554
1567.98,80706
1571.06,78964
1574.14,77917
1578.23,75976
1581.3,74727
1584.36,73500
1587.41,72094
1590.47,70764
1593.51,69446
1596.56,68367
1599.6,66899
1602.63,66072
1606.67,64752
1609.69,63520
1612.71,61816
1615.73,60834
1618.74,59273
1621.75,58209
1624.75,57120
1627.75,55284
1630.74,53718
1633.73,52633
1637.71,50573
1640.68,49284
1643.66,47978
1646.63,46742
1649.59,44742
1652.55,43307
1655.51,41621
1658.46,39959
1661.41,37927
1664.35,35688
1668.27,32459
1671.2,29241
1674.13,25888
1677.05,22867
1679.97,19745
1682.89,16632
1685.8,13968
1688.7,12057
1691.61,10287
1694.5,8704
1698.36,7310
1701.25,6079
