x,y
340,0
341.771,13229
343.542,13099
345.312,11459
347.083,11430
348.854,11227
350.625,11679
352.396,11270
354.167,11328
355.938,11453
357.708,11299
359.479,11389
361.25,11249
363.021,11353
364.792,11544
366.562,11302
368.333,11467
370.104,11492
371.875,11249
373.646,11401
375.417,11295
377.188,11310
378.958,11403
380.729,11183
382.5,11353
384.271,11577
386.042,11719
387.812,11776
389.583,11834
391.354,11798
393.125,11727
394.896,11460
396.667,11442
398.438,11554
400.208,11968
401.979,12727
403.75,13772
405.521,14625
407.292,15721
409.062,16699
410.833,17235
412.604,18247
414.375,18599
416.146,19813
417.917,20599
419.688,21315
421.458,21777
423.229,22265
425,22596
426.771,22950
428.542,23177
430.312,24115
432.083,24538
433.854,25044
435.625,25829
437.396,26177
439.167,26299
440.938,27009
442.708,27187
444.479,27512
446.25,27871
448.021,28145
449.792,28843
451.562,28904
453.333,29084
455.104,29182
456.875,29071
458.646,29243
460.417,28456
462.188,27899
463.958,27378
465.729,26731
467.5,25646
469.271,25481
471.042,24319
472.812,24117
474.583,23100
476.354,22834
478.125,22107
479.896,21828
481.667,21344
483.438,20604
485.208,20327
486.979,19996
488.75,19725
490.521,19597
492.292,19734
494.062,19508
495.833,19314
497.604,19520
499.375,19069
501.146,19171
502.917,18520
504.688,18429
506.458,18264
508.229,17844
510,17487
511.771,17542
513.542,17197
515.312,17002
517.083,16830
518.854,16503
520.625,16406
522.396,16147
524.167,15802
525.938,15558
527.708,15215
529.479,15449
531.25,15112
533.021,15028
534.792,15022
536.562,14695
538.333,14604
540.104,14774
541.875,14275
543.646,14353
545.417,14203
547.188,14039
548.958,13878
550.729,13923
552.5,13657
554.271,13636
556.042,13446
557.812,13492
559.583,13451
561.354,13380
563.125,13375
564.896,13389
566.667,13345
568.438,13320
570.208,13137
571.979,13138
573.75,12978
575.521,12934
577.292,12946
579.062,12850
580.833,12660
582.604,12777
584.375,12625
586.146,12670
587.917,12424
589.688,12464
591.458,12557
593.229,12404
595,12478
596.771,12329
598.542,12170
600.312,12342
602.083,12146
603.854,12122
605.625,12175
607.396,12083
609.167,12037
610.938,12097
612.708,11911
614.479,12113
616.25,11934
618.021,11921
619.792,11853
621.562,11945
623.333,11864
625.104,11871
626.875,11772
628.646,11820
630.417,11705
632.188,11597
633.958,11816
635.729,11768
637.5,11718
639.271,11660
641.042,11461
642.812,11693
644.583,11672
646.354,11605
648.125,11791
649.896,11454
651.667,11730
653.438,11672
655.208,11494
656.979,11785
658.75,11468
660.521,11488
662.292,11770
664.062,11424
665.833,11525
667.604,11624
669.375,11426
671.146,11569
672.917,11528
674.688,11413
676.458,11555
678.229,11356
680,11531
681.771,11684
683.542,11394
685.312,11533
687.083,11435
688.854,11545
690.625,11530
692.396,11427
694.167,11512
695.938,11578
697.708,11412
699.479,11656
701.25,11332
703.021,11451
704.792,11541
706.562,11358
708.333,11398
710.104,11573
711.875,11234
713.646,11578
715.417,11336
717.188,11276
718.958,11532
720.729,11501
722.5,11436
724.271,11527
726.042,11254
727.812,11592
729.583,11323
731.354,11363
733.125,11411
734.896,11319
736.667,11386
738.438,11492
740.208,11351
741.979,11446
743.75,11338
745.521,11285
747.292,11507
749.062,11296
750.833,11291
752.604,11467
754.375,11334
756.146,11557
757.917,11375
759.688,11322
761.458,11410
763.229,11294
765,11407
766.771,11574
768.542,11262
770.312,11407
772.083,11390
773.854,11240
775.625,11519
777.396,11316
779.167,11408
780.938,11458
782.708,11272
784.479,11456
786.25,11399
788.021,11328
789.792,11560
791.562,11247
793.333,11466
795.104,11346
796.875,11253
798.646,11402
800.417,11453
802.188,11400
803.958,11656
805.729,11265
807.5,11383
809.271,11557
811.042,11315
812.812,11468
814.583,11253
816.354,11415
818.125,11596
819.896,11276
821.667,11482
823.438,11347
825.208,11407
826.979,11552
828.75,11570
830.521,11472
832.292,11479
834.062,11329
835.833,11505
837.604,11564
839.375,11347
841.146,11447
842.917,11406
844.688,11477
846.458,11603
848.229,11403
