x,y
340,0
341.771,13182
343.542,13137
345.312,11421
347.083,11369
348.854,11302
350.625,11684
352.396,11294
354.167,11259
355.938,11496
357.708,11248
359.479,11422
361.25,11285
363.021,11301
364.792,11517
366.562,11270
368.333,11391
370.104,11554
371.875,11224
373.646,11381
375.417,11316
377.188,11309
378.958,11394
380.729,11235
382.5,11375
384.271,11562
386.042,11745
387.812,11860
389.583,11840
391.354,11769
393.125,11730
394.896,11486
396.667,11425
398.438,11665
400.208,11881
401.979,12871
403.75,13829
405.521,14745
407.292,15955
409.062,16620
410.833,17342
412.604,18177
414.375,18696
416.146,19834
417.917,20616
419.688,21236
421.458,21737
423.229,22120
425,22698
426.771,23015
428.542,23412
430.312,24145
432.083,24686
433.854,25202
435.625,25936
437.396,26330
439.167,26792
440.938,27143
442.708,27361
444.479,27519
446.25,27900
448.021,28349
449.792,28711
451.562,28910
453.333,28932
455.104,29212
456.875,29081
458.646,28932
460.417,28622
462.188,27933
463.958,27539
465.729,26393
467.5,25592
469.271,25011
471.042,24300
472.812,24042
474.583,23318
476.354,22553
478.125,22138
479.896,21954
481.667,21050
483.438,20706
485.208,20066
486.979,20043
488.75,19672
490.521,19600
492.292,19771
494.062,19354
495.833,19147
497.604,19401
499.375,18847
501.146,18934
502.917,18561
504.688,18430
506.458,18021
508.229,17848
510,17497
511.771,17640
513.542,17158
515.312,16849
517.083,16780
518.854,16468
520.625,16392
522.396,15973
524.167,15716
525.938,15521
527.708,15296
529.479,15379
531.25,15022
533.021,14936
534.792,14877
536.562,14474
538.333,14665
540.104,14623
541.875,14121
543.646,14333
545.417,14057
547.188,13924
548.958,13972
550.729,13803
552.5,13642
554.271,13656
556.042,13375
557.812,13445
559.583,13304
561.354,13240
563.125,13403
564.896,13415
566.667,13352
568.438,13360
570.208,13051
571.979,13100
573.75,13108
575.521,12914
577.292,12944
579.062,12781
580.833,12683
582.604,12774
584.375,12582
586.146,12700
587.917,12413
589.688,12422
591.458,12469
593.229,12384
595,12339
596.771,12336
598.542,12165
600.312,12344
602.083,12214
603.854,12064
605.625,12114
607.396,12003
609.167,12070
610.938,12039
612.708,11844
614.479,12117
616.25,11851
618.021,11986
619.792,12020
621.562,11906
623.333,11923
625.104,11927
626.875,11765
628.646,11804
630.417,11768
632.188,11582
633.958,11750
635.729,11782
637.5,11770
639.271,11628
641.042,11529
642.812,11723
644.583,11581
646.354,11653
648.125,11749
649.896,11538
651.667,11697
653.438,11655
655.208,11606
656.979,11768
658.75,11455
660.521,11590
662.292,11675
664.062,11444
665.833,11570
667.604,11603
669.375,11420
671.146,11619
672.917,11478
674.688,11468
676.458,11543
678.229,11430
680,11487
681.771,11566
683.542,11314
685.312,11494
687.083,11443
688.854,11499
690.625,11564
692.396,11370
694.167,11499
695.938,11541
697.708,11336
699.479,11663
701.25,11354
703.021,11407
704.792,11545
706.562,11392
708.333,11347
710.104,11603
711.875,11292
713.646,11588
715.417,11411
717.188,11383
718.958,11593
720.729,11389
722.5,11467
724.271,11492
726.042,11273
727.812,11441
729.583,11385
731.354,11444
733.125,11288
734.896,11403
736.667,11400
738.438,11462
740.208,11182
741.979,11457
743.75,11233
745.521,11426
747.292,11526
749.062,11328
750.833,11422
752.604,11413
754.375,11293
756.146,11587
757.917,11311
759.688,11342
761.458,11361
763.229,11282
765,11435
766.771,11523
768.542,11335
770.312,11442
772.083,11383
773.854,11335
775.625,11522
777.396,11325
779.167,11360
780.938,11406
782.708,11160
784.479,11396
786.25,11309
788.021,11386
789.792,11596
791.562,11278
793.333,11350
795.104,11354
796.875,11225
798.646,11468
800.417,11456
802.188,11470
803.958,11600
805.729,11309
807.5,11428
809.271,11584
811.042,11303
812.812,11517
814.583,11266
816.354,11430
818.125,11570
819.896,11245
821.667,11535
823.438,11339
825.208,11380
826.979,11540
828.75,11460
830.521,11338
832.292,11501
834.062,11351
835.833,11437
837.604,11530
839.375,11404
841.146,11483
842.917,11433
844.688,11425
846.458,11577
848.229,11304
