x,y
340,0
341.771,13226
343.542,13129
345.312,11536
347.083,11532
348.854,11449
350.625,11689
352.396,11361
354.167,11431
355.938,11530
357.708,11370
359.479,11574
361.25,11363
363.021,11387
364.792,11654
366.562,11416
368.333,11570
370.104,11714
371.875,11409
373.646,11485
375.417,11503
377.188,11403
378.958,11605
380.729,11218
382.5,11373
384.271,11532
386.042,11416
387.812,11472
389.583,11396
391.354,11391
393.125,11582
394.896,11370
396.667,11433
398.438,11558
400.208,11335
401.979,11599
403.75,11564
405.521,11427
407.292,11584
409.062,11441
410.833,11575
412.604,11560
414.375,11333
416.146,11704
417.917,11610
419.688,11701
421.458,11904
423.229,11945
425,12168
426.771,12725
428.542,13235
430.312,14278
432.083,15365
433.854,17112
435.625,20139
437.396,23693
439.167,29481
440.938,36775
442.708,43708
444.479,48843
446.25,49421
448.021,47244
449.792,43338
451.562,40012
453.333,38345
455.104,36812
456.875,34813
458.646,32555
460.417,30445
462.188,28958
463.958,28227
465.729,28133
467.5,28266
469.271,28615
471.042,28474
472.812,29357
474.583,29987
476.354,30739
478.125,31414
479.896,32330
481.667,32697
483.438,33204
485.208,33971
486.979,35036
488.75,36251
490.521,37609
492.292,38996
494.062,40479
495.833,41729
497.604,42894
499.375,43872
501.146,45215
502.917,45616
504.688,46545
506.458,47023
508.229,48204
510,48886
511.771,49272
513.542,49752
515.312,49751
517.083,50119
518.854,50700
520.625,51285
522.396,51530
524.167,51410
525.938,51464
527.708,51814
529.479,53195
531.25,53025
533.021,53736
534.792,54215
536.562,54191
538.333,54380
540.104,55334
541.875,55609
543.646,56468
545.417,54946
547.188,56365
548.958,56117
550.729,56531
552.5,56578
554.271,56180
556.042,55701
557.812,56217
559.583,55660
561.354,54758
563.125,55122
564.896,55363
566.667,54514
568.438,53384
570.208,52568
571.979,52267
573.75,50916
575.521,50453
577.292,49412
579.062,48276
580.833,47856
582.604,46443
584.375,45317
586.146,44439
587.917,43007
589.688,41922
591.458,41228
593.229,39664
595,39082
596.771,37712
598.542,36273
600.312,35186
602.083,34292
603.854,33236
605.625,32590
607.396,31101
609.167,30344
610.938,29316
612.708,28291
614.479,27792
616.25,26705
618.021,26198
619.792,25428
621.562,24740
623.333,24101
625.104,23328
626.875,22680
628.646,22226
630.417,21643
632.188,21019
633.958,20679
635.729,19955
637.5,19726
639.271,19160
641.042,18608
642.812,18407
644.583,17962
646.354,17500
648.125,17477
649.896,16866
651.667,16683
653.438,16468
655.208,15979
656.979,15893
658.75,15584
660.521,15226
662.292,15223
664.062,14769
665.833,14756
667.604,14573
669.375,14171
671.146,14242
672.917,13960
674.688,13781
676.458,13737
678.229,13464
680,13405
681.771,13452
683.542,13033
685.312,13095
687.083,12941
688.854,12848
690.625,12828
692.396,12561
694.167,12590
695.938,12636
697.708,12339
699.479,12597
701.25,12281
703.021,12445
704.792,12298
706.562,12126
708.333,12125
710.104,12219
711.875,11907
713.646,12217
715.417,12056
717.188,11829
718.958,12075
720.729,11951
722.5,11810
724.271,11998
726.042,11728
727.812,11935
729.583,11664
731.354,11657
733.125,11729
734.896,11606
736.667,11830
738.438,11704
740.208,11533
741.979,11801
743.75,11444
745.521,11627
747.292,11817
749.062,11503
750.833,11502
752.604,11681
754.375,11493
756.146,11695
757.917,11433
759.688,11637
761.458,11537
763.229,11470
765,11583
766.771,11668
768.542,11457
770.312,11634
772.083,11498
773.854,11432
775.625,11597
777.396,11444
779.167,11474
780.938,11590
782.708,11434
784.479,11532
786.25,11585
788.021,11466
789.792,11703
791.562,11468
793.333,11532
795.104,11537
796.875,11406
798.646,11589
800.417,11488
802.188,11559
803.958,11721
805.729,11393
807.5,11610
809.271,11703
811.042,11402
812.812,11643
814.583,11376
816.354,11535
818.125,11665
819.896,11303
821.667,11483
823.438,11471
825.208,11434
826.979,11630
828.75,11539
830.521,11494
832.292,11571
834.062,11384
835.833,11543
837.604,11539
839.375,11442
841.146,11514
842.917,11384
844.688,11503
846.458,11638
848.229,11431
