x,y
340,0
341.771,13210
343.542,13161
345.312,11525
347.083,11564
348.854,11490
350.625,11698
352.396,11401
354.167,11465
355.938,11661
357.708,11263
359.479,11527
361.25,11371
363.021,11410
364.792,11654
366.562,11487
368.333,11520
370.104,11639
371.875,11354
373.646,11501
375.417,11522
377.188,11397
378.958,11521
380.729,11331
382.5,11448
384.271,11530
386.042,11391
387.812,11453
389.583,11374
391.354,11414
393.125,11617
394.896,11371
396.667,11470
398.438,11542
400.208,11420
401.979,11545
403.75,11538
405.521,11377
407.292,11612
409.062,11421
410.833,11537
412.604,11515
414.375,11311
416.146,11693
417.917,11638
419.688,11741
421.458,11812
423.229,11915
425,12160
426.771,12653
428.542,13176
430.312,14314
432.083,15499
433.854,17459
435.625,20224
437.396,24535
439.167,30143
440.938,37367
442.708,44370
444.479,49058
446.25,50247
448.021,46634
449.792,43149
451.562,39966
453.333,38084
455.104,36602
456.875,34552
458.646,32102
460.417,30341
462.188,29140
463.958,28668
465.729,28282
467.5,28478
469.271,29187
471.042,28913
472.812,29652
474.583,30156
476.354,30983
478.125,31469
479.896,32615
481.667,33245
483.438,33620
485.208,34466
486.979,35436
488.75,36616
490.521,37969
492.292,39539
494.062,40954
495.833,42396
497.604,43735
499.375,44956
501.146,45926
502.917,46420
504.688,47433
506.458,48187
508.229,48825
510,49154
511.771,49942
513.542,50472
515.312,51019
517.083,51347
518.854,51391
520.625,51833
522.396,52399
524.167,52181
525.938,52208
527.708,52598
529.479,53621
531.25,53335
533.021,54617
534.792,54727
536.562,54996
538.333,55215
540.104,55716
541.875,56128
543.646,56765
545.417,56500
547.188,57078
548.958,56995
550.729,56753
552.5,57188
554.271,56912
556.042,56318
557.812,56524
559.583,56298
561.354,55949
563.125,55973
564.896,55890
566.667,55214
568.438,54004
570.208,53385
571.979,52774
573.75,51724
575.521,51197
577.292,49989
579.062,48736
580.833,48022
582.604,47422
584.375,45740
586.146,45074
587.917,43768
589.688,42560
591.458,41525
593.229,40198
595,39013
596.771,38194
598.542,36637
600.312,35860
602.083,34517
603.854,33693
605.625,32848
607.396,31391
609.167,30648
610.938,29965
612.708,28489
614.479,28084
616.25,26860
618.021,26505
619.792,25539
621.562,24825
623.333,23976
625.104,23693
626.875,22552
628.646,22236
630.417,21859
632.188,21222
633.958,20907
635.729,20231
637.5,19829
639.271,19121
641.042,18583
642.812,18341
644.583,18038
646.354,17694
648.125,17468
649.896,16948
651.667,16762
653.438,16425
655.208,16011
656.979,15962
658.75,15603
660.521,15316
662.292,15193
664.062,14895
665.833,14664
667.604,14662
669.375,14217
671.146,14102
672.917,13958
674.688,13730
676.458,13713
678.229,13400
680,13423
681.771,13373
683.542,13102
685.312,13207
687.083,13034
688.854,12916
690.625,12846
692.396,12748
694.167,12644
695.938,12701
697.708,12313
699.479,12661
701.25,12249
703.021,12363
704.792,12436
706.562,12214
708.333,12142
710.104,12136
711.875,11895
713.646,12132
715.417,12015
717.188,11771
718.958,12071
720.729,11879
722.5,11875
724.271,11965
726.042,11687
727.812,11854
729.583,11600
731.354,11646
733.125,11742
734.896,11598
736.667,11769
738.438,11697
740.208,11517
741.979,11752
743.75,11464
745.521,11640
747.292,11791
749.062,11568
750.833,11556
752.604,11695
754.375,11520
756.146,11711
757.917,11491
759.688,11556
761.458,11655
763.229,11384
765,11625
766.771,11652
768.542,11551
770.312,11689
772.083,11462
773.854,11498
775.625,11685
777.396,11446
779.167,11484
780.938,11552
782.708,11366
784.479,11639
786.25,11508
788.021,11478
789.792,11778
791.562,11470
793.333,11491
795.104,11518
796.875,11362
798.646,11549
800.417,11549
802.188,11451
803.958,11757
805.729,11411
807.5,11519
809.271,11719
811.042,11414
812.812,11625
814.583,11424
816.354,11479
818.125,11594
819.896,11364
821.667,11590
823.438,11389
825.208,11436
826.979,11548
828.75,11476
830.521,11413
832.292,11536
834.062,11379
835.833,11497
837.604,11559
839.375,11438
841.146,11537
842.917,11539
844.688,11502
846.458,11626
848.229,11400
