x,y
900.989,25130
904.913,28008
908.832,30166
914.051,34163
917.96,37710
921.865,42196
925.765,47214
929.661,52393
933.553,58166
937.44,63741
941.322,69012
945.2,73773
949.074,77824
954.232,83630
958.095,87144
961.954,90231
965.809,93630
969.659,95449
973.505,97552
977.346,99573
981.182,101100
985.015,101337
990.118,100592
993.94,100191
997.757,99550
1001.57,99056
1005.38,99059
1009.18,98855
1012.98,98812
1016.78,98511
1020.57,98706
1024.36,99007
1029.4,99373
1033.17,99821
1036.95,100210
1040.71,100661
1044.48,101537
1048.23,102242
1051.99,102723
1055.74,103208
1059.48,103576
1063.22,103757
1068.2,104414
1071.93,104943
1075.66,105713
1079.38,105759
1083.1,106310
1086.81,106394
1090.52,106368
1094.22,106719
1097.92,106588
1102.85,106877
1106.54,106511
1110.22,106288
1113.9,106737
1117.58,106111
1121.25,106727
1124.92,106743
1128.58,106841
1132.24,106536
1135.89,106381
1140.76,105300
1144.4,105024
1148.04,104438
1151.67,104205
1155.3,104093
1158.93,103144
1162.55,103346
1166.16,103110
1169.78,103500
1173.38,103576
1178.19,103910
1181.79,104638
1185.38,105569
1188.97,106198
1192.55,107064
1196.13,107915
1199.71,109651
1203.28,111482
1206.84,112709
1211.59,115595
1215.15,117879
1218.7,120014
1222.25,122444
1225.79,124916
1229.33,127311
1232.86,128796
1236.39,131439
1239.92,133004
1243.44,134870
1248.12,136227
1251.63,136844
1255.14,138531
1258.64,139422
1262.14,141162
1265.63,142603
1269.12,143951
1272.6,145566
1276.08,146818
1279.56,148348
1284.18,150140
1287.65,150871
1291.11,151840
1294.56,152292
1298.01,153061
1301.46,153322
1304.9,153640
1308.34,153140
1311.77,153017
1316.34,152670
1319.77,151703
1323.19,151249
1326.6,150108
1330.01,148525
1333.42,147030
1336.82,145084
1340.21,143042
1343.61,141064
1346.99,139029
1351.5,135637
1354.88,132837
1358.25,130843
1361.62,128212
1364.99,126505
1368.34,124969
1371.7,123230
1375.05,121108
1378.4,118235
1381.74,115144
1386.19,110272
1389.52,106622
1392.85,103422
1396.17,99723
1399.49,95525
1402.8,91886
1406.11,88071
1409.41,84311
1412.72,80393
1417.11,76104
1420.4,72669
1423.68,69552
1426.97,67038
1430.24,64827
1433.52,63597
1436.78,61936
1440.05,60550
1443.31,60357
1446.56,59227
1450.89,58371
1454.14,57889
1457.38,57404
1460.61,56919
1463.84,56248
1467.07,55625
1470.29,56451
1473.51,55592
1476.72,55519
1479.93,55753
1484.2,55348
1487.4,55212
1490.6,55137
1493.79,55175
1496.97,55339
1500.15,55022
1503.33,54388
1506.5,54130
1509.67,54037
1513.88,53410
1517.04,53259
1520.19,52733
1523.34,52484
1526.49,52200
1529.63,52152
1532.76,51436
1535.89,50303
1539.02,49996
1542.14,49340
1546.29,48676
1549.41,48354
1552.51,46942
1555.61,46885
1558.71,45598
1561.81,44958
1564.9,43842
1567.98,42980
1571.06,42412
1574.14,41195
1578.23,40564
1581.3,40038
1584.36,39537
1587.41,38633
1590.47,38425
1593.51,37618
1596.56,37100
1599.6,36728
1602.63,35994
1606.67,35334
1609.69,34699
1612.71,34101
1615.73,33140
1618.74,32959
1621.75,32583
1624.75,31589
1627.75,31275
1630.74,30390
1633.73,29868
1637.71,29316
1640.68,27888
1643.66,27830
1646.63,27151
1649.59,26017
1652.55,24781
1655.51,24215
1658.46,23339
1661.41,22003
1664.35,20581
1668.27,18593
1671.2,16615
1674.13,14892
1677.05,13072
1679.97,11147
1682.89,8876
1685.8,8056
1688.7,6604
1691.61,5754
1694.5,4809
1698.36,3650
1701.25,3573
