x,y
900.989,24935
904.913,27968
908.832,30519
914.051,34415
917.96,37972
921.865,42318
925.765,48146
929.661,52765
933.553,58654
937.44,64555
941.322,69738
945.2,74203
949.074,79130
954.232,84870
958.095,88531
961.954,92127
965.809,95041
969.659,97451
973.505,99605
977.346,101680
981.182,103369
985.015,103653
990.118,102533
993.94,102429
997.757,102262
1001.57,101931
1005.38,101772
1009.18,101284
1012.98,101494
1016.78,101604
1020.57,101299
1024.36,101422
1029.4,102333
1033.17,102698
1036.95,103195
1040.71,103898
1044.48,104215
1048.23,104930
1051.99,105493
1055.74,105691
1059.48,105896
1063.22,106187
1068.2,107298
1071.93,107786
1075.66,107677
1079.38,108238
1083.1,108354
1086.81,108780
1090.52,108915
1094.22,108869
1097.92,109421
1102.85,108759
1106.54,108730
1110.22,108172
1113.9,108603
1117.58,108360
1121.25,108514
1124.92,108247
1128.58,108603
1132.24,107799
1135.89,107384
1140.76,107011
1144.4,106472
1148.04,105938
1151.67,105396
1155.3,104961
1158.93,104751
1162.55,104363
1166.16,104845
1169.78,104584
1173.38,105391
1178.19,105257
1181.79,105853
1185.38,106515
1188.97,107402
1192.55,108077
1196.13,109467
1199.71,110741
1203.28,112810
1206.84,114580
1211.59,117712
1215.15,119431
1218.7,122185
1222.25,123972
1225.79,126548
1229.33,128887
1232.86,131159
1236.39,133465
1239.92,135505
1243.44,136734
1248.12,138398
1251.63,139631
1255.14,140470
1258.64,142174
1262.14,143456
1265.63,144792
1269.12,146307
1272.6,148509
1276.08,149879
1279.56,151191
1284.18,152321
1287.65,153361
1291.11,154341
1294.56,155776
1298.01,156145
1301.46,156261
1304.9,156447
1308.34,156593
1311.77,156333
1316.34,155728
1319.77,155348
1323.19,153847
1326.6,153188
1330.01,151705
1333.42,150101
1336.82,148611
1340.21,146722
1343.61,144695
1346.99,142004
1351.5,138738
1354.88,136124
1358.25,133285
1361.62,131568
1364.99,130037
1368.34,128111
1371.7,126474
1375.05,124180
1378.4,120830
1381.74,117792
1386.19,112829
1389.52,109531
1392.85,105766
1396.17,102012
1399.49,98135
1402.8,94244
1406.11,90661
1409.41,86591
1412.72,82896
1417.11,78395
1420.4,74788
1423.68,71912
1426.97,69359
1430.24,67272
1433.52,65935
1436.78,64111
1440.05,63160
1443.31,62140
1446.56,61294
1450.89,60742
1454.14,60012
1457.38,59464
1460.61,59227
1463.84,59046
1467.07,58450
1470.29,58353
1473.51,58342
1476.72,57488
1479.93,57679
1484.2,57669
1487.4,57311
1490.6,57154
1493.79,57037
1496.97,56776
1500.15,56538
1503.33,56596
1506.5,56510
1509.67,55546
1513.88,56163
1517.04,55162
1520.19,55094
1523.34,54832
1526.49,54084
1529.63,53558
1532.76,53501
1535.89,52747
1539.02,52459
1542.14,51533
1546.29,50488
1549.41,49526
1552.51,49285
1555.61,48439
1558.71,47622
1561.81,47245
1564.9,45925
1567.98,44816
1571.06,43965
1574.14,43051
1578.23,42246
1581.3,42019
1584.36,41134
1587.41,40113
1590.47,39880
1593.51,39020
1596.56,38662
1599.6,38182
1602.63,37995
1606.67,37138
1609.69,36365
1612.71,35762
1615.73,35808
1618.74,34640
1621.75,33937
1624.75,33306
1627.75,32723
1630.74,32050
1633.73,31410
1637.71,30187
1640.68,29327
1643.66,29073
1646.63,27702
1649.59,27077
1652.55,26591
1655.51,25475
1658.46,24035
1661.41,22980
1664.35,22149
1668.27,19635
1671.2,17834
1674.13,15843
1677.05,13968
1679.97,11983
1682.89,9704
1685.8,8440
1688.7,7065
1691.61,5517
1694.5,4888
1698.36,3849
1701.25,3395
