x,y
340,0
341.771,13178
343.542,13155
345.312,11448
347.083,11391
348.854,11312
350.625,11737
352.396,11341
354.167,11356
355.938,11496
357.708,11267
359.479,11438
361.25,11345
363.021,11378
364.792,11571
366.562,11347
368.333,11538
370.104,11534
371.875,11276
373.646,11492
375.417,11489
377.188,11330
378.958,11506
380.729,11262
382.5,11411
384.271,11613
386.042,11649
387.812,11669
389.583,11572
391.354,11651
393.125,11735
394.896,11553
396.667,11588
398.438,11940
400.208,12950
401.979,15272
403.75,18110
405.521,21444
407.292,24484
409.062,27090
410.833,29906
412.604,32440
414.375,33999
416.146,36046
417.917,38328
419.688,40028
421.458,40815
423.229,42667
425,44479
426.771,46033
428.542,47648
430.312,49783
432.083,51126
433.854,53296
435.625,55055
437.396,56523
439.167,58277
440.938,59828
442.708,61576
444.479,63095
446.25,64933
448.021,65535
449.792,65535
451.562,65535
453.333,65535
455.104,65535
456.875,65535
458.646,65535
460.417,65418
462.188,64949
463.958,62106
465.729,59487
467.5,56819
469.271,54544
471.042,51283
472.812,49001
474.583,46481
476.354,43691
478.125,41674
479.896,39692
481.667,37289
483.438,34842
485.208,33276
486.979,31825
488.75,30390
490.521,29743
492.292,29105
494.062,28007
495.833,26877
497.604,26535
499.375,25373
501.146,24613
502.917,23471
504.688,22590
506.458,21962
508.229,21140
510,20331
511.771,20014
513.542,19228
515.312,18667
517.083,18245
518.854,17674
520.625,17292
522.396,16699
524.167,16123
525.938,15927
527.708,15452
529.479,15379
531.25,15199
533.021,14966
534.792,14787
536.562,14357
538.333,14171
540.104,14246
541.875,13854
543.646,13734
545.417,13629
547.188,13441
548.958,13478
550.729,13334
552.5,13081
554.271,13027
556.042,12866
557.812,12808
559.583,12807
561.354,12701
563.125,12614
564.896,12623
566.667,12498
568.438,12565
570.208,12302
571.979,12403
573.75,12382
575.521,12228
577.292,12271
579.062,12127
580.833,12051
582.604,12160
584.375,12012
586.146,12127
587.917,12008
589.688,11880
591.458,12050
593.229,11848
595,11933
596.771,11891
598.542,11661
600.312,11884
602.083,11706
603.854,11718
605.625,11816
607.396,11568
609.167,11693
610.938,11780
612.708,11529
614.479,11805
616.25,11637
618.021,11758
619.792,11732
621.562,11703
623.333,11746
625.104,11722
626.875,11602
628.646,11690
630.417,11527
632.188,11536
633.958,11636
635.729,11577
637.5,11519
639.271,11386
641.042,11242
642.812,11575
644.583,11477
646.354,11589
648.125,11664
649.896,11447
651.667,11458
653.438,11484
655.208,11430
656.979,11628
658.75,11418
660.521,11439
662.292,11642
664.062,11298
665.833,11437
667.604,11605
669.375,11345
671.146,11467
672.917,11356
674.688,11457
676.458,11455
678.229,11328
680,11405
681.771,11526
683.542,11267
685.312,11465
687.083,11355
688.854,11468
690.625,11473
692.396,11460
694.167,11382
695.938,11475
697.708,11313
699.479,11592
701.25,11302
703.021,11403
704.792,11515
706.562,11307
708.333,11370
710.104,11470
711.875,11192
713.646,11547
715.417,11343
717.188,11279
718.958,11558
720.729,11445
722.5,11456
724.271,11441
726.042,11292
727.812,11523
729.583,11272
731.354,11342
733.125,11444
734.896,11260
736.667,11453
738.438,11444
740.208,11294
741.979,11392
743.75,11301
745.521,11353
747.292,11507
749.062,11213
750.833,11357
752.604,11441
754.375,11316
756.146,11496
757.917,11337
759.688,11400
761.458,11432
763.229,11286
765,11416
766.771,11519
768.542,11316
770.312,11435
772.083,11392
773.854,11330
775.625,11421
777.396,11333
779.167,11260
780.938,11426
782.708,11270
784.479,11455
786.25,11372
788.021,11328
789.792,11598
791.562,11301
793.333,11421
795.104,11347
796.875,11264
798.646,11352
800.417,11418
802.188,11468
803.958,11628
805.729,11311
807.5,11422
809.271,11589
811.042,11320
812.812,11448
814.583,11270
816.354,11364
818.125,11584
819.896,11367
821.667,11491
823.438,11405
825.208,11406
826.979,11519
828.75,11551
830.521,11424
832.292,11444
834.062,11407
835.833,11456
837.604,11441
839.375,11304
841.146,11517
842.917,11397
844.688,11474
846.458,11578
848.229,11394
