x,y
340,0
341.771,13234
343.542,13137
345.312,11483
347.083,11494
348.854,11350
350.625,11675
352.396,11386
354.167,11356
355.938,11581
357.708,11364
359.479,11453
361.25,11404
363.021,11365
364.792,11581
366.562,11366
368.333,11461
370.104,11635
371.875,11276
373.646,11428
375.417,11485
377.188,11428
378.958,11452
380.729,11293
382.5,11418
384.271,11569
386.042,11552
387.812,11634
389.583,11674
391.354,11604
393.125,11796
394.896,11561
396.667,11595
398.438,11967
400.208,12960
401.979,15304
403.75,18228
405.521,21791
407.292,24985
409.062,27963
410.833,30663
412.604,32953
414.375,35139
416.146,37405
417.917,39319
419.688,40900
421.458,42462
423.229,43983
425,46253
426.771,47549
428.542,49936
430.312,51695
432.083,53229
433.854,54997
435.625,57293
437.396,58457
439.167,61029
440.938,62534
442.708,64494
444.479,65535
446.25,65535
448.021,65535
449.792,65535
451.562,65535
453.333,65535
455.104,65535
456.875,65535
458.646,65535
460.417,65535
462.188,65535
463.958,65535
465.729,62916
467.5,60110
469.271,57657
471.042,54115
472.812,51926
474.583,49152
476.354,46473
478.125,43935
479.896,41859
481.667,38824
483.438,36506
485.208,34265
486.979,33339
488.75,31783
490.521,30742
492.292,30168
494.062,28987
495.833,28049
497.604,27330
499.375,26339
501.146,25659
502.917,24268
504.688,23340
506.458,22632
508.229,21925
510,21018
511.771,20298
513.542,19796
515.312,19175
517.083,18736
518.854,18174
520.625,17710
522.396,17166
524.167,16549
525.938,16235
527.708,15864
529.479,15766
531.25,15328
533.021,15095
534.792,14991
536.562,14497
538.333,14422
540.104,14499
541.875,13937
543.646,13946
545.417,13853
547.188,13875
548.958,13528
550.729,13361
552.5,13163
554.271,13107
556.042,12872
557.812,12984
559.583,12912
561.354,12881
563.125,12762
564.896,12748
566.667,12636
568.438,12725
570.208,12525
571.979,12455
573.75,12532
575.521,12367
577.292,12338
579.062,12188
580.833,12138
582.604,12307
584.375,12036
586.146,12213
587.917,11829
589.688,12035
591.458,12088
593.229,11857
595,11895
596.771,11879
598.542,11698
600.312,11898
602.083,11801
603.854,11739
605.625,11760
607.396,11697
609.167,11699
610.938,11756
612.708,11651
614.479,11830
616.25,11686
618.021,11786
619.792,11707
621.562,11642
623.333,11746
625.104,11758
626.875,11563
628.646,11670
630.417,11597
632.188,11481
633.958,11702
635.729,11528
637.5,11556
639.271,11559
641.042,11322
642.812,11573
644.583,11483
646.354,11475
648.125,11675
649.896,11453
651.667,11546
653.438,11587
655.208,11408
656.979,11613
658.75,11413
660.521,11443
662.292,11565
664.062,11284
665.833,11559
667.604,11505
669.375,11375
671.146,11528
672.917,11376
674.688,11410
676.458,11431
678.229,11343
680,11357
681.771,11606
683.542,11320
685.312,11375
687.083,11384
688.854,11426
690.625,11473
692.396,11345
694.167,11458
695.938,11454
697.708,11291
699.479,11552
701.25,11316
703.021,11429
704.792,11428
706.562,11348
708.333,11346
710.104,11464
711.875,11259
713.646,11586
715.417,11382
717.188,11296
718.958,11614
720.729,11411
722.5,11333
724.271,11522
726.042,11249
727.812,11482
729.583,11260
731.354,11426
733.125,11397
734.896,11348
736.667,11520
738.438,11494
740.208,11296
741.979,11464
743.75,11304
745.521,11336
747.292,11494
749.062,11277
750.833,11343
752.604,11395
754.375,11320
756.146,11543
757.917,11348
759.688,11365
761.458,11388
763.229,11319
765,11462
766.771,11532
768.542,11252
770.312,11486
772.083,11363
773.854,11282
775.625,11516
777.396,11321
779.167,11330
780.938,11457
782.708,11233
784.479,11450
786.25,11366
788.021,11258
789.792,11505
791.562,11290
793.333,11464
795.104,11295
796.875,11204
798.646,11427
800.417,11373
802.188,11436
803.958,11614
805.729,11317
807.5,11474
809.271,11573
811.042,11359
812.812,11503
814.583,11330
816.354,11322
818.125,11604
819.896,11240
821.667,11473
823.438,11349
825.208,11291
826.979,11509
828.75,11452
830.521,11371
832.292,11501
834.062,11268
835.833,11477
837.604,11495
839.375,11408
841.146,11467
842.917,11472
844.688,11397
846.458,11607
848.229,11362
