x,y
340,0
341.771,13229
343.542,13134
345.312,11539
347.083,11575
348.854,11354
350.625,11625
352.396,11389
354.167,11372
355.938,11557
357.708,11326
359.479,11545
361.25,11340
363.021,11376
364.792,11561
366.562,11424
368.333,11415
370.104,11593
371.875,11361
373.646,11480
375.417,11485
377.188,11399
378.958,11485
380.729,11296
382.5,11417
384.271,11425
386.042,11482
387.812,11454
389.583,11410
391.354,11371
393.125,11602
394.896,11402
396.667,11464
398.438,11497
400.208,11411
401.979,11505
403.75,11544
405.521,11420
407.292,11590
409.062,11444
410.833,11495
412.604,11513
414.375,11316
416.146,11575
417.917,11559
419.688,11660
421.458,11798
423.229,11886
425,12011
426.771,12617
428.542,12841
430.312,14062
432.083,14959
433.854,16701
435.625,19376
437.396,23219
439.167,28577
440.938,35439
442.708,41754
444.479,46403
446.25,46794
448.021,44696
449.792,40579
451.562,37982
453.333,36423
455.104,35002
456.875,32879
458.646,30926
460.417,28640
462.188,27507
463.958,27133
465.729,27128
467.5,27426
469.271,27515
471.042,27726
472.812,28280
474.583,29011
476.354,29567
478.125,30265
479.896,31465
481.667,31498
483.438,31844
485.208,32619
486.979,33919
488.75,34697
490.521,36036
492.292,37472
494.062,38549
495.833,39884
497.604,41070
499.375,41961
501.146,42657
502.917,43344
504.688,43549
506.458,44459
508.229,45372
510,46158
511.771,46766
513.542,46400
515.312,47160
517.083,47732
518.854,47701
520.625,47994
522.396,48609
524.167,48279
525.938,48657
527.708,49415
529.479,50369
531.25,49398
533.021,50253
534.792,51196
536.562,51134
538.333,51501
540.104,52432
541.875,52623
543.646,53444
545.417,52191
547.188,53204
548.958,53568
550.729,53071
552.5,53356
554.271,53516
556.042,52860
557.812,53213
559.583,52849
561.354,52614
563.125,52634
564.896,52703
566.667,52013
568.438,51188
570.208,50437
571.979,50099
573.75,48948
575.521,48331
577.292,47800
579.062,46254
580.833,45536
582.604,44758
584.375,43940
586.146,42938
587.917,41385
589.688,41029
591.458,39506
593.229,38208
595,37771
596.771,36444
598.542,35283
600.312,34261
602.083,33650
603.854,32093
605.625,31613
607.396,30301
609.167,29725
610.938,28948
612.708,27730
614.479,26945
616.25,26136
618.021,25534
619.792,24810
621.562,23980
623.333,23483
625.104,22734
626.875,22197
628.646,21990
630.417,21119
632.188,20708
633.958,20469
635.729,19777
637.5,19394
639.271,18936
641.042,18262
642.812,18192
644.583,17724
646.354,17308
648.125,17314
649.896,16761
651.667,16691
653.438,16362
655.208,15933
656.979,15733
658.75,15492
660.521,15122
662.292,15081
664.062,14695
665.833,14657
667.604,14429
669.375,14216
671.146,14162
672.917,13855
674.688,13722
676.458,13762
678.229,13390
680,13359
681.771,13372
683.542,13113
685.312,13092
687.083,12953
688.854,12823
690.625,12851
692.396,12650
694.167,12544
695.938,12646
697.708,12405
699.479,12569
701.25,12284
703.021,12380
704.792,12330
706.562,12153
708.333,12162
710.104,12257
711.875,11806
713.646,12056
715.417,11940
717.188,11753
718.958,12076
720.729,11870
722.5,11856
724.271,11904
726.042,11654
727.812,11864
729.583,11676
731.354,11711
733.125,11642
734.896,11650
736.667,11669
738.438,11687
740.208,11575
741.979,11645
743.75,11483
745.521,11672
747.292,11722
749.062,11506
750.833,11554
752.604,11643
754.375,11501
756.146,11714
757.917,11463
759.688,11545
761.458,11591
763.229,11345
765,11541
766.771,11567
768.542,11418
770.312,11576
772.083,11451
773.854,11497
775.625,11669
777.396,11371
779.167,11494
780.938,11587
782.708,11484
784.479,11606
786.25,11583
788.021,11485
789.792,11743
791.562,11464
793.333,11587
795.104,11497
796.875,11416
798.646,11502
800.417,11527
802.188,11522
803.958,11677
805.729,11388
807.5,11565
809.271,11629
811.042,11414
812.812,11581
814.583,11439
816.354,11495
818.125,11675
819.896,11285
821.667,11582
823.438,11479
825.208,11392
826.979,11554
828.75,11495
830.521,11366
832.292,11508
834.062,11345
835.833,11424
837.604,11583
839.375,11443
841.146,11505
842.917,11433
844.688,11540
846.458,11633
848.229,11476
