x,y
340,0
341.771,13240
343.542,13152
345.312,11566
347.083,11508
348.854,11399
350.625,11694
352.396,11360
354.167,11381
355.938,11607
357.708,11341
359.479,11551
361.25,11371
363.021,11440
364.792,11659
366.562,11506
368.333,11474
370.104,11530
371.875,11273
373.646,11465
375.417,11547
377.188,11403
378.958,11480
380.729,11370
382.5,11345
384.271,11528
386.042,11452
387.812,11483
389.583,11316
391.354,11439
393.125,11520
394.896,11364
396.667,11409
398.438,11463
400.208,11447
401.979,11525
403.75,11602
405.521,11421
407.292,11538
409.062,11361
410.833,11408
412.604,11490
414.375,11356
416.146,11560
417.917,11488
419.688,11749
421.458,11878
423.229,11782
425,12108
426.771,12601
428.542,12869
430.312,14095
432.083,14969
433.854,16800
435.625,19263
437.396,23548
439.167,28684
440.938,35789
442.708,42271
444.479,46386
446.25,47173
448.021,44716
449.792,40626
451.562,38220
453.333,36200
455.104,35059
456.875,33107
458.646,30989
460.417,28929
462.188,27817
463.958,27354
465.729,27176
467.5,27281
469.271,28214
471.042,27973
472.812,28254
474.583,29050
476.354,29604
478.125,30553
479.896,31100
481.667,31688
483.438,31981
485.208,32643
486.979,33467
488.75,34610
490.521,36163
492.292,37673
494.062,38648
495.833,39807
497.604,41186
499.375,41732
501.146,43028
502.917,43112
504.688,43957
506.458,44667
508.229,45971
510,46106
511.771,46637
513.542,46652
515.312,47180
517.083,47625
518.854,47777
520.625,48589
522.396,48722
524.167,48702
525.938,48926
527.708,48755
529.479,50271
531.25,49867
533.021,50730
534.792,51389
536.562,51147
538.333,51849
540.104,52987
541.875,52704
543.646,53235
545.417,52905
547.188,53437
548.958,53458
550.729,53449
552.5,53972
554.271,53700
556.042,53174
557.812,53270
559.583,53336
561.354,52461
563.125,52950
564.896,52514
566.667,52268
568.438,51330
570.208,50777
571.979,50235
573.75,49472
575.521,48742
577.292,48126
579.062,46667
580.833,45654
582.604,44803
584.375,44179
586.146,42768
587.917,41890
589.688,41127
591.458,39721
593.229,38495
595,37795
596.771,36187
598.542,35281
600.312,34492
602.083,33197
603.854,32488
605.625,31606
607.396,30738
609.167,29639
610.938,28845
612.708,27544
614.479,27433
616.25,26224
618.021,25380
619.792,24861
621.562,24159
623.333,23796
625.104,22952
626.875,22266
628.646,22071
630.417,21331
632.188,20749
633.958,20650
635.729,19870
637.5,19328
639.271,18965
641.042,18402
642.812,18204
644.583,17709
646.354,17374
648.125,17278
649.896,16681
651.667,16596
653.438,16364
655.208,15795
656.979,15863
658.75,15486
660.521,15268
662.292,15269
664.062,14672
665.833,14697
667.604,14423
669.375,14106
671.146,14104
672.917,13952
674.688,13702
676.458,13735
678.229,13431
680,13265
681.771,13399
683.542,13086
685.312,13135
687.083,12958
688.854,12892
690.625,12836
692.396,12635
694.167,12547
695.938,12593
697.708,12474
699.479,12601
701.25,12329
703.021,12298
704.792,12342
706.562,12115
708.333,12133
710.104,12157
711.875,11833
713.646,12070
715.417,11945
717.188,11853
718.958,12069
720.729,11880
722.5,11922
724.271,12031
726.042,11712
727.812,11923
729.583,11661
731.354,11826
733.125,11751
734.896,11651
736.667,11719
738.438,11693
740.208,11538
741.979,11749
743.75,11472
745.521,11557
747.292,11744
749.062,11515
750.833,11592
752.604,11597
754.375,11536
756.146,11707
757.917,11516
759.688,11566
761.458,11586
763.229,11536
765,11489
766.771,11664
768.542,11455
770.312,11599
772.083,11518
773.854,11428
775.625,11698
777.396,11458
779.167,11480
780.938,11527
782.708,11443
784.479,11613
786.25,11517
788.021,11494
789.792,11724
791.562,11502
793.333,11548
795.104,11518
796.875,11336
798.646,11612
800.417,11533
802.188,11481
803.958,11699
805.729,11488
807.5,11589
809.271,11712
811.042,11378
812.812,11603
814.583,11396
816.354,11539
818.125,11670
819.896,11341
821.667,11566
823.438,11490
825.208,11442
826.979,11559
828.75,11467
830.521,11385
832.292,11589
834.062,11396
835.833,11474
837.604,11568
839.375,11495
841.146,11605
842.917,11447
844.688,11529
846.458,11681
848.229,11384
