x,y
900.989,26352
904.913,29352
908.832,31996
914.051,36536
917.96,40703
921.865,46018
925.765,51540
929.661,57625
933.553,64173
937.44,70605
941.322,76327
945.2,81811
949.074,86974
954.232,94426
958.095,98805
961.954,103400
965.809,107466
969.659,110561
973.505,113533
977.346,116078
981.182,117949
985.015,118461
990.118,118339
993.94,118056
997.757,117558
1001.57,117343
1005.38,117172
1009.18,116763
1012.98,116640
1016.78,116630
1020.57,116706
1024.36,117389
1029.4,117978
1033.17,118554
1036.95,118760
1040.71,119528
1044.48,120034
1048.23,120663
1051.99,121094
1055.74,121172
1059.48,121320
1063.22,121645
1068.2,122448
1071.93,122883
1075.66,123012
1079.38,123148
1083.1,123107
1086.81,123305
1090.52,123308
1094.22,123492
1097.92,122970
1102.85,123044
1106.54,123114
1110.22,122048
1113.9,122159
1117.58,122111
1121.25,122026
1124.92,121662
1128.58,121393
1132.24,121176
1135.89,120630
1140.76,120628
1144.4,120915
1148.04,120957
1151.67,120914
1155.3,121509
1158.93,121388
1162.55,121673
1166.16,122190
1169.78,122353
1173.38,122448
1178.19,123742
1181.79,124213
1185.38,125495
1188.97,127169
1192.55,128415
1196.13,130342
1199.71,131992
1203.28,135012
1206.84,136801
1211.59,140107
1215.15,142279
1218.7,144686
1222.25,147170
1225.79,148904
1229.33,150923
1232.86,153319
1236.39,155686
1239.92,157982
1243.44,159988
1248.12,162409
1251.63,163608
1255.14,164665
1258.64,166310
1262.14,168222
1265.63,170525
1269.12,172029
1272.6,173712
1276.08,175623
1279.56,177313
1284.18,179331
1287.65,180457
1291.11,181739
1294.56,183150
1298.01,184391
1301.46,184629
1304.9,185402
1308.34,185900
1311.77,185779
1316.34,186384
1319.77,186548
1323.19,186171
1326.6,184967
1330.01,185050
1333.42,184086
1336.82,183043
1340.21,181494
1343.61,180132
1346.99,177733
1351.5,174556
1354.88,171443
1358.25,168981
1361.62,167053
1364.99,164952
1368.34,163906
1371.7,162516
1375.05,160587
1378.4,157597
1381.74,154460
1386.19,150609
1389.52,148125
1392.85,146025
1396.17,143634
1399.49,142076
1402.8,140330
1406.11,137741
1409.41,135773
1412.72,133236
1417.11,129456
1420.4,126199
1423.68,124049
1426.97,121288
1430.24,119372
1433.52,116830
1436.78,115260
1440.05,113267
1443.31,112194
1446.56,110657
1450.89,109337
1454.14,108518
1457.38,107645
1460.61,106380
1463.84,105401
1467.07,104113
1470.29,103876
1473.51,103013
1476.72,101902
1479.93,100658
1484.2,99326
1487.4,97920
1490.6,97086
1493.79,96166
1496.97,94685
1500.15,94190
1503.33,93936
1506.5,92918
1509.67,92179
1513.88,90734
1517.04,89933
1520.19,89406
1523.34,88798
1526.49,87842
1529.63,87429
1532.76,86234
1535.89,85588
1539.02,84571
1542.14,83580
1546.29,82118
1549.41,81152
1552.51,79652
1555.61,78552
1558.71,76961
1561.81,75762
1564.9,74820
1567.98,73031
1571.06,71190
1574.14,69770
1578.23,68333
1581.3,66784
1584.36,65608
1587.41,64601
1590.47,63291
1593.51,62253
1596.56,61190
1599.6,60210
1602.63,58928
1606.67,57455
1609.69,56407
1612.71,55280
1615.73,53377
1618.74,52701
1621.75,51614
1624.75,50131
1627.75,49052
1630.74,47934
1633.73,46840
1637.71,45175
1640.68,43317
1643.66,42107
1646.63,40989
1649.59,39853
1652.55,38485
1655.51,36742
1658.46,34860
1661.41,33132
1664.35,30627
1668.27,27173
1671.2,24194
1674.13,21588
1677.05,18071
1679.97,15736
1682.89,12827
1685.8,11055
1688.7,9573
1691.61,7778
1694.5,6924
1698.36,5352
1701.25,4631
