x,y
900.989,26468
904.913,29222
908.832,32552
914.051,36400
917.96,41005
921.865,45789
925.765,51254
929.661,57697
933.553,63578
937.44,70170
941.322,76062
945.2,81579
949.074,87151
954.232,93515
958.095,98365
961.954,102698
965.809,106645
969.659,109777
973.505,112371
977.346,115166
981.182,116945
985.015,117885
990.118,117285
993.94,116744
997.757,116465
1001.57,116308
1005.38,115383
1009.18,115187
1012.98,114863
1016.78,115323
1020.57,115777
1024.36,115470
1029.4,116250
1033.17,116359
1036.95,116870
1040.71,117457
1044.48,117877
1048.23,118838
1051.99,119220
1055.74,119429
1059.48,120573
1063.22,120611
1068.2,121226
1071.93,121918
1075.66,121696
1079.38,121746
1083.1,122221
1086.81,122451
1090.52,122442
1094.22,122149
1097.92,122305
1102.85,122286
1106.54,122383
1110.22,121986
1113.9,121558
1117.58,121764
1121.25,121895
1124.92,121452
1128.58,121186
1132.24,121326
1135.89,121100
1140.76,121046
1144.4,121305
1148.04,121057
1151.67,121083
1155.3,121374
1158.93,122054
1162.55,122372
1166.16,122546
1169.78,122552
1173.38,123407
1178.19,124190
1181.79,124896
1185.38,125948
1188.97,127555
1192.55,129455
1196.13,131453
1199.71,132822
1203.28,135344
1206.84,137793
1211.59,141009
1215.15,142407
1218.7,145022
1222.25,147589
1225.79,149639
1229.33,152454
1232.86,154784
1236.39,156055
1239.92,158829
1243.44,160299
1248.12,162238
1251.63,164110
1255.14,165567
1258.64,166929
1262.14,168788
1265.63,170686
1269.12,172489
1272.6,174332
1276.08,175881
1279.56,177533
1284.18,179956
1287.65,180617
1291.11,182024
1294.56,183396
1298.01,184241
1301.46,184920
1304.9,185227
1308.34,185810
1311.77,186641
1316.34,186615
1319.77,186475
1323.19,185479
1326.6,185118
1330.01,184810
1333.42,183487
1336.82,182424
1340.21,181527
1343.61,179765
1346.99,177964
1351.5,174625
1354.88,171236
1358.25,168782
1361.62,166446
1364.99,164773
1368.34,163321
1371.7,162147
1375.05,160128
1378.4,157459
1381.74,154284
1386.19,149924
1389.52,147481
1392.85,145528
1396.17,143464
1399.49,141374
1402.8,139254
1406.11,137221
1409.41,134451
1412.72,132359
1417.11,128871
1420.4,126250
1423.68,123535
1426.97,120797
1430.24,118200
1433.52,116790
1436.78,114362
1440.05,112725
1443.31,111583
1446.56,110044
1450.89,108590
1454.14,107331
1457.38,106476
1460.61,105254
1463.84,104606
1467.07,103606
1470.29,102403
1473.51,102279
1476.72,101098
1479.93,100110
1484.2,98474
1487.4,96976
1490.6,96197
1493.79,95628
1496.97,94445
1500.15,93202
1503.33,92735
1506.5,91831
1509.67,90888
1513.88,89904
1517.04,89522
1520.19,88778
1523.34,88057
1526.49,87851
1529.63,86536
1532.76,85635
1535.89,84748
1539.02,83984
1542.14,83094
1546.29,81164
1549.41,79891
1552.51,78999
1555.61,77542
1558.71,76449
1561.81,75125
1564.9,73345
1567.98,71798
1571.06,70414
1574.14,68665
1578.23,67249
1581.3,66437
1584.36,64763
1587.41,63564
1590.47,62929
1593.51,61555
1596.56,60042
1599.6,59441
1602.63,58406
1606.67,56206
1609.69,55679
1612.71,54478
1615.73,53007
1618.74,52335
1621.75,51075
1624.75,49793
1627.75,47839
1630.74,47554
1633.73,45799
1637.71,44221
1640.68,42848
1643.66,41742
1646.63,40894
1649.59,39241
1652.55,37809
1655.51,36258
1658.46,34899
1661.41,32970
1664.35,30882
1668.27,27652
1671.2,25129
1674.13,21450
1677.05,18469
1679.97,16168
1682.89,13569
1685.8,11578
1688.7,9354
1691.61,8305
1694.5,6812
1698.36,5382
1701.25,4964
