x,y
340,0
341.771,13198
343.542,13129
345.312,11462
347.083,11566
348.854,11385
350.625,11778
352.396,11430
354.167,11443
355.938,11555
357.708,11382
359.479,11453
361.25,11342
363.021,11394
364.792,11584
366.562,11448
368.333,11498
370.104,11538
371.875,11302
373.646,11457
375.417,11511
377.188,11488
378.958,11533
380.729,11272
382.5,11417
384.271,11602
386.042,11696
387.812,11889
389.583,11822
391.354,11720
393.125,11879
394.896,11621
396.667,11688
398.438,12300
400.208,13961
401.979,17770
403.75,22683
405.521,27727
407.292,31778
409.062,35141
410.833,38049
412.604,40381
414.375,41890
416.146,43697
417.917,44769
419.688,45107
421.458,45209
423.229,45446
425,45873
426.771,46040
428.542,46003
430.312,46355
432.083,46799
433.854,46859
435.625,47104
437.396,47384
439.167,47462
440.938,47522
442.708,47702
444.479,48518
446.25,48668
448.021,49027
449.792,49079
451.562,49396
453.333,49527
455.104,49753
456.875,49224
458.646,48775
460.417,48681
462.188,48742
463.958,48906
465.729,48543
467.5,49104
469.271,50164
471.042,50488
472.812,52108
474.583,53109
476.354,54667
478.125,55480
479.896,56924
481.667,57202
483.438,57191
485.208,57523
486.979,58646
488.75,59563
490.521,60326
492.292,62111
494.062,61969
495.833,62119
497.604,62303
499.375,62142
501.146,61641
502.917,60734
504.688,59357
506.458,58000
508.229,56713
510,56087
511.771,54581
513.542,52923
515.312,51462
517.083,50120
518.854,48665
520.625,46538
522.396,45176
524.167,42894
525.938,41428
527.708,39736
529.479,38698
531.25,37487
533.021,36623
534.792,35788
536.562,33973
538.333,33280
540.104,32468
541.875,31255
543.646,30659
545.417,29198
547.188,28415
548.958,27511
550.729,26850
552.5,25850
554.271,24965
556.042,24239
557.812,24111
559.583,23480
561.354,22976
563.125,22596
564.896,22453
566.667,22102
568.438,21498
570.208,21159
571.979,20699
573.75,20149
575.521,19648
577.292,19420
579.062,18893
580.833,18567
582.604,18276
584.375,17821
586.146,17601
587.917,17071
589.688,16917
591.458,16728
593.229,16286
595,16018
596.771,15891
598.542,15331
600.312,15351
602.083,15192
603.854,14871
605.625,14805
607.396,14584
609.167,14611
610.938,14657
612.708,14274
614.479,14304
616.25,14070
618.021,14040
619.792,14001
621.562,13826
623.333,13798
625.104,13632
626.875,13485
628.646,13499
630.417,13359
632.188,13125
633.958,13045
635.729,12811
637.5,12801
639.271,12635
641.042,12306
642.812,12628
644.583,12438
646.354,12381
648.125,12549
649.896,12252
651.667,12296
653.438,12260
655.208,12164
656.979,12342
658.75,12083
660.521,12115
662.292,12178
664.062,11864
665.833,11959
667.604,12103
669.375,11891
671.146,12111
672.917,11811
674.688,11836
676.458,11832
678.229,11653
680,11695
681.771,11880
683.542,11624
685.312,11798
687.083,11553
688.854,11660
690.625,11721
692.396,11609
694.167,11562
695.938,11707
697.708,11564
699.479,11627
701.25,11463
703.021,11603
704.792,11607
706.562,11429
708.333,11598
710.104,11604
711.875,11302
713.646,11745
715.417,11404
717.188,11332
718.958,11640
720.729,11496
722.5,11455
724.271,11539
726.042,11338
727.812,11621
729.583,11307
731.354,11522
733.125,11450
734.896,11438
736.667,11460
738.438,11454
740.208,11289
741.979,11557
743.75,11386
745.521,11396
747.292,11542
749.062,11317
750.833,11340
752.604,11465
754.375,11311
756.146,11548
757.917,11400
759.688,11407
761.458,11447
763.229,11360
765,11469
766.771,11502
768.542,11303
770.312,11495
772.083,11361
773.854,11360
775.625,11571
777.396,11381
779.167,11422
780.938,11458
782.708,11277
784.479,11476
786.25,11392
788.021,11309
789.792,11573
791.562,11379
793.333,11467
795.104,11508
796.875,11304
798.646,11504
800.417,11571
802.188,11466
803.958,11697
805.729,11352
807.5,11411
809.271,11671
811.042,11305
812.812,11527
814.583,11283
816.354,11416
818.125,11648
819.896,11227
821.667,11597
823.438,11461
825.208,11399
826.979,11486
828.75,11531
830.521,11322
832.292,11451
834.062,11337
835.833,11473
837.604,11567
839.375,11421
841.146,11581
842.917,11361
844.688,11486
846.458,11560
848.229,11386
