x,y
340,0
341.771,13225
343.542,13166
345.312,11487
347.083,11541
348.854,11429
350.625,11766
352.396,11372
354.167,11300
355.938,11565
357.708,11327
359.479,11536
361.25,11497
363.021,11405
364.792,11617
366.562,11442
368.333,11545
370.104,11669
371.875,11344
373.646,11458
375.417,11419
377.188,11339
378.958,11580
380.729,11385
382.5,11483
384.271,11670
386.042,11840
387.812,11875
389.583,11837
391.354,11778
393.125,11926
394.896,11623
396.667,11681
398.438,12255
400.208,14239
401.979,18248
403.75,23156
405.521,28486
407.292,32486
409.062,36132
410.833,38832
412.604,41513
414.375,43466
416.146,45233
417.917,46426
419.688,47139
421.458,46913
423.229,47388
425,47325
426.771,47618
428.542,47730
430.312,47932
432.083,47973
433.854,48213
435.625,48394
437.396,48593
439.167,48829
440.938,49435
442.708,49012
444.479,49637
446.25,50039
448.021,50049
449.792,50073
451.562,50775
453.333,50692
455.104,50548
456.875,50203
458.646,49954
460.417,49878
462.188,50384
463.958,50230
465.729,50436
467.5,50676
469.271,51668
471.042,52416
472.812,54047
474.583,55357
476.354,56785
478.125,58021
479.896,59879
481.667,60228
483.438,60457
485.208,60519
486.979,62013
488.75,62911
490.521,63599
492.292,65025
494.062,65501
495.833,65535
497.604,65535
499.375,65535
501.146,65130
502.917,64036
504.688,62840
506.458,60647
508.229,60383
510,58568
511.771,57198
513.542,55643
515.312,53846
517.083,52300
518.854,50861
520.625,49261
522.396,47452
524.167,45424
525.938,43503
527.708,41793
529.479,40700
531.25,39103
533.021,38222
534.792,37198
536.562,35467
538.333,34498
540.104,33669
541.875,32613
543.646,31998
545.417,30095
547.188,29613
548.958,28678
550.729,27528
552.5,26822
554.271,26310
556.042,25217
557.812,24957
559.583,24619
561.354,24062
563.125,23866
564.896,23395
566.667,23105
568.438,22427
570.208,21754
571.979,21414
573.75,20804
575.521,20360
577.292,19943
579.062,19511
580.833,19037
582.604,18927
584.375,18245
586.146,17925
587.917,17339
589.688,17257
591.458,17118
593.229,16516
595,16236
596.771,16014
598.542,15434
600.312,15486
602.083,15225
603.854,15090
605.625,14953
607.396,14890
609.167,14659
610.938,14846
612.708,14533
614.479,14402
616.25,14211
618.021,14188
619.792,14095
621.562,13992
623.333,14002
625.104,13799
626.875,13577
628.646,13416
630.417,13386
632.188,13099
633.958,13063
635.729,12954
637.5,12967
639.271,12652
641.042,12445
642.812,12525
644.583,12504
646.354,12449
648.125,12593
649.896,12392
651.667,12432
653.438,12329
655.208,12297
656.979,12358
658.75,12201
660.521,12104
662.292,12251
664.062,11872
665.833,12126
667.604,12029
669.375,11827
671.146,12020
672.917,11869
674.688,11768
676.458,11848
678.229,11765
680,11749
681.771,11898
683.542,11632
685.312,11768
687.083,11658
688.854,11714
690.625,11751
692.396,11601
694.167,11632
695.938,11698
697.708,11513
699.479,11850
701.25,11558
703.021,11659
704.792,11569
706.562,11433
708.333,11479
710.104,11574
711.875,11336
713.646,11668
715.417,11522
717.188,11395
718.958,11612
720.729,11537
722.5,11517
724.271,11510
726.042,11377
727.812,11572
729.583,11401
731.354,11469
733.125,11494
734.896,11446
736.667,11575
738.438,11462
740.208,11360
741.979,11461
743.75,11291
745.521,11446
747.292,11572
749.062,11356
750.833,11426
752.604,11486
754.375,11294
756.146,11588
757.917,11378
759.688,11395
761.458,11545
763.229,11325
765,11414
766.771,11506
768.542,11349
770.312,11471
772.083,11446
773.854,11398
775.625,11518
777.396,11306
779.167,11439
780.938,11485
782.708,11347
784.479,11506
786.25,11415
788.021,11396
789.792,11584
791.562,11349
793.333,11450
795.104,11405
796.875,11238
798.646,11479
800.417,11463
802.188,11423
803.958,11736
805.729,11340
807.5,11487
809.271,11551
811.042,11400
812.812,11498
814.583,11308
816.354,11437
818.125,11697
819.896,11226
821.667,11509
823.438,11444
825.208,11438
826.979,11573
828.75,11487
830.521,11407
832.292,11525
834.062,11304
835.833,11517
837.604,11540
839.375,11396
841.146,11481
842.917,11474
844.688,11552
846.458,11616
848.229,11471
