x,y
340,0
341.771,13214
343.542,13161
345.312,11426
347.083,11513
348.854,11366
350.625,11604
352.396,11426
354.167,11315
355.938,11511
357.708,11300
359.479,11465
361.25,11330
363.021,11361
364.792,11629
366.562,11398
368.333,11525
370.104,11686
371.875,11252
373.646,11481
375.417,11500
377.188,11389
378.958,11466
380.729,11288
382.5,11412
384.271,11487
386.042,11370
387.812,11412
389.583,11410
391.354,11426
393.125,11533
394.896,11349
396.667,11431
398.438,11518
400.208,11373
401.979,11573
403.75,11511
405.521,11352
407.292,11537
409.062,11500
410.833,11479
412.604,11498
414.375,11253
416.146,11675
417.917,11565
419.688,11664
421.458,11730
423.229,11843
425,11983
426.771,12345
428.542,12677
430.312,13639
432.083,14457
433.854,15804
435.625,17900
437.396,20828
439.167,25296
440.938,30860
442.708,36401
444.479,40315
446.25,41304
448.021,39589
449.792,36822
451.562,33823
453.333,32754
455.104,31648
456.875,29835
458.646,28229
460.417,26583
462.188,25564
463.958,25015
465.729,24986
467.5,25115
469.271,25781
471.042,25739
472.812,26539
474.583,27280
476.354,28056
478.125,28793
479.896,29909
481.667,30423
483.438,31041
485.208,32177
486.979,32844
488.75,34177
490.521,35569
492.292,37111
494.062,38164
495.833,39780
497.604,40509
499.375,41776
501.146,42716
502.917,43329
504.688,44065
506.458,44657
508.229,45734
510,46090
511.771,46779
513.542,46479
515.312,47392
517.083,47723
518.854,47842
520.625,48116
522.396,48555
524.167,48559
525.938,48590
527.708,49000
529.479,50044
531.25,49724
533.021,50488
534.792,51234
536.562,51247
538.333,51777
540.104,52386
541.875,52250
543.646,53454
545.417,52871
547.188,52845
548.958,53391
550.729,53221
552.5,53630
554.271,53322
556.042,52885
557.812,53274
559.583,52847
561.354,52385
563.125,52731
564.896,52564
566.667,52321
568.438,50813
570.208,50436
571.979,50104
573.75,48997
575.521,47929
577.292,47516
579.062,46136
580.833,45267
582.604,44749
584.375,43323
586.146,42470
587.917,41407
589.688,40456
591.458,39639
593.229,38036
595,37459
596.771,36234
598.542,34841
600.312,33924
602.083,33104
603.854,32086
605.625,31251
607.396,30150
609.167,29410
610.938,28577
612.708,27550
614.479,27096
616.25,25840
618.021,25147
619.792,24418
621.562,24156
623.333,23426
625.104,22568
626.875,22006
628.646,21667
630.417,21119
632.188,20675
633.958,20406
635.729,19506
637.5,19430
639.271,18848
641.042,18025
642.812,18129
644.583,17768
646.354,17267
648.125,17126
649.896,16618
651.667,16423
653.438,16172
655.208,15732
656.979,15701
658.75,15277
660.521,15187
662.292,15129
664.062,14565
665.833,14696
667.604,14398
669.375,14011
671.146,14147
672.917,13823
674.688,13706
676.458,13630
678.229,13498
680,13298
681.771,13368
683.542,13002
685.312,12970
687.083,12894
688.854,12865
690.625,12834
692.396,12648
694.167,12496
695.938,12580
697.708,12315
699.479,12641
701.25,12317
703.021,12450
704.792,12163
706.562,12034
708.333,12197
710.104,12145
711.875,11853
713.646,12058
715.417,11935
717.188,11779
718.958,12087
720.729,11863
722.5,11941
724.271,11964
726.042,11624
727.812,11940
729.583,11661
731.354,11623
733.125,11628
734.896,11703
736.667,11751
738.438,11743
740.208,11569
741.979,11708
743.75,11550
745.521,11559
747.292,11798
749.062,11495
750.833,11497
752.604,11627
754.375,11437
756.146,11630
757.917,11538
759.688,11567
761.458,11494
763.229,11390
765,11556
766.771,11635
768.542,11406
770.312,11586
772.083,11485
773.854,11503
775.625,11658
777.396,11349
779.167,11494
780.938,11567
782.708,11362
784.479,11587
786.25,11502
788.021,11422
789.792,11738
791.562,11447
793.333,11506
795.104,11481
796.875,11376
798.646,11554
800.417,11468
802.188,11574
803.958,11774
805.729,11409
807.5,11504
809.271,11590
811.042,11407
812.812,11516
814.583,11375
816.354,11521
818.125,11558
819.896,11329
821.667,11511
823.438,11468
825.208,11404
826.979,11557
828.75,11448
830.521,11450
832.292,11539
834.062,11345
835.833,11443
837.604,11544
839.375,11469
841.146,11602
842.917,11432
844.688,11507
846.458,11703
848.229,11379
