x,y
340,0
341.771,13254
343.542,13164
345.312,11420
347.083,11507
348.854,11292
350.625,11616
352.396,11325
354.167,11294
355.938,11501
357.708,11246
359.479,11442
361.25,11386
363.021,11317
364.792,11530
366.562,11359
368.333,11406
370.104,11553
371.875,11239
373.646,11404
375.417,11460
377.188,11347
378.958,11465
380.729,11129
382.5,11379
384.271,11417
386.042,11339
387.812,11446
389.583,11239
391.354,11370
393.125,11550
394.896,11370
396.667,11317
398.438,11453
400.208,11345
401.979,11452
403.75,11433
405.521,11305
407.292,11599
409.062,11470
410.833,11454
412.604,11505
414.375,11233
416.146,11528
417.917,11474
419.688,11588
421.458,11731
423.229,11667
425,11900
426.771,12360
428.542,12657
430.312,13557
432.083,14361
433.854,15784
435.625,18194
437.396,21138
439.167,25846
440.938,31857
442.708,37137
444.479,40716
446.25,41559
448.021,39689
449.792,36534
451.562,33776
453.333,32510
455.104,31187
456.875,29714
458.646,28068
460.417,26371
462.188,25408
463.958,25076
465.729,24984
467.5,25120
469.271,25910
471.042,26106
472.812,26454
474.583,27345
476.354,28388
478.125,28933
479.896,30323
481.667,30811
483.438,31493
485.208,32068
486.979,33653
488.75,34700
490.521,36229
492.292,37619
494.062,38618
495.833,39908
497.604,41575
499.375,42517
501.146,43287
502.917,43996
504.688,44533
506.458,45227
508.229,46229
510,46718
511.771,47646
513.542,47338
515.312,48016
517.083,48469
518.854,48293
520.625,48830
522.396,49469
524.167,49290
525.938,49349
527.708,49666
529.479,50786
531.25,50460
533.021,51310
534.792,51764
536.562,51790
538.333,51961
540.104,52845
541.875,52870
543.646,53564
545.417,53417
547.188,53876
548.958,54083
550.729,53452
552.5,53691
554.271,53906
556.042,53641
557.812,53863
559.583,53607
561.354,52649
563.125,52583
564.896,53023
566.667,52380
568.438,51584
570.208,50839
571.979,50413
573.75,49297
575.521,48661
577.292,47651
579.062,46269
580.833,45534
582.604,45226
584.375,43830
586.146,42907
587.917,41747
589.688,40616
591.458,39796
593.229,38752
595,37798
596.771,36599
598.542,35265
600.312,34350
602.083,33329
603.854,32134
605.625,31513
607.396,30441
609.167,29685
610.938,28632
612.708,27605
614.479,27163
616.25,26129
618.021,25447
619.792,24887
621.562,24056
623.333,23390
625.104,22912
626.875,22184
628.646,21755
630.417,21409
632.188,20658
633.958,20312
635.729,19638
637.5,19482
639.271,18928
641.042,18204
642.812,18076
644.583,17627
646.354,17313
648.125,17159
649.896,16735
651.667,16270
653.438,16263
655.208,15789
656.979,15813
658.75,15280
660.521,15150
662.292,15031
664.062,14485
665.833,14460
667.604,14462
669.375,14024
671.146,14058
672.917,13818
674.688,13651
676.458,13678
678.229,13405
680,13260
681.771,13365
683.542,13001
685.312,12981
687.083,12772
688.854,12852
690.625,12736
692.396,12722
694.167,12493
695.938,12568
697.708,12348
699.479,12537
701.25,12148
703.021,12299
704.792,12131
706.562,12031
708.333,12050
710.104,12055
711.875,11868
713.646,11980
715.417,11806
717.188,11824
718.958,12037
720.729,11801
722.5,11835
724.271,11914
726.042,11626
727.812,11862
729.583,11569
731.354,11628
733.125,11624
734.896,11565
736.667,11630
738.438,11614
740.208,11411
741.979,11597
743.75,11392
745.521,11497
747.292,11653
749.062,11369
750.833,11472
752.604,11617
754.375,11414
756.146,11595
757.917,11494
759.688,11533
761.458,11558
763.229,11378
765,11496
766.771,11577
768.542,11366
770.312,11499
772.083,11381
773.854,11415
775.625,11522
777.396,11396
779.167,11389
780.938,11562
782.708,11386
784.479,11473
786.25,11418
788.021,11465
789.792,11725
791.562,11458
793.333,11477
795.104,11424
796.875,11312
798.646,11454
800.417,11459
802.188,11468
803.958,11662
805.729,11402
807.5,11519
809.271,11604
811.042,11329
812.812,11483
814.583,11295
816.354,11426
818.125,11548
819.896,11316
821.667,11435
823.438,11398
825.208,11282
826.979,11482
828.75,11417
830.521,11393
832.292,11501
834.062,11292
835.833,11450
837.604,11545
839.375,11370
841.146,11498
842.917,11383
844.688,11423
846.458,11580
848.229,11364
