x,y
900.989,22046
904.913,24960
908.832,27065
914.051,31115
917.96,34665
921.865,38907
925.765,44185
929.661,49724
933.553,55562
937.44,61248
941.322,67353
945.2,72494
949.074,78456
954.232,84935
958.095,89771
961.954,94708
965.809,98430
969.659,101867
973.505,105042
977.346,107885
981.182,110340
985.015,112129
990.118,112536
993.94,112653
997.757,112549
1001.57,112776
1005.38,113031
1009.18,112670
1012.98,113674
1016.78,113816
1020.57,113764
1024.36,114605
1029.4,115603
1033.17,115856
1036.95,116185
1040.71,115841
1044.48,117161
1048.23,117099
1051.99,117559
1055.74,118135
1059.48,117719
1063.22,118147
1068.2,117706
1071.93,117850
1075.66,118129
1079.38,117627
1083.1,117175
1086.81,116662
1090.52,116441
1094.22,115824
1097.92,115916
1102.85,114682
1106.54,113818
1110.22,113985
1113.9,112994
1117.58,112073
1121.25,111997
1124.92,111774
1128.58,111016
1132.24,110670
1135.89,110222
1140.76,109286
1144.4,109595
1148.04,109064
1151.67,108788
1155.3,108915
1158.93,108514
1162.55,109228
1166.16,109767
1169.78,109305
1173.38,109848
1178.19,110980
1181.79,111194
1185.38,112078
1188.97,113773
1192.55,114556
1196.13,116516
1199.71,118011
1203.28,120306
1206.84,122175
1211.59,124934
1215.15,127658
1218.7,129874
1222.25,132012
1225.79,134179
1229.33,136769
1232.86,139285
1236.39,140784
1239.92,143048
1243.44,145510
1248.12,147622
1251.63,149363
1255.14,150440
1258.64,151944
1262.14,153883
1265.63,155832
1269.12,158081
1272.6,159435
1276.08,161491
1279.56,163209
1284.18,164994
1287.65,166638
1291.11,167723
1294.56,169071
1298.01,169980
1301.46,170917
1304.9,171577
1308.34,171601
1311.77,171917
1316.34,171946
1319.77,172464
1323.19,171802
1326.6,171758
1330.01,171424
1333.42,170133
1336.82,169292
1340.21,168116
1343.61,166630
1346.99,165345
1351.5,163074
1354.88,160161
1358.25,157851
1361.62,155962
1364.99,154676
1368.34,153302
1371.7,152206
1375.05,150829
1378.4,148172
1381.74,144767
1386.19,141122
1389.52,138243
1392.85,136379
1396.17,134365
1399.49,132196
1402.8,129896
1406.11,127808
1409.41,125531
1412.72,123437
1417.11,120407
1420.4,118004
1423.68,116092
1426.97,114277
1430.24,112199
1433.52,110651
1436.78,108699
1440.05,108150
1443.31,107261
1446.56,106527
1450.89,105032
1454.14,104436
1457.38,103359
1460.61,102969
1463.84,101857
1467.07,101069
1470.29,100942
1473.51,99739
1476.72,98816
1479.93,98146
1484.2,97054
1487.4,95524
1490.6,95386
1493.79,94774
1496.97,94026
1500.15,93102
1503.33,92137
1506.5,91684
1509.67,90936
1513.88,89700
1517.04,89155
1520.19,88393
1523.34,87181
1526.49,86954
1529.63,86109
1532.76,84806
1535.89,84371
1539.02,83859
1542.14,82162
1546.29,80929
1549.41,79837
1552.51,79343
1555.61,77532
1558.71,76486
1561.81,75049
1564.9,73803
1567.98,72820
1571.06,70882
1574.14,69862
1578.23,68316
1581.3,67614
1584.36,66231
1587.41,65222
1590.47,63984
1593.51,62808
1596.56,62452
1599.6,61082
1602.63,59899
1606.67,58357
1609.69,57520
1612.71,56609
1615.73,55338
1618.74,54433
1621.75,53150
1624.75,51737
1627.75,51024
1630.74,49441
1633.73,48142
1637.71,46730
1640.68,45792
1643.66,44210
1646.63,43454
1649.59,41612
1652.55,40568
1655.51,38598
1658.46,37208
1661.41,34968
1664.35,33060
1668.27,29217
1671.2,26428
1674.13,23615
1677.05,20282
1679.97,17564
1682.89,14596
1685.8,12453
1688.7,10389
1691.61,9120
1694.5,7485
1698.36,5892
1701.25,5283
