x,y
900.989,23366
904.913,26655
908.832,28915
914.051,32251
917.96,36057
921.865,40455
925.765,45175
929.661,51114
933.553,56648
937.44,62380
941.322,68224
945.2,73364
949.074,77932
954.232,84880
958.095,88731
961.954,93069
965.809,97341
969.659,100344
973.505,103127
977.346,105950
981.182,107983
985.015,109280
990.118,109130
993.94,108943
997.757,108979
1001.57,109392
1005.38,109151
1009.18,109288
1012.98,109312
1016.78,109314
1020.57,109926
1024.36,110628
1029.4,110629
1033.17,110944
1036.95,111604
1040.71,112268
1044.48,112920
1048.23,113274
1051.99,113954
1055.74,114073
1059.48,114405
1063.22,114046
1068.2,114630
1071.93,115048
1075.66,115662
1079.38,115306
1083.1,115088
1086.81,115025
1090.52,114683
1094.22,114773
1097.92,114741
1102.85,114211
1106.54,113789
1110.22,113373
1113.9,113351
1117.58,112568
1121.25,112169
1124.92,112165
1128.58,111687
1132.24,111098
1135.89,111250
1140.76,110795
1144.4,110641
1148.04,110377
1151.67,110279
1155.3,109769
1158.93,110135
1162.55,110446
1166.16,110329
1169.78,110617
1173.38,111771
1178.19,111720
1181.79,112544
1185.38,113396
1188.97,114582
1192.55,116138
1196.13,117860
1199.71,119605
1203.28,120802
1206.84,123208
1211.59,125666
1215.15,128065
1218.7,130132
1222.25,132350
1225.79,134705
1229.33,137363
1232.86,138958
1236.39,141039
1239.92,143120
1243.44,144727
1248.12,147090
1251.63,148834
1255.14,149829
1258.64,151206
1262.14,153268
1265.63,155138
1269.12,156478
1272.6,158624
1276.08,160149
1279.56,162029
1284.18,163670
1287.65,165058
1291.11,166158
1294.56,167268
1298.01,168159
1301.46,168555
1304.9,169720
1308.34,169674
1311.77,169830
1316.34,169796
1319.77,169414
1323.19,169778
1326.6,168656
1330.01,168224
1333.42,167634
1336.82,166420
1340.21,164947
1343.61,163059
1346.99,161918
1351.5,158751
1354.88,156459
1358.25,153901
1361.62,152582
1364.99,150745
1368.34,149110
1371.7,147899
1375.05,146496
1378.4,143369
1381.74,139966
1386.19,136419
1389.52,134156
1392.85,131603
1396.17,129218
1399.49,126726
1402.8,124865
1406.11,122785
1409.41,120255
1412.72,118026
1417.11,114414
1420.4,112163
1423.68,110380
1426.97,107751
1430.24,106016
1433.52,104120
1436.78,102770
1440.05,102221
1443.31,100952
1446.56,99894
1450.89,98788
1454.14,97408
1457.38,97087
1460.61,96637
1463.84,95480
1467.07,95247
1470.29,93945
1473.51,93401
1476.72,93301
1479.93,92046
1484.2,91230
1487.4,90066
1490.6,89405
1493.79,88581
1496.97,87651
1500.15,87132
1503.33,86533
1506.5,85677
1509.67,85435
1513.88,83778
1517.04,83064
1520.19,82645
1523.34,82277
1526.49,81555
1529.63,80784
1532.76,79983
1535.89,79009
1539.02,77890
1542.14,77109
1546.29,75884
1549.41,74395
1552.51,73295
1555.61,72336
1558.71,71012
1561.81,70071
1564.9,68360
1567.98,67400
1571.06,66056
1574.14,64566
1578.23,62943
1581.3,62199
1584.36,61212
1587.41,60572
1590.47,59524
1593.51,57915
1596.56,57034
1599.6,55795
1602.63,54881
1606.67,53334
1609.69,52511
1612.71,51258
1615.73,50344
1618.74,49516
1621.75,48384
1624.75,46903
1627.75,46096
1630.74,45111
1633.73,43891
1637.71,42075
1640.68,40777
1643.66,39903
1646.63,38545
1649.59,37540
1652.55,36378
1655.51,34782
1658.46,33834
1661.41,31773
1664.35,30098
1668.27,26750
1671.2,24615
1674.13,22034
1677.05,18880
1679.97,16060
1682.89,13888
1685.8,11709
1688.7,9712
1691.61,8293
1694.5,7142
1698.36,6105
1701.25,4645
