x,y
340,0
341.771,13183
343.542,13129
345.312,11429
347.083,11342
348.854,11297
350.625,11694
352.396,11344
354.167,11292
355.938,11501
357.708,11258
359.479,11456
361.25,11220
363.021,11239
364.792,11503
366.562,11322
368.333,11448
370.104,11571
371.875,11229
373.646,11493
375.417,11348
377.188,11366
378.958,11367
380.729,11229
382.5,11363
384.271,11574
386.042,11631
387.812,11619
389.583,11629
391.354,11673
393.125,11698
394.896,11445
396.667,11439
398.438,11871
400.208,12936
401.979,14733
403.75,17165
405.521,19095
407.292,20513
409.062,22212
410.833,23596
412.604,24897
414.375,25485
416.146,26806
417.917,27594
419.688,28054
421.458,28468
423.229,29263
425,29787
426.771,30268
428.542,30163
430.312,30988
432.083,31408
433.854,31625
435.625,31914
437.396,32265
439.167,32546
440.938,33065
442.708,32912
444.479,33052
446.25,33137
448.021,33673
449.792,33464
451.562,33622
453.333,33676
455.104,34079
456.875,33841
458.646,33871
460.417,33802
462.188,33541
463.958,33538
465.729,32966
467.5,32878
469.271,33074
471.042,32275
472.812,32603
474.583,32734
476.354,32854
478.125,32879
479.896,32976
481.667,32492
483.438,32498
485.208,32712
486.979,32888
488.75,33281
490.521,33350
492.292,34195
494.062,34227
495.833,34590
497.604,35090
499.375,34622
501.146,34339
502.917,33873
504.688,33239
506.458,32534
508.229,32021
510,31117
511.771,30471
513.542,29656
515.312,28992
517.083,28384
518.854,27789
520.625,27193
522.396,26261
524.167,25398
525.938,24568
527.708,23892
529.479,23437
531.25,22732
533.021,22303
534.792,21945
536.562,21162
538.333,21067
540.104,21066
541.875,20531
543.646,20652
545.417,20155
547.188,20145
548.958,19632
550.729,19460
552.5,18925
554.271,18759
556.042,18400
557.812,18060
559.583,17835
561.354,17543
563.125,17227
564.896,17174
566.667,16920
568.438,16673
570.208,16040
571.979,16094
573.75,15769
575.521,15497
577.292,15475
579.062,15004
580.833,14799
582.604,14787
584.375,14357
586.146,14221
587.917,14071
589.688,13915
591.458,13974
593.229,13623
595,13611
596.771,13455
598.542,13174
600.312,13382
602.083,13264
603.854,13097
605.625,13003
607.396,12886
609.167,13007
610.938,12995
612.708,12778
614.479,13011
616.25,12628
618.021,12666
619.792,12603
621.562,12613
623.333,12602
625.104,12523
626.875,12383
628.646,12461
630.417,12350
632.188,12231
633.958,12303
635.729,12127
637.5,12165
639.271,12017
641.042,11793
642.812,11955
644.583,11848
646.354,11943
648.125,12033
649.896,11914
651.667,11983
653.438,11907
655.208,11783
656.979,11942
658.75,11682
660.521,11715
662.292,11921
664.062,11641
665.833,11737
667.604,11774
669.375,11593
671.146,11675
672.917,11665
674.688,11622
676.458,11607
678.229,11538
680,11532
681.771,11729
683.542,11417
685.312,11605
687.083,11473
688.854,11524
690.625,11588
692.396,11571
694.167,11525
695.938,11633
697.708,11389
699.479,11732
701.25,11352
703.021,11519
704.792,11456
706.562,11366
708.333,11444
710.104,11577
711.875,11301
713.646,11672
715.417,11318
717.188,11269
718.958,11598
720.729,11488
722.5,11496
724.271,11538
726.042,11184
727.812,11586
729.583,11325
731.354,11458
733.125,11418
734.896,11448
736.667,11497
738.438,11552
740.208,11205
741.979,11437
743.75,11308
745.521,11435
747.292,11507
749.062,11278
750.833,11377
752.604,11497
754.375,11223
756.146,11522
757.917,11373
759.688,11351
761.458,11487
763.229,11292
765,11501
766.771,11501
768.542,11246
770.312,11595
772.083,11368
773.854,11340
775.625,11514
777.396,11273
779.167,11343
780.938,11506
782.708,11197
784.479,11485
786.25,11347
788.021,11320
789.792,11645
791.562,11339
793.333,11438
795.104,11432
796.875,11158
798.646,11391
800.417,11446
802.188,11450
803.958,11681
805.729,11328
807.5,11544
809.271,11569
811.042,11247
812.812,11478
814.583,11285
816.354,11421
818.125,11650
819.896,11281
821.667,11443
823.438,11394
825.208,11385
826.979,11513
828.75,11490
830.521,11413
832.292,11538
834.062,11320
835.833,11474
837.604,11500
839.375,11378
841.146,11492
842.917,11387
844.688,11528
846.458,11751
848.229,11379
