x,y
340,0
341.771,13228
343.542,13144
345.312,11463
347.083,11527
348.854,11383
350.625,11653
352.396,11351
354.167,11302
355.938,11511
357.708,11211
359.479,11508
361.25,11274
363.021,11373
364.792,11589
366.562,11329
368.333,11476
370.104,11645
371.875,11286
373.646,11444
375.417,11389
377.188,11368
378.958,11499
380.729,11305
382.5,11396
384.271,11588
386.042,11607
387.812,11619
389.583,11654
391.354,11668
393.125,11741
394.896,11539
396.667,11537
398.438,11803
400.208,12636
401.979,14200
403.75,16021
405.521,18247
407.292,19765
409.062,21148
410.833,22322
412.604,23412
414.375,23925
416.146,25018
417.917,25932
419.688,26422
421.458,26805
423.229,27431
425,27992
426.771,28405
428.542,28909
430.312,29640
432.083,29777
433.854,30402
435.625,30677
437.396,30964
439.167,31491
440.938,31712
442.708,31734
444.479,32035
446.25,32401
448.021,32492
449.792,32571
451.562,32673
453.333,33269
455.104,33452
456.875,33285
458.646,33132
460.417,32750
462.188,32680
463.958,32183
465.729,31444
467.5,30758
469.271,30813
471.042,30490
472.812,30214
474.583,30335
476.354,30213
478.125,30418
479.896,30436
481.667,30270
483.438,30167
485.208,30298
486.979,30806
488.75,31118
490.521,31480
492.292,32271
494.062,32654
495.833,32783
497.604,32928
499.375,33060
501.146,33111
502.917,32162
504.688,31717
506.458,31289
508.229,30754
510,30092
511.771,29449
513.542,28691
515.312,28294
517.083,27645
518.854,26964
520.625,26363
522.396,25760
524.167,24960
525.938,24128
527.708,23400
529.479,23158
531.25,22584
533.021,22325
534.792,21706
536.562,21024
538.333,21012
540.104,20746
541.875,20006
543.646,19886
545.417,19280
547.188,19036
548.958,18534
550.729,18446
552.5,17994
554.271,17595
556.042,17407
557.812,17181
559.583,17107
561.354,16957
563.125,16940
564.896,16595
566.667,16535
568.438,16454
570.208,16027
571.979,15885
573.75,15675
575.521,15250
577.292,15265
579.062,15011
580.833,14811
582.604,14740
584.375,14371
586.146,14476
587.917,14200
589.688,14147
591.458,14074
593.229,13592
595,13662
596.771,13724
598.542,13295
600.312,13446
602.083,13335
603.854,13168
605.625,13143
607.396,13127
609.167,13064
610.938,13047
612.708,12811
614.479,12984
616.25,12784
618.021,12771
619.792,12568
621.562,12571
623.333,12665
625.104,12534
626.875,12403
628.646,12478
630.417,12319
632.188,12141
633.958,12237
635.729,12135
637.5,12088
639.271,12147
641.042,11837
642.812,12091
644.583,11927
646.354,11883
648.125,12105
649.896,11900
651.667,11950
653.438,11945
655.208,11759
656.979,11978
658.75,11795
660.521,11772
662.292,11911
664.062,11603
665.833,11786
667.604,11789
669.375,11608
671.146,11761
672.917,11690
674.688,11582
676.458,11670
678.229,11544
680,11500
681.771,11652
683.542,11412
685.312,11696
687.083,11413
688.854,11589
690.625,11546
692.396,11542
694.167,11590
695.938,11570
697.708,11404
699.479,11635
701.25,11429
703.021,11538
704.792,11540
706.562,11442
708.333,11474
710.104,11536
711.875,11266
713.646,11692
715.417,11503
717.188,11431
718.958,11673
720.729,11504
722.5,11489
724.271,11564
726.042,11353
727.812,11538
729.583,11410
731.354,11358
733.125,11359
734.896,11317
736.667,11478
738.438,11442
740.208,11265
741.979,11511
743.75,11342
745.521,11491
747.292,11611
749.062,11323
750.833,11401
752.604,11498
754.375,11326
756.146,11559
757.917,11393
759.688,11427
761.458,11459
763.229,11319
765,11451
766.771,11576
768.542,11283
770.312,11450
772.083,11472
773.854,11305
775.625,11605
777.396,11341
779.167,11373
780.938,11412
782.708,11272
784.479,11523
786.25,11438
788.021,11316
789.792,11594
791.562,11313
793.333,11401
795.104,11382
796.875,11360
798.646,11412
800.417,11403
802.188,11426
803.958,11602
805.729,11388
807.5,11447
809.271,11598
811.042,11289
812.812,11466
814.583,11282
816.354,11332
818.125,11634
819.896,11233
821.667,11501
823.438,11413
825.208,11403
826.979,11592
828.75,11520
830.521,11407
832.292,11554
834.062,11416
835.833,11488
837.604,11538
839.375,11414
841.146,11497
842.917,11507
844.688,11436
846.458,11629
848.229,11459
