x,y
340,0
341.771,13259
343.542,13170
345.312,11499
347.083,11441
348.854,11440
350.625,11667
352.396,11343
354.167,11373
355.938,11572
357.708,11328
359.479,11490
361.25,11404
363.021,11368
364.792,11591
366.562,11414
368.333,11500
370.104,11564
371.875,11323
373.646,11510
375.417,11477
377.188,11412
378.958,11515
380.729,11287
382.5,11324
384.271,11504
386.042,11405
387.812,11363
389.583,11376
391.354,11453
393.125,11596
394.896,11417
396.667,11392
398.438,11476
400.208,11447
401.979,11536
403.75,11513
405.521,11390
407.292,11613
409.062,11459
410.833,11391
412.604,11570
414.375,11248
416.146,11646
417.917,11537
419.688,11549
421.458,11783
423.229,11728
425,11928
426.771,12306
428.542,12537
430.312,13409
432.083,13993
433.854,15369
435.625,17463
437.396,20075
439.167,24213
440.938,28869
442.708,33352
444.479,36354
446.25,36661
448.021,34790
449.792,31844
451.562,30077
453.333,28995
455.104,27941
456.875,26745
458.646,25263
460.417,24176
462.188,23247
463.958,23115
465.729,22865
467.5,22922
469.271,23693
471.042,23603
472.812,23904
474.583,24657
476.354,25420
478.125,26252
479.896,27058
481.667,27671
483.438,28206
485.208,28938
486.979,30476
488.75,31418
490.521,32904
492.292,34388
494.062,36029
495.833,36806
497.604,38217
499.375,39195
501.146,40473
502.917,40726
504.688,41674
506.458,42657
508.229,43476
510,43931
511.771,44500
513.542,44606
515.312,45451
517.083,45659
518.854,45403
520.625,46094
522.396,46765
524.167,46878
525.938,46943
527.708,47344
529.479,48379
531.25,48454
533.021,48900
534.792,49088
536.562,49591
538.333,50224
540.104,51119
541.875,51200
543.646,51454
545.417,51276
547.188,52067
548.958,52367
550.729,52276
552.5,52176
554.271,52410
556.042,51957
557.812,52637
559.583,52026
561.354,51357
563.125,51384
564.896,51481
566.667,51149
568.438,49969
570.208,49659
571.979,49195
573.75,47963
575.521,47344
577.292,46556
579.062,45454
580.833,44904
582.604,43712
584.375,43017
586.146,41899
587.917,40792
589.688,39841
591.458,39255
593.229,37876
595,36627
596.771,35869
598.542,34511
600.312,33801
602.083,32996
603.854,31754
605.625,31044
607.396,30155
609.167,29397
610.938,28427
612.708,27651
614.479,26946
616.25,26090
618.021,25153
619.792,24350
621.562,23983
623.333,23422
625.104,22611
626.875,22059
628.646,21667
630.417,21242
632.188,20538
633.958,20264
635.729,19646
637.5,19267
639.271,18824
641.042,17994
642.812,18139
644.583,17514
646.354,17345
648.125,17227
649.896,16595
651.667,16459
653.438,16109
655.208,15916
656.979,15841
658.75,15370
660.521,15125
662.292,15115
664.062,14624
665.833,14589
667.604,14416
669.375,13919
671.146,14084
672.917,13935
674.688,13622
676.458,13642
678.229,13460
680,13363
681.771,13291
683.542,13019
685.312,13022
687.083,12811
688.854,12789
690.625,12763
692.396,12659
694.167,12562
695.938,12588
697.708,12361
699.479,12649
701.25,12250
703.021,12315
704.792,12278
706.562,12206
708.333,12074
710.104,12136
711.875,11882
713.646,12081
715.417,11977
717.188,11823
718.958,12063
720.729,11856
722.5,11848
724.271,11892
726.042,11647
727.812,11899
729.583,11677
731.354,11652
733.125,11694
734.896,11760
736.667,11737
738.438,11748
740.208,11519
741.979,11701
743.75,11507
745.521,11664
747.292,11768
749.062,11420
750.833,11587
752.604,11635
754.375,11500
756.146,11647
757.917,11518
759.688,11519
761.458,11537
763.229,11426
765,11598
766.771,11625
768.542,11433
770.312,11576
772.083,11519
773.854,11495
775.625,11520
777.396,11395
779.167,11519
780.938,11571
782.708,11417
784.479,11678
786.25,11436
788.021,11414
789.792,11662
791.562,11498
793.333,11475
795.104,11516
796.875,11331
798.646,11499
800.417,11532
802.188,11509
803.958,11717
805.729,11440
807.5,11496
809.271,11637
811.042,11460
812.812,11682
814.583,11332
816.354,11451
818.125,11672
819.896,11421
821.667,11579
823.438,11482
825.208,11424
826.979,11571
828.75,11492
830.521,11404
832.292,11574
834.062,11332
835.833,11569
837.604,11520
839.375,11420
841.146,11536
842.917,11478
844.688,11580
846.458,11659
848.229,11460
