x,y
340,0
341.771,13254
343.542,13123
345.312,11424
347.083,11495
348.854,11451
350.625,11613
352.396,11364
354.167,11385
355.938,11569
357.708,11362
359.479,11537
361.25,11275
363.021,11334
364.792,11583
366.562,11456
368.333,11429
370.104,11558
371.875,11338
373.646,11459
375.417,11505
377.188,11387
378.958,11596
380.729,11270
382.5,11341
384.271,11571
386.042,11332
387.812,11432
389.583,11396
391.354,11461
393.125,11612
394.896,11356
396.667,11400
398.438,11497
400.208,11424
401.979,11475
403.75,11486
405.521,11407
407.292,11528
409.062,11451
410.833,11420
412.604,11461
414.375,11224
416.146,11632
417.917,11464
419.688,11638
421.458,11751
423.229,11745
425,11912
426.771,12292
428.542,12446
430.312,13344
432.083,14072
433.854,15136
435.625,17154
437.396,19804
439.167,23766
440.938,28249
442.708,33371
444.479,36416
446.25,36761
448.021,34623
449.792,32509
451.562,30847
453.333,29212
455.104,28184
456.875,26839
458.646,25415
460.417,24143
462.188,23392
463.958,22983
465.729,22925
467.5,22912
469.271,23574
471.042,23539
472.812,24075
474.583,24409
476.354,25209
478.125,25773
479.896,26711
481.667,27278
483.438,27972
485.208,28865
486.979,29932
488.75,30976
490.521,32442
492.292,33959
494.062,35024
495.833,36242
497.604,38058
499.375,39000
501.146,40234
502.917,40626
504.688,41194
506.458,42160
508.229,42732
510,43155
511.771,44120
513.542,43769
515.312,44574
517.083,45346
518.854,45331
520.625,45713
522.396,46345
524.167,46650
525.938,46574
527.708,46972
529.479,48020
531.25,47954
533.021,48596
534.792,48908
536.562,49345
538.333,49826
540.104,50755
541.875,50637
543.646,51753
545.417,51102
547.188,51456
548.958,51789
550.729,51970
552.5,51929
554.271,51872
556.042,51306
557.812,51782
559.583,51586
561.354,51087
563.125,51241
564.896,50698
566.667,50537
568.438,49932
570.208,49418
571.979,48497
573.75,47563
575.521,47041
577.292,46462
579.062,45030
580.833,44481
582.604,43765
584.375,42699
586.146,41727
587.917,40253
589.688,39559
591.458,38501
593.229,37293
595,36765
596.771,35732
598.542,34471
600.312,33475
602.083,32653
603.854,31645
605.625,30691
607.396,30022
609.167,29177
610.938,28101
612.708,27340
614.479,26781
616.25,25664
618.021,25048
619.792,24652
621.562,23668
623.333,23255
625.104,22599
626.875,22013
628.646,21675
630.417,20922
632.188,20379
633.958,20088
635.729,19456
637.5,19196
639.271,18697
641.042,17996
642.812,17913
644.583,17484
646.354,17185
648.125,17097
649.896,16549
651.667,16435
653.438,16178
655.208,15678
656.979,15714
658.75,15272
660.521,15143
662.292,15011
664.062,14542
665.833,14669
667.604,14425
669.375,14079
671.146,14184
672.917,13934
674.688,13725
676.458,13648
678.229,13447
680,13296
681.771,13335
683.542,13014
685.312,13035
687.083,12964
688.854,12842
690.625,12945
692.396,12639
694.167,12519
695.938,12531
697.708,12297
699.479,12552
701.25,12279
703.021,12297
704.792,12325
706.562,12114
708.333,12079
710.104,12247
711.875,11861
713.646,12192
715.417,12029
717.188,11844
718.958,12006
720.729,11902
722.5,11844
724.271,11952
726.042,11637
727.812,11859
729.583,11637
731.354,11633
733.125,11728
734.896,11590
736.667,11682
738.438,11649
740.208,11556
741.979,11679
743.75,11505
745.521,11646
747.292,11691
749.062,11456
750.833,11595
752.604,11629
754.375,11453
756.146,11745
757.917,11593
759.688,11447
761.458,11566
763.229,11392
765,11439
766.771,11574
768.542,11377
770.312,11640
772.083,11464
773.854,11463
775.625,11612
777.396,11350
779.167,11463
780.938,11618
782.708,11381
784.479,11540
786.25,11515
788.021,11457
789.792,11666
791.562,11428
793.333,11517
795.104,11514
796.875,11358
798.646,11498
800.417,11504
802.188,11554
803.958,11757
805.729,11470
807.5,11537
809.271,11601
811.042,11391
812.812,11613
814.583,11330
816.354,11512
818.125,11681
819.896,11342
821.667,11542
823.438,11492
825.208,11383
826.979,11579
828.75,11552
830.521,11417
832.292,11567
834.062,11368
835.833,11494
837.604,11496
839.375,11418
841.146,11478
842.917,11415
844.688,11448
846.458,11655
848.229,11393
