x,y
900.989,27583
904.913,30825
908.832,33903
914.051,38300
917.96,42621
921.865,47797
925.765,54001
929.661,60693
933.553,67462
937.44,73783
941.322,80238
945.2,86289
949.074,91605
954.232,98745
958.095,103912
961.954,108455
965.809,112881
969.659,116483
973.505,118776
977.346,122244
981.182,123779
985.015,125019
990.118,124126
993.94,123721
997.757,123609
1001.57,123664
1005.38,123543
1009.18,123356
1012.98,122728
1016.78,123210
1020.57,123470
1024.36,124144
1029.4,124305
1033.17,124877
1036.95,125583
1040.71,126277
1044.48,126577
1048.23,127123
1051.99,128188
1055.74,127642
1059.48,128143
1063.22,127965
1068.2,128751
1071.93,128644
1075.66,128906
1079.38,129461
1083.1,129204
1086.81,129032
1090.52,129186
1094.22,129304
1097.92,128961
1102.85,128703
1106.54,128710
1110.22,128242
1113.9,128411
1117.58,127684
1121.25,127518
1124.92,127196
1128.58,127328
1132.24,127301
1135.89,126640
1140.76,126557
1144.4,126387
1148.04,126712
1151.67,126492
1155.3,126374
1158.93,126760
1162.55,126439
1166.16,127609
1169.78,127710
1173.38,128333
1178.19,129966
1181.79,130555
1185.38,132017
1188.97,133731
1192.55,135028
1196.13,136851
1199.71,138831
1203.28,141125
1206.84,142714
1211.59,146496
1215.15,148736
1218.7,151532
1222.25,153752
1225.79,156632
1229.33,158736
1232.86,161303
1236.39,163841
1239.92,165745
1243.44,167468
1248.12,169584
1251.63,171551
1255.14,172832
1258.64,174674
1262.14,175994
1265.63,178134
1269.12,180289
1272.6,181773
1276.08,183685
1279.56,185636
1284.18,187560
1287.65,188942
1291.11,189860
1294.56,191437
1298.01,191566
1301.46,192673
1304.9,193181
1308.34,193178
1311.77,193400
1316.34,193640
1319.77,193283
1323.19,192771
1326.6,192300
1330.01,191313
1333.42,190607
1336.82,189538
1340.21,187837
1343.61,185833
1346.99,184447
1351.5,181732
1354.88,178622
1358.25,176284
1361.62,174196
1364.99,172610
1368.34,171340
1371.7,169713
1375.05,167533
1378.4,164837
1381.74,161460
1386.19,156975
1389.52,153465
1392.85,151209
1396.17,148272
1399.49,146252
1402.8,143447
1406.11,141043
1409.41,138203
1412.72,135603
1417.11,131483
1420.4,128510
1423.68,126186
1426.97,123636
1430.24,121366
1433.52,119409
1436.78,118379
1440.05,116967
1443.31,115941
1446.56,114682
1450.89,113675
1454.14,112702
1457.38,112566
1460.61,111661
1463.84,110595
1467.07,110082
1470.29,109316
1473.51,108714
1476.72,108065
1479.93,107163
1484.2,106399
1487.4,105231
1490.6,104547
1493.79,104192
1496.97,102999
1500.15,102216
1503.33,101809
1506.5,100260
1509.67,99503
1513.88,98877
1517.04,97919
1520.19,97120
1523.34,96543
1526.49,95245
1529.63,94293
1532.76,93859
1535.89,92669
1539.02,91493
1542.14,90666
1546.29,88940
1549.41,87011
1552.51,85496
1555.61,84349
1558.71,83125
1561.81,81580
1564.9,80480
1567.98,78816
1571.06,76625
1574.14,75930
1578.23,73773
1581.3,72293
1584.36,71355
1587.41,70000
1590.47,68897
1593.51,67423
1596.56,66427
1599.6,65005
1602.63,64270
1606.67,62286
1609.69,60908
1612.71,59882
1615.73,59270
1618.74,57630
1621.75,56302
1624.75,55322
1627.75,53851
1630.74,52499
1633.73,51233
1637.71,49020
1640.68,48254
1643.66,46565
1646.63,45578
1649.59,43516
1652.55,41702
1655.51,40353
1658.46,38593
1661.41,36608
1664.35,34191
1668.27,30294
1671.2,27067
1674.13,23649
1677.05,20520
1679.97,17677
1682.89,14603
1685.8,12255
1688.7,10713
1691.61,8830
1694.5,7728
1698.36,5927
1701.25,5359
