x,y
900.989,27337
904.913,30690
908.832,33819
914.051,38270
917.96,42955
921.865,47726
925.765,53618
929.661,59981
933.553,66593
937.44,73048
941.322,79500
945.2,85404
949.074,91285
954.232,98322
958.095,103183
961.954,107755
965.809,112454
969.659,115886
973.505,118774
977.346,121433
981.182,123457
985.015,124332
990.118,124158
993.94,124120
997.757,123608
1001.57,123564
1005.38,123146
1009.18,123230
1012.98,123173
1016.78,123533
1020.57,124270
1024.36,124171
1029.4,124126
1033.17,125213
1036.95,125250
1040.71,125999
1044.48,126588
1048.23,127308
1051.99,127506
1055.74,127976
1059.48,128323
1063.22,128701
1068.2,128769
1071.93,128880
1075.66,128702
1079.38,129416
1083.1,129247
1086.81,129505
1090.52,129126
1094.22,129157
1097.92,128959
1102.85,128853
1106.54,128124
1110.22,127819
1113.9,128194
1117.58,127135
1121.25,127023
1124.92,127736
1128.58,126806
1132.24,126505
1135.89,126718
1140.76,126606
1144.4,125990
1148.04,126258
1151.67,126211
1155.3,126875
1158.93,126673
1162.55,126619
1166.16,127368
1169.78,127718
1173.38,128280
1178.19,129391
1181.79,130750
1185.38,130257
1188.97,133359
1192.55,134670
1196.13,137045
1199.71,138932
1203.28,140850
1206.84,143173
1211.59,146389
1215.15,148495
1218.7,151351
1222.25,153650
1225.79,156132
1229.33,158548
1232.86,160940
1236.39,163399
1239.92,165719
1243.44,168024
1248.12,170288
1251.63,171400
1255.14,173021
1258.64,174197
1262.14,176530
1265.63,178258
1269.12,180525
1272.6,182585
1276.08,184293
1279.56,185960
1284.18,188063
1287.65,189181
1291.11,190559
1294.56,191622
1298.01,192295
1301.46,193015
1304.9,193822
1308.34,194237
1311.77,194536
1316.34,194441
1319.77,194142
1323.19,193672
1326.6,193061
1330.01,192536
1333.42,191179
1336.82,190395
1340.21,188641
1343.61,186920
1346.99,185522
1351.5,182156
1354.88,179890
1358.25,177318
1361.62,174816
1364.99,173435
1368.34,172334
1371.7,170780
1375.05,168710
1378.4,165358
1381.74,162546
1386.19,157850
1389.52,155145
1392.85,152243
1396.17,149738
1399.49,147156
1402.8,144350
1406.11,142205
1409.41,138828
1412.72,135929
1417.11,132462
1420.4,130067
1423.68,127490
1426.97,124923
1430.24,122884
1433.52,121130
1436.78,119191
1440.05,117734
1443.31,116741
1446.56,116285
1450.89,114666
1454.14,113833
1457.38,113363
1460.61,112899
1463.84,112194
1467.07,111505
1470.29,110398
1473.51,109451
1476.72,109366
1479.93,108461
1484.2,107720
1487.4,106920
1490.6,105880
1493.79,104942
1496.97,104197
1500.15,103609
1503.33,102779
1506.5,101696
1509.67,101183
1513.88,100001
1517.04,99125
1520.19,98338
1523.34,97204
1526.49,96925
1529.63,95789
1532.76,94648
1535.89,93624
1539.02,92282
1542.14,91167
1546.29,89165
1549.41,88129
1552.51,86868
1555.61,85565
1558.71,83722
1561.81,82532
1564.9,80665
1567.98,79318
1571.06,77935
1574.14,76658
1578.23,74692
1581.3,73448
1584.36,72350
1587.41,70561
1590.47,69541
1593.51,67978
1596.56,66906
1599.6,65807
1602.63,64333
1606.67,62521
1609.69,62001
1612.71,60824
1615.73,59625
1618.74,57805
1621.75,56951
1624.75,55749
1627.75,54254
1630.74,53479
1633.73,51793
1637.71,49577
1640.68,48542
1643.66,47020
1646.63,45490
1649.59,44456
1652.55,42736
1655.51,40796
1658.46,39121
1661.41,37393
1664.35,34867
1668.27,31178
1671.2,28098
1674.13,24812
1677.05,21795
1679.97,18509
1682.89,15453
1685.8,12781
1688.7,11116
1691.61,9260
1694.5,7936
1698.36,6505
1701.25,5779
