x,y
340,0
341.771,13243
343.542,13168
345.312,11502
347.083,11468
348.854,11369
350.625,11646
352.396,11300
354.167,11411
355.938,11509
357.708,11323
359.479,11530
361.25,11315
363.021,11346
364.792,11524
366.562,11329
368.333,11488
370.104,11544
371.875,11352
373.646,11453
375.417,11479
377.188,11400
378.958,11446
380.729,11368
382.5,11364
384.271,11687
386.042,11743
387.812,11775
389.583,11909
391.354,11769
393.125,11859
394.896,11563
396.667,11650
398.438,12010
400.208,13198
401.979,15663
403.75,18791
405.521,22099
407.292,25245
409.062,27389
410.833,29496
412.604,30990
414.375,32416
416.146,33642
417.917,34746
419.688,35313
421.458,35519
423.229,35915
425,36024
426.771,35933
428.542,35886
430.312,37036
432.083,37023
433.854,37323
435.625,37974
437.396,38046
439.167,38176
440.938,38776
442.708,38730
444.479,39181
446.25,39299
448.021,39587
449.792,39503
451.562,39478
453.333,40269
455.104,40288
456.875,40097
458.646,39685
460.417,39565
462.188,39450
463.958,39484
465.729,39052
467.5,39121
469.271,39952
471.042,39540
472.812,40468
474.583,41252
476.354,41615
478.125,42094
479.896,43217
481.667,43112
483.438,42750
485.208,43055
486.979,43658
488.75,44141
490.521,44550
492.292,45381
494.062,45662
495.833,46007
497.604,46189
499.375,45614
501.146,45634
502.917,44809
504.688,43551
506.458,42550
508.229,41857
510,41094
511.771,40632
513.542,38985
515.312,38325
517.083,37270
518.854,35750
520.625,34852
522.396,33764
524.167,32416
525.938,31363
527.708,30315
529.479,29804
531.25,28505
533.021,28153
534.792,27512
536.562,26830
538.333,25805
540.104,25529
541.875,24654
543.646,24096
545.417,23346
547.188,22557
548.958,22139
550.729,21462
552.5,20951
554.271,20485
556.042,19866
557.812,19765
559.583,19553
561.354,19009
563.125,19038
564.896,18777
566.667,18467
568.438,18062
570.208,17676
571.979,17562
573.75,17340
575.521,16875
577.292,16818
579.062,16334
580.833,16008
582.604,16085
584.375,15487
586.146,15477
587.917,15181
589.688,15082
591.458,15010
593.229,14585
595,14680
596.771,14367
598.542,14021
600.312,14112
602.083,13893
603.854,13744
605.625,13626
607.396,13366
609.167,13519
610.938,13608
612.708,13234
614.479,13368
616.25,13191
618.021,13243
619.792,13107
621.562,13039
623.333,12981
625.104,12922
626.875,12731
628.646,12856
630.417,12621
632.188,12505
633.958,12457
635.729,12379
637.5,12414
639.271,12346
641.042,11964
642.812,12215
644.583,12001
646.354,12103
648.125,12249
649.896,11948
651.667,12029
653.438,12001
655.208,11837
656.979,12121
658.75,11857
660.521,11949
662.292,12037
664.062,11676
665.833,11883
667.604,11891
669.375,11621
671.146,11881
672.917,11764
674.688,11653
676.458,11701
678.229,11572
680,11638
681.771,11860
683.542,11476
685.312,11690
687.083,11497
688.854,11554
690.625,11552
692.396,11482
694.167,11555
695.938,11641
697.708,11451
699.479,11742
701.25,11392
703.021,11522
704.792,11517
706.562,11367
708.333,11515
710.104,11596
711.875,11300
713.646,11705
715.417,11442
717.188,11356
718.958,11655
720.729,11505
722.5,11383
724.271,11545
726.042,11314
727.812,11504
729.583,11387
731.354,11468
733.125,11472
734.896,11397
736.667,11584
738.438,11508
740.208,11265
741.979,11474
743.75,11255
745.521,11395
747.292,11574
749.062,11267
750.833,11407
752.604,11419
754.375,11374
756.146,11642
757.917,11356
759.688,11407
761.458,11430
763.229,11238
765,11409
766.771,11500
768.542,11341
770.312,11472
772.083,11321
773.854,11362
775.625,11497
777.396,11346
779.167,11376
780.938,11422
782.708,11273
784.479,11433
786.25,11390
788.021,11391
789.792,11582
791.562,11295
793.333,11407
795.104,11455
796.875,11227
798.646,11450
800.417,11434
802.188,11399
803.958,11658
805.729,11399
807.5,11465
809.271,11602
811.042,11347
812.812,11476
814.583,11302
816.354,11438
818.125,11685
819.896,11270
821.667,11523
823.438,11391
825.208,11299
826.979,11579
828.75,11510
830.521,11427
832.292,11591
834.062,11440
835.833,11469
837.604,11534
839.375,11449
841.146,11512
842.917,11417
844.688,11426
846.458,11716
848.229,11365
