x,y
340,0
341.771,13203
343.542,13147
345.312,11446
347.083,11494
348.854,11389
350.625,11676
352.396,11409
354.167,11352
355.938,11507
357.708,11304
359.479,11571
361.25,11280
363.021,11342
364.792,11579
366.562,11355
368.333,11485
370.104,11553
371.875,11249
373.646,11467
375.417,11475
377.188,11364
378.958,11438
380.729,11324
382.5,11413
384.271,11571
386.042,11703
387.812,11842
389.583,11833
391.354,11741
393.125,11814
394.896,11539
396.667,11547
398.438,12049
400.208,13427
401.979,16238
403.75,19336
405.521,22637
407.292,25241
409.062,27489
410.833,29580
412.604,31402
414.375,32566
416.146,34333
417.917,35235
419.688,35523
421.458,36073
423.229,36400
425,36491
426.771,36751
428.542,36838
430.312,37185
432.083,37040
433.854,37692
435.625,37931
437.396,38244
439.167,38425
440.938,38425
442.708,38422
444.479,38925
446.25,39034
448.021,39236
449.792,39649
451.562,39246
453.333,39864
455.104,39909
456.875,39688
458.646,39483
460.417,39072
462.188,39471
463.958,39097
465.729,38764
467.5,39273
469.271,39948
471.042,40197
472.812,41103
474.583,42042
476.354,42726
478.125,43444
479.896,44472
481.667,43966
483.438,43982
485.208,43963
486.979,44609
488.75,45095
490.521,45370
492.292,46086
494.062,46436
495.833,46543
497.604,46573
499.375,46329
501.146,45676
502.917,45121
504.688,44183
506.458,43123
508.229,42112
510,40833
511.771,40048
513.542,38928
515.312,37983
517.083,37104
518.854,35861
520.625,35155
522.396,33885
524.167,32623
525.938,31329
527.708,30016
529.479,29442
531.25,28457
533.021,27749
534.792,27204
536.562,26071
538.333,25465
540.104,25164
541.875,24275
543.646,23815
545.417,23352
547.188,22949
548.958,22475
550.729,22010
552.5,21745
554.271,21494
556.042,20856
557.812,20409
559.583,20234
561.354,19685
563.125,19617
564.896,19314
566.667,18692
568.438,18513
570.208,17972
571.979,17906
573.75,17483
575.521,17072
577.292,16927
579.062,16474
580.833,16150
582.604,16004
584.375,15735
586.146,15646
587.917,15091
589.688,14989
591.458,14939
593.229,14404
595,14403
596.771,14257
598.542,13951
600.312,13998
602.083,13897
603.854,13668
605.625,13714
607.396,13485
609.167,13417
610.938,13354
612.708,13311
614.479,13382
616.25,13169
618.021,13139
619.792,13042
621.562,12901
623.333,13012
625.104,12848
626.875,12631
628.646,12746
630.417,12560
632.188,12455
633.958,12651
635.729,12444
637.5,12328
639.271,12150
641.042,11981
642.812,12265
644.583,12039
646.354,11952
648.125,12189
649.896,11981
651.667,12030
653.438,12061
655.208,11869
656.979,11975
658.75,11836
660.521,11825
662.292,12017
664.062,11695
665.833,11784
667.604,11903
669.375,11653
671.146,11868
672.917,11725
674.688,11601
676.458,11702
678.229,11572
680,11538
681.771,11718
683.542,11399
685.312,11621
687.083,11509
688.854,11587
690.625,11547
692.396,11546
694.167,11575
695.938,11587
697.708,11511
699.479,11621
701.25,11421
703.021,11589
704.792,11603
706.562,11391
708.333,11472
710.104,11585
711.875,11277
713.646,11633
715.417,11369
717.188,11371
718.958,11576
720.729,11455
722.5,11515
724.271,11553
726.042,11325
727.812,11598
729.583,11353
731.354,11358
733.125,11381
734.896,11457
736.667,11555
738.438,11495
740.208,11326
741.979,11448
743.75,11326
745.521,11404
747.292,11580
749.062,11294
750.833,11449
752.604,11515
754.375,11339
756.146,11554
757.917,11385
759.688,11401
761.458,11457
763.229,11261
765,11427
766.771,11547
768.542,11383
770.312,11522
772.083,11420
773.854,11362
775.625,11615
777.396,11309
779.167,11424
780.938,11475
782.708,11294
784.479,11492
786.25,11386
788.021,11357
789.792,11656
791.562,11309
793.333,11421
795.104,11378
796.875,11261
798.646,11431
800.417,11403
802.188,11440
803.958,11590
805.729,11371
807.5,11380
809.271,11634
811.042,11332
812.812,11482
814.583,11402
816.354,11504
818.125,11708
819.896,11302
821.667,11549
823.438,11378
825.208,11409
826.979,11485
828.75,11523
830.521,11387
832.292,11575
834.062,11509
835.833,11467
837.604,11523
839.375,11389
841.146,11492
842.917,11472
844.688,11542
846.458,11651
848.229,11324
