x,y
340,0
341.771,13242
343.542,13105
345.312,11479
347.083,11490
348.854,11392
350.625,11565
352.396,11413
354.167,11376
355.938,11488
357.708,11261
359.479,11601
361.25,11337
363.021,11396
364.792,11621
366.562,11461
368.333,11510
370.104,11599
371.875,11303
373.646,11474
375.417,11537
377.188,11445
378.958,11475
380.729,11284
382.5,11397
384.271,11549
386.042,11354
387.812,11472
389.583,11385
391.354,11439
393.125,11504
394.896,11457
396.667,11470
398.438,11518
400.208,11375
401.979,11544
403.75,11513
405.521,11442
407.292,11546
409.062,11468
410.833,11533
412.604,11564
414.375,11329
416.146,11674
417.917,11587
419.688,11671
421.458,11807
423.229,11907
425,12177
426.771,12576
428.542,12979
430.312,14112
432.083,14976
433.854,16583
435.625,19148
437.396,23016
439.167,28450
440.938,35306
442.708,41150
444.479,45180
446.25,45868
448.021,43170
449.792,39718
451.562,36626
453.333,35143
455.104,33803
456.875,31817
458.646,29542
460.417,28207
462.188,27120
463.958,26712
465.729,26472
467.5,26748
469.271,27612
471.042,27764
472.812,28123
474.583,28868
476.354,29644
478.125,30599
479.896,31479
481.667,32334
483.438,33015
485.208,33542
486.979,34823
488.75,35921
490.521,37103
492.292,39114
494.062,40190
495.833,41524
497.604,43198
499.375,43897
501.146,45188
502.917,45463
504.688,46390
506.458,46614
508.229,47503
510,48233
511.771,49080
513.542,48771
515.312,49525
517.083,50215
518.854,50070
520.625,51233
522.396,50763
524.167,51178
525.938,51016
527.708,51249
529.479,52403
531.25,51937
533.021,52969
534.792,53417
536.562,53648
538.333,53703
540.104,54616
541.875,54414
543.646,55410
545.417,55233
547.188,55678
548.958,55419
550.729,55344
552.5,55360
554.271,55344
556.042,55489
557.812,55205
559.583,55128
561.354,54665
563.125,54669
564.896,54323
566.667,53895
568.438,52725
570.208,52565
571.979,51799
573.75,51126
575.521,49905
577.292,49292
579.062,47944
580.833,47172
582.604,46236
584.375,45290
586.146,44257
587.917,42920
589.688,41827
591.458,40883
593.229,39615
595,38522
596.771,37715
598.542,35829
600.312,35025
602.083,34009
603.854,32779
605.625,32454
607.396,31081
609.167,30304
610.938,29402
612.708,28190
614.479,27630
616.25,26669
618.021,25696
619.792,25111
621.562,24458
623.333,24106
625.104,23167
626.875,22412
628.646,22086
630.417,21611
632.188,20813
633.958,20517
635.729,20158
637.5,19780
639.271,19163
641.042,18466
642.812,18250
644.583,17888
646.354,17529
648.125,17370
649.896,16762
651.667,16649
653.438,16241
655.208,15874
656.979,15940
658.75,15463
660.521,15127
662.292,15192
664.062,14694
665.833,14723
667.604,14529
669.375,14260
671.146,14347
672.917,13892
674.688,13733
676.458,13739
678.229,13396
680,13412
681.771,13498
683.542,13009
685.312,13100
687.083,12956
688.854,12906
690.625,12862
692.396,12799
694.167,12618
695.938,12607
697.708,12407
699.479,12624
701.25,12244
703.021,12352
704.792,12307
706.562,12061
708.333,12100
710.104,12271
711.875,11879
713.646,12154
715.417,11928
717.188,11770
718.958,12138
720.729,11858
722.5,11880
724.271,11939
726.042,11730
727.812,11874
729.583,11721
731.354,11730
733.125,11763
734.896,11638
736.667,11774
738.438,11731
740.208,11499
741.979,11622
743.75,11530
745.521,11611
747.292,11743
749.062,11525
750.833,11589
752.604,11685
754.375,11409
756.146,11639
757.917,11561
759.688,11564
761.458,11574
763.229,11425
765,11488
766.771,11629
768.542,11409
770.312,11606
772.083,11542
773.854,11476
775.625,11589
777.396,11387
779.167,11493
780.938,11621
782.708,11468
784.479,11648
786.25,11474
788.021,11411
789.792,11790
791.562,11451
793.333,11475
795.104,11547
796.875,11326
798.646,11467
800.417,11588
802.188,11515
803.958,11720
805.729,11364
807.5,11546
809.271,11626
811.042,11482
812.812,11609
814.583,11390
816.354,11446
818.125,11641
819.896,11331
821.667,11521
823.438,11477
825.208,11469
826.979,11530
828.75,11488
830.521,11425
832.292,11610
834.062,11398
835.833,11411
837.604,11472
839.375,11346
841.146,11493
842.917,11433
844.688,11495
846.458,11681
848.229,11408
