x,y
340,0
341.771,13231
343.542,13142
345.312,11544
347.083,11546
348.854,11427
350.625,11658
352.396,11404
354.167,11484
355.938,11550
357.708,11395
359.479,11536
361.25,11375
363.021,11462
364.792,11640
366.562,11474
368.333,11561
370.104,11578
371.875,11374
373.646,11495
375.417,11559
377.188,11427
378.958,11544
380.729,11331
382.5,11425
384.271,11539
386.042,11428
387.812,11568
389.583,11408
391.354,11478
393.125,11651
394.896,11447
396.667,11377
398.438,11499
400.208,11478
401.979,11543
403.75,11543
405.521,11371
407.292,11587
409.062,11529
410.833,11502
412.604,11575
414.375,11434
416.146,11747
417.917,11540
419.688,11756
421.458,11838
423.229,11887
425,12074
426.771,12641
428.542,12938
430.312,14108
432.083,15093
433.854,16615
435.625,19516
437.396,22937
439.167,28357
440.938,35279
442.708,41001
444.479,45554
446.25,45988
448.021,43619
449.792,39863
451.562,36743
453.333,35236
455.104,34204
456.875,31998
458.646,30037
460.417,28256
462.188,27406
463.958,27008
465.729,26935
467.5,26955
469.271,27500
471.042,27902
472.812,28500
474.583,28976
476.354,29849
478.125,30651
479.896,31896
481.667,32383
483.438,33236
485.208,33425
486.979,34858
488.75,35783
490.521,37524
492.292,39183
494.062,40500
495.833,41684
497.604,43194
499.375,44017
501.146,45065
502.917,45309
504.688,46593
506.458,46973
508.229,47781
510,48496
511.771,48915
513.542,49514
515.312,49753
517.083,50395
518.854,50179
520.625,50477
522.396,50964
524.167,50888
525.938,51037
527.708,51419
529.479,52697
531.25,52457
533.021,53066
534.792,53405
536.562,53947
538.333,54194
540.104,54567
541.875,54601
543.646,55631
545.417,55046
547.188,55613
548.958,55838
550.729,55569
552.5,56318
554.271,55629
556.042,55196
557.812,55887
559.583,55111
561.354,54748
563.125,55178
564.896,54820
566.667,54531
568.438,52922
570.208,52529
571.979,51955
573.75,50639
575.521,50172
577.292,49456
579.062,48265
580.833,47270
582.604,46322
584.375,45615
586.146,44369
587.917,42922
589.688,41976
591.458,40719
593.229,39103
595,38622
596.771,38116
598.542,36523
600.312,35323
602.083,34375
603.854,33248
605.625,32409
607.396,31137
609.167,30452
610.938,29683
612.708,28507
614.479,27591
616.25,26736
618.021,26071
619.792,25291
621.562,24717
623.333,23775
625.104,23179
626.875,22614
628.646,22266
630.417,21618
632.188,21101
633.958,20833
635.729,20038
637.5,19652
639.271,19073
641.042,18374
642.812,18325
644.583,17813
646.354,17652
648.125,17393
649.896,16892
651.667,16679
653.438,16469
655.208,15924
656.979,15847
658.75,15525
660.521,15155
662.292,15276
664.062,14708
665.833,14778
667.604,14514
669.375,14342
671.146,14218
672.917,13998
674.688,13783
676.458,13715
678.229,13544
680,13352
681.771,13550
683.542,13115
685.312,13183
687.083,12962
688.854,12899
690.625,12833
692.396,12635
694.167,12602
695.938,12637
697.708,12390
699.479,12535
701.25,12279
703.021,12387
704.792,12313
706.562,12126
708.333,12090
710.104,12145
711.875,11852
713.646,12152
715.417,11980
717.188,11860
718.958,12116
720.729,11950
722.5,11890
724.271,12033
726.042,11639
727.812,12004
729.583,11736
731.354,11699
733.125,11796
734.896,11711
736.667,11777
738.438,11697
740.208,11627
741.979,11705
743.75,11572
745.521,11626
747.292,11729
749.062,11493
750.833,11539
752.604,11620
754.375,11512
756.146,11700
757.917,11563
759.688,11572
761.458,11599
763.229,11488
765,11585
766.771,11697
768.542,11444
770.312,11591
772.083,11525
773.854,11507
775.625,11643
777.396,11505
779.167,11479
780.938,11612
782.708,11423
784.479,11598
786.25,11523
788.021,11517
789.792,11741
791.562,11438
793.333,11502
795.104,11513
796.875,11303
798.646,11548
800.417,11541
802.188,11498
803.958,11729
805.729,11392
807.5,11591
809.271,11732
811.042,11392
812.812,11636
814.583,11382
816.354,11573
818.125,11637
819.896,11453
821.667,11493
823.438,11447
825.208,11401
826.979,11470
828.75,11527
830.521,11500
832.292,11549
834.062,11451
835.833,11495
837.604,11569
839.375,11475
841.146,11576
842.917,11404
844.688,11510
846.458,11672
848.229,11474
