x,y
900.989,25785
904.913,29063
908.832,31693
914.051,36022
917.96,39911
921.865,45071
925.765,50573
929.661,56259
933.553,62621
937.44,68941
941.322,75268
945.2,80538
949.074,86750
954.232,93033
958.095,98634
961.954,102517
965.809,106959
969.659,110358
973.505,112650
977.346,115359
981.182,117326
985.015,118490
990.118,118729
993.94,118201
997.757,118109
1001.57,118130
1005.38,118192
1009.18,117963
1012.98,117907
1016.78,117889
1020.57,118493
1024.36,118788
1029.4,118951
1033.17,120193
1036.95,120283
1040.71,121157
1044.48,121177
1048.23,122043
1051.99,122382
1055.74,122517
1059.48,123014
1063.22,122974
1068.2,123086
1071.93,122986
1075.66,123855
1079.38,123722
1083.1,123910
1086.81,123630
1090.52,123329
1094.22,123182
1097.92,123320
1102.85,122981
1106.54,121594
1110.22,121737
1113.9,121782
1117.58,121025
1121.25,120777
1124.92,120443
1128.58,120293
1132.24,119990
1135.89,119683
1140.76,119221
1144.4,118442
1148.04,118045
1151.67,118082
1155.3,118065
1158.93,117598
1162.55,118085
1166.16,118355
1169.78,118169
1173.38,118743
1178.19,119464
1181.79,119644
1185.38,120634
1188.97,122002
1192.55,123572
1196.13,125146
1199.71,126927
1203.28,128620
1206.84,131294
1211.59,134082
1215.15,136352
1218.7,139329
1222.25,141242
1225.79,143983
1229.33,145913
1232.86,148297
1236.39,150537
1239.92,152587
1243.44,154414
1248.12,157356
1251.63,159348
1255.14,160254
1258.64,161968
1262.14,163413
1265.63,165254
1269.12,167052
1272.6,169466
1276.08,171012
1279.56,172573
1284.18,174343
1287.65,175906
1291.11,177291
1294.56,178305
1298.01,178961
1301.46,179772
1304.9,180015
1308.34,180664
1311.77,180789
1316.34,180740
1319.77,180623
1323.19,179749
1326.6,179194
1330.01,178531
1333.42,176691
1336.82,175526
1340.21,174251
1343.61,172353
1346.99,170116
1351.5,166810
1354.88,164391
1358.25,162125
1361.62,159732
1364.99,157961
1368.34,156483
1371.7,154399
1375.05,152794
1378.4,149597
1381.74,146185
1386.19,141872
1389.52,138298
1392.85,135146
1396.17,132968
1399.49,130061
1402.8,127053
1406.11,123733
1409.41,120345
1412.72,117682
1417.11,113375
1420.4,109764
1423.68,107268
1426.97,104721
1430.24,102553
1433.52,100545
1436.78,98965
1440.05,97803
1443.31,96359
1446.56,95658
1450.89,94323
1454.14,93673
1457.38,93142
1460.61,92313
1463.84,91203
1467.07,91130
1470.29,90795
1473.51,89345
1476.72,88841
1479.93,88422
1484.2,87588
1487.4,86956
1490.6,86255
1493.79,85722
1496.97,85083
1500.15,85237
1503.33,84288
1506.5,83412
1509.67,82565
1513.88,81931
1517.04,81513
1520.19,80899
1523.34,80338
1526.49,79788
1529.63,79048
1532.76,78119
1535.89,77366
1539.02,76477
1542.14,75553
1546.29,74523
1549.41,73465
1552.51,72051
1555.61,70877
1558.71,69627
1561.81,68758
1564.9,67881
1567.98,66039
1571.06,65035
1574.14,63205
1578.23,62025
1581.3,61711
1584.36,60377
1587.41,59071
1590.47,57887
1593.51,57385
1596.56,56277
1599.6,55155
1602.63,54358
1606.67,53230
1609.69,52264
1612.71,50994
1615.73,50186
1618.74,49272
1621.75,48367
1624.75,47146
1627.75,46500
1630.74,44949
1633.73,44326
1637.71,42747
1640.68,41818
1643.66,40206
1646.63,39294
1649.59,37662
1652.55,36711
1655.51,35505
1658.46,33870
1661.41,31930
1664.35,29985
1668.27,27047
1671.2,24573
1674.13,21828
1677.05,18719
1679.97,15732
1682.89,13633
1685.8,11220
1688.7,9673
1691.61,8248
1694.5,6820
1698.36,6056
1701.25,4736
