x,y
900.989,25157
904.913,28370
908.832,31132
914.051,35192
917.96,38883
921.865,44141
925.765,49187
929.661,55382
933.553,61793
937.44,67823
941.322,74547
945.2,79923
949.074,85780
954.232,92095
958.095,97362
961.954,101789
965.809,105579
969.659,108888
973.505,112319
977.346,114450
981.182,116532
985.015,117995
990.118,117382
993.94,117152
997.757,116642
1001.57,116746
1005.38,116803
1009.18,116942
1012.98,116909
1016.78,117002
1020.57,117865
1024.36,117662
1029.4,118414
1033.17,118953
1036.95,119004
1040.71,119767
1044.48,120592
1048.23,120614
1051.99,121179
1055.74,121267
1059.48,122024
1063.22,121816
1068.2,122100
1071.93,121960
1075.66,122045
1079.38,122187
1083.1,122430
1086.81,122082
1090.52,121843
1094.22,121927
1097.92,121676
1102.85,121120
1106.54,121134
1110.22,120527
1113.9,120258
1117.58,119481
1121.25,119509
1124.92,119109
1128.58,118815
1132.24,118524
1135.89,118196
1140.76,117534
1144.4,117148
1148.04,116774
1151.67,116715
1155.3,116348
1158.93,116190
1162.55,116299
1166.16,116127
1169.78,116343
1173.38,117140
1178.19,117597
1181.79,118210
1185.38,119542
1188.97,121043
1192.55,122197
1196.13,123754
1199.71,125427
1203.28,126786
1206.84,129252
1211.59,132609
1215.15,134421
1218.7,137178
1222.25,139560
1225.79,142105
1229.33,144614
1232.86,146517
1236.39,149122
1239.92,150970
1243.44,152866
1248.12,155316
1251.63,156995
1255.14,157749
1258.64,158782
1262.14,161111
1265.63,163074
1269.12,164833
1272.6,166982
1276.08,168542
1279.56,170071
1284.18,172091
1287.65,173094
1291.11,174475
1294.56,175405
1298.01,176101
1301.46,177020
1304.9,177463
1308.34,177616
1311.77,177604
1316.34,177478
1319.77,177273
1323.19,176256
1326.6,175987
1330.01,174933
1333.42,173694
1336.82,172347
1340.21,170551
1343.61,169025
1346.99,167060
1351.5,163975
1354.88,160927
1358.25,158385
1361.62,155955
1364.99,154247
1368.34,152542
1371.7,151482
1375.05,149291
1378.4,146330
1381.74,143410
1386.19,138585
1389.52,135142
1392.85,132856
1396.17,129884
1399.49,126876
1402.8,123794
1406.11,121008
1409.41,117933
1412.72,114517
1417.11,110480
1420.4,107556
1423.68,104972
1426.97,101898
1430.24,99821
1433.52,97832
1436.78,96545
1440.05,95211
1443.31,93732
1446.56,92717
1450.89,91593
1454.14,91174
1457.38,90846
1460.61,90027
1463.84,88812
1467.07,88413
1470.29,88126
1473.51,87321
1476.72,87532
1479.93,86181
1484.2,85350
1487.4,84607
1490.6,84007
1493.79,83625
1496.97,83290
1500.15,82729
1503.33,82132
1506.5,81267
1509.67,80926
1513.88,80021
1517.04,79658
1520.19,79067
1523.34,78370
1526.49,77693
1529.63,77261
1532.76,76782
1535.89,75741
1539.02,74724
1542.14,74024
1546.29,72642
1549.41,72233
1552.51,70648
1555.61,69674
1558.71,68428
1561.81,67358
1564.9,66264
1567.98,64843
1571.06,63265
1574.14,62641
1578.23,60980
1581.3,59904
1584.36,58846
1587.41,58001
1590.47,57111
1593.51,56177
1596.56,55486
1599.6,54887
1602.63,53638
1606.67,52272
1609.69,51615
1612.71,51201
1615.73,49950
1618.74,49236
1621.75,47268
1624.75,46297
1627.75,45639
1630.74,44816
1633.73,43526
1637.71,41937
1640.68,41175
1643.66,39965
1646.63,38645
1649.59,37744
1652.55,36462
1655.51,35476
1658.46,33386
1661.41,31966
1664.35,29906
1668.27,27127
1671.2,24816
1674.13,21351
1677.05,19011
1679.97,16113
1682.89,13981
1685.8,11343
1688.7,9433
1691.61,8238
1694.5,7137
1698.36,5398
1701.25,5563
