x,y
340,0
341.771,13199
343.542,13155
345.312,11398
347.083,11485
348.854,11339
350.625,11712
352.396,11381
354.167,11345
355.938,11445
357.708,11328
359.479,11625
361.25,11345
363.021,11362
364.792,11526
366.562,11382
368.333,11439
370.104,11520
371.875,11361
373.646,11435
375.417,11536
377.188,11409
378.958,11465
380.729,11280
382.5,11418
384.271,11545
386.042,11664
387.812,11746
389.583,11753
391.354,11725
393.125,11805
394.896,11562
396.667,11666
398.438,12097
400.208,13542
401.979,16694
403.75,20425
405.521,24395
407.292,28311
409.062,31080
410.833,33920
412.604,36064
414.375,37781
416.146,40108
417.917,41229
419.688,42095
421.458,42894
423.229,43651
425,44356
426.771,44910
428.542,45795
430.312,46341
432.083,46938
433.854,47821
435.625,48901
437.396,48889
439.167,49651
440.938,50541
442.708,51050
444.479,51363
446.25,52787
448.021,52923
449.792,53594
451.562,54082
453.333,54343
455.104,54656
456.875,54008
458.646,54162
460.417,53113
462.188,52257
463.958,51937
465.729,51410
467.5,50785
469.271,50856
471.042,50129
472.812,49910
474.583,50220
476.354,50187
478.125,49810
479.896,50506
481.667,48895
483.438,48315
485.208,47870
486.979,47690
488.75,47639
490.521,47434
492.292,48139
494.062,47380
495.833,47018
497.604,47248
499.375,46402
501.146,45363
502.917,44050
504.688,43021
506.458,41867
508.229,41042
510,39702
511.771,38775
513.542,37773
515.312,36189
517.083,35561
518.854,34209
520.625,33219
522.396,31788
524.167,30620
525.938,29458
527.708,28478
529.479,28191
531.25,26884
533.021,26210
534.792,25744
536.562,24693
538.333,24011
540.104,23918
541.875,22912
543.646,22509
545.417,21863
547.188,21196
548.958,20921
550.729,20363
552.5,19951
554.271,19497
556.042,19149
557.812,18860
559.583,18693
561.354,18445
563.125,18230
564.896,18117
566.667,17819
568.438,17646
570.208,17091
571.979,16828
573.75,16606
575.521,16187
577.292,16221
579.062,15726
580.833,15510
582.604,15473
584.375,15024
586.146,15035
587.917,14553
589.688,14364
591.458,14397
593.229,13976
595,13938
596.771,13961
598.542,13497
600.312,13744
602.083,13522
603.854,13193
605.625,13447
607.396,13218
609.167,13226
610.938,13185
612.708,12954
614.479,13061
616.25,12968
618.021,12831
619.792,12869
621.562,12788
623.333,12642
625.104,12778
626.875,12479
628.646,12559
630.417,12324
632.188,12226
633.958,12477
635.729,12213
637.5,12184
639.271,12119
641.042,11861
642.812,12072
644.583,11899
646.354,11987
648.125,12069
649.896,11851
651.667,11943
653.438,11867
655.208,11751
656.979,11972
658.75,11768
660.521,11809
662.292,11861
664.062,11605
665.833,11800
667.604,11804
669.375,11519
671.146,11843
672.917,11611
674.688,11611
676.458,11611
678.229,11505
680,11520
681.771,11820
683.542,11491
685.312,11627
687.083,11582
688.854,11578
690.625,11583
692.396,11425
694.167,11544
695.938,11558
697.708,11471
699.479,11611
701.25,11377
703.021,11469
704.792,11526
706.562,11447
708.333,11446
710.104,11503
711.875,11265
713.646,11567
715.417,11360
717.188,11400
718.958,11581
720.729,11443
722.5,11438
724.271,11642
726.042,11246
727.812,11532
729.583,11362
731.354,11436
733.125,11409
734.896,11354
736.667,11418
738.438,11385
740.208,11280
741.979,11463
743.75,11283
745.521,11397
747.292,11528
749.062,11271
750.833,11324
752.604,11464
754.375,11282
756.146,11453
757.917,11332
759.688,11429
761.458,11423
763.229,11322
765,11446
766.771,11508
768.542,11314
770.312,11425
772.083,11439
773.854,11322
775.625,11523
777.396,11288
779.167,11391
780.938,11467
782.708,11239
784.479,11507
786.25,11414
788.021,11312
789.792,11576
791.562,11380
793.333,11403
795.104,11377
796.875,11167
798.646,11389
800.417,11409
802.188,11380
803.958,11670
805.729,11281
807.5,11414
809.271,11555
811.042,11378
812.812,11571
814.583,11311
816.354,11438
818.125,11588
819.896,11257
821.667,11522
823.438,11324
825.208,11326
826.979,11524
828.75,11492
830.521,11319
832.292,11446
834.062,11334
835.833,11431
837.604,11494
839.375,11411
841.146,11501
842.917,11467
844.688,11457
846.458,11606
848.229,11419
