x,y
340,0
341.771,13193
343.542,13152
345.312,11511
347.083,11537
348.854,11417
350.625,11707
352.396,11321
354.167,11479
355.938,11494
357.708,11335
359.479,11539
361.25,11367
363.021,11325
364.792,11635
366.562,11457
368.333,11516
370.104,11566
371.875,11295
373.646,11401
375.417,11459
377.188,11382
378.958,11544
380.729,11310
382.5,11560
384.271,11581
386.042,11731
387.812,11891
389.583,11641
391.354,11759
393.125,11807
394.896,11642
396.667,11598
398.438,12134
400.208,13642
401.979,16687
403.75,20589
405.521,24847
407.292,28504
409.062,31909
410.833,34581
412.604,36819
414.375,38513
416.146,40248
417.917,42282
419.688,43024
421.458,43557
423.229,44439
425,45265
426.771,45893
428.542,46520
430.312,47801
432.083,48214
433.854,49073
435.625,50155
437.396,50340
439.167,51397
440.938,52048
442.708,52546
444.479,53480
446.25,54685
448.021,55221
449.792,55821
451.562,55958
453.333,56889
455.104,56681
456.875,55729
458.646,56419
460.417,54714
462.188,54764
463.958,53693
465.729,52896
467.5,52254
469.271,52215
471.042,51425
472.812,50824
474.583,50575
476.354,50648
478.125,50632
479.896,50773
481.667,49707
483.438,49275
485.208,48367
486.979,48276
488.75,48123
490.521,48164
492.292,48426
494.062,48086
495.833,48038
497.604,47717
499.375,46720
501.146,46048
502.917,44876
504.688,43650
506.458,42507
508.229,41669
510,40185
511.771,39127
513.542,38085
515.312,36917
517.083,35767
518.854,34686
520.625,33576
522.396,32387
524.167,31387
525.938,29938
527.708,28746
529.479,28367
531.25,27493
533.021,26399
534.792,25994
536.562,25051
538.333,24489
540.104,24033
541.875,23309
543.646,22898
545.417,22048
547.188,21453
548.958,20972
550.729,20348
552.5,20089
554.271,19518
556.042,19171
557.812,18857
559.583,18575
561.354,18500
563.125,18248
564.896,17970
566.667,17754
568.438,17329
570.208,17022
571.979,16763
573.75,16681
575.521,16288
577.292,16108
579.062,15561
580.833,15465
582.604,15366
584.375,15067
586.146,14987
587.917,14618
589.688,14406
591.458,14499
593.229,14231
595,14086
596.771,13912
598.542,13663
600.312,13702
602.083,13569
603.854,13344
605.625,13397
607.396,13230
609.167,13284
610.938,13157
612.708,12927
614.479,13046
616.25,12826
618.021,12848
619.792,12868
621.562,12818
623.333,12748
625.104,12634
626.875,12502
628.646,12539
630.417,12332
632.188,12193
633.958,12420
635.729,12123
637.5,12233
639.271,12085
641.042,11833
642.812,12002
644.583,11933
646.354,11910
648.125,12073
649.896,11823
651.667,11965
653.438,11903
655.208,11791
656.979,11982
658.75,11661
660.521,11798
662.292,11896
664.062,11659
665.833,11907
667.604,11851
669.375,11571
671.146,11711
672.917,11764
674.688,11599
676.458,11539
678.229,11536
680,11529
681.771,11719
683.542,11509
685.312,11633
687.083,11491
688.854,11590
690.625,11538
692.396,11592
694.167,11491
695.938,11595
697.708,11411
699.479,11680
701.25,11425
703.021,11546
704.792,11487
706.562,11368
708.333,11326
710.104,11605
711.875,11326
713.646,11689
715.417,11398
717.188,11266
718.958,11635
720.729,11498
722.5,11431
724.271,11569
726.042,11334
727.812,11582
729.583,11393
731.354,11419
733.125,11341
734.896,11426
736.667,11553
738.438,11442
740.208,11301
741.979,11412
743.75,11328
745.521,11408
747.292,11630
749.062,11265
750.833,11354
752.604,11452
754.375,11325
756.146,11566
757.917,11383
759.688,11338
761.458,11433
763.229,11265
765,11387
766.771,11447
768.542,11386
770.312,11535
772.083,11362
773.854,11380
775.625,11548
777.396,11315
779.167,11366
780.938,11504
782.708,11267
784.479,11464
786.25,11323
788.021,11372
789.792,11555
791.562,11340
793.333,11411
795.104,11412
796.875,11231
798.646,11386
800.417,11518
802.188,11422
803.958,11585
805.729,11319
807.5,11479
809.271,11591
811.042,11319
812.812,11509
814.583,11329
816.354,11466
818.125,11631
819.896,11270
821.667,11509
823.438,11457
825.208,11446
826.979,11502
828.75,11444
830.521,11369
832.292,11611
834.062,11406
835.833,11469
837.604,11565
839.375,11433
841.146,11522
842.917,11436
844.688,11483
846.458,11682
848.229,11396
