x,y
340,0
341.771,13183
343.542,13143
345.312,11458
347.083,11504
348.854,11355
350.625,11598
352.396,11375
354.167,11405
355.938,11558
357.708,11358
359.479,11543
361.25,11412
363.021,11363
364.792,11578
366.562,11451
368.333,11433
370.104,11616
371.875,11298
373.646,11527
375.417,11565
377.188,11376
378.958,11488
380.729,11328
382.5,11384
384.271,11511
386.042,11384
387.812,11478
389.583,11293
391.354,11426
393.125,11594
394.896,11430
396.667,11373
398.438,11527
400.208,11407
401.979,11537
403.75,11516
405.521,11329
407.292,11588
409.062,11380
410.833,11529
412.604,11532
414.375,11341
416.146,11598
417.917,11640
419.688,11589
421.458,11778
423.229,11818
425,12116
426.771,12583
428.542,12761
430.312,13845
432.083,14705
433.854,16316
435.625,18687
437.396,22007
439.167,27048
440.938,33187
442.708,39148
444.479,42407
446.25,43270
448.021,40933
449.792,37610
451.562,35081
453.333,33571
455.104,32078
456.875,30711
458.646,28600
460.417,27072
462.188,25973
463.958,25686
465.729,25694
467.5,25905
469.271,26512
471.042,26670
472.812,27105
474.583,28177
476.354,28865
478.125,29634
479.896,30852
481.667,31365
483.438,32059
485.208,32659
486.979,33780
488.75,34865
490.521,36442
492.292,38015
494.062,39102
495.833,40239
497.604,41526
499.375,42600
501.146,43671
502.917,44235
504.688,44947
506.458,45083
508.229,45926
510,46713
511.771,47416
513.542,47409
515.312,48212
517.083,48361
518.854,48391
520.625,49175
522.396,49657
524.167,49374
525.938,49603
527.708,49735
529.479,50439
531.25,50660
533.021,51320
534.792,51551
536.562,52129
538.333,52752
540.104,52966
541.875,53727
543.646,53917
545.417,53520
547.188,53647
548.958,53652
550.729,53870
552.5,54321
554.271,54115
556.042,53718
557.812,53895
559.583,53730
561.354,53403
563.125,53303
564.896,53510
566.667,52959
568.438,51462
570.208,51267
571.979,50767
573.75,50098
575.521,48700
577.292,48023
579.062,46754
580.833,45954
582.604,45164
584.375,44117
586.146,42932
587.917,41976
589.688,41269
591.458,39784
593.229,38608
595,37747
596.771,36695
598.542,35318
600.312,34609
602.083,33767
603.854,32655
605.625,31757
607.396,30633
609.167,29823
610.938,28907
612.708,27910
614.479,27457
616.25,26366
618.021,25773
619.792,24998
621.562,24194
623.333,23611
625.104,23129
626.875,22404
628.646,21905
630.417,21593
632.188,20812
633.958,20214
635.729,19683
637.5,19510
639.271,18914
641.042,18259
642.812,18170
644.583,17698
646.354,17290
648.125,17239
649.896,16603
651.667,16597
653.438,16297
655.208,15878
656.979,15808
658.75,15310
660.521,15205
662.292,14949
664.062,14817
665.833,14665
667.604,14414
669.375,14163
671.146,14295
672.917,13972
674.688,13731
676.458,13662
678.229,13469
680,13420
681.771,13396
683.542,13082
685.312,13049
687.083,12915
688.854,12913
690.625,12756
692.396,12569
694.167,12644
695.938,12612
697.708,12389
699.479,12592
701.25,12276
703.021,12319
704.792,12370
706.562,12078
708.333,12122
710.104,12238
711.875,11927
713.646,12034
715.417,11955
717.188,11874
718.958,12057
720.729,11888
722.5,11961
724.271,12012
726.042,11685
727.812,11959
729.583,11609
731.354,11691
733.125,11721
734.896,11648
736.667,11730
738.438,11771
740.208,11544
741.979,11708
743.75,11453
745.521,11702
747.292,11676
749.062,11406
750.833,11553
752.604,11648
754.375,11475
756.146,11746
757.917,11568
759.688,11553
761.458,11610
763.229,11406
765,11466
766.771,11580
768.542,11441
770.312,11694
772.083,11438
773.854,11446
775.625,11671
777.396,11505
779.167,11487
780.938,11495
782.708,11350
784.479,11578
786.25,11521
788.021,11391
789.792,11685
791.562,11465
793.333,11539
795.104,11549
796.875,11369
798.646,11594
800.417,11475
802.188,11509
803.958,11789
805.729,11357
807.5,11523
809.271,11706
811.042,11388
812.812,11598
814.583,11439
816.354,11448
818.125,11625
819.896,11385
821.667,11575
823.438,11443
825.208,11418
826.979,11624
828.75,11508
830.521,11401
832.292,11567
834.062,11379
835.833,11414
837.604,11613
839.375,11469
841.146,11556
842.917,11486
844.688,11506
846.458,11636
848.229,11471
