x,y
340,0
341.771,13233
343.542,13155
345.312,11435
347.083,11461
348.854,11426
350.625,11626
352.396,11350
354.167,11445
355.938,11631
357.708,11374
359.479,11533
361.25,11411
363.021,11364
364.792,11561
366.562,11469
368.333,11587
370.104,11601
371.875,11229
373.646,11508
375.417,11487
377.188,11383
378.958,11592
380.729,11294
382.5,11391
384.271,11483
386.042,11375
387.812,11582
389.583,11327
391.354,11376
393.125,11636
394.896,11409
396.667,11421
398.438,11590
400.208,11540
401.979,11502
403.75,11492
405.521,11423
407.292,11544
409.062,11444
410.833,11496
412.604,11546
414.375,11346
416.146,11662
417.917,11558
419.688,11611
421.458,11818
423.229,11772
425,12021
426.771,12468
428.542,12758
430.312,13776
432.083,14682
433.854,16358
435.625,18670
437.396,21989
439.167,27177
440.938,33302
442.708,38701
444.479,42695
446.25,43122
448.021,40520
449.792,37565
451.562,35072
453.333,33454
455.104,32419
456.875,30611
458.646,28584
460.417,26883
462.188,26108
463.958,25872
465.729,25782
467.5,25838
469.271,26608
471.042,26808
472.812,27290
474.583,28006
476.354,28763
478.125,29865
479.896,30816
481.667,31258
483.438,31781
485.208,32810
486.979,33862
488.75,35110
490.521,36311
492.292,38249
494.062,39052
495.833,40254
497.604,41493
499.375,42779
501.146,43378
502.917,44058
504.688,44817
506.458,45390
508.229,46411
510,46594
511.771,47185
513.542,47332
515.312,47837
517.083,48733
518.854,48594
520.625,49072
522.396,49303
524.167,49674
525.938,49289
527.708,49804
529.479,51007
531.25,50697
533.021,51373
534.792,52080
536.562,51885
538.333,52382
540.104,52961
541.875,53008
543.646,53708
545.417,53415
547.188,53838
548.958,54249
550.729,54344
552.5,53724
554.271,53896
556.042,54037
557.812,53949
559.583,53669
561.354,53266
563.125,53187
564.896,53185
566.667,52923
568.438,51511
570.208,50935
571.979,50496
573.75,49540
575.521,48379
577.292,48056
579.062,47162
580.833,45791
582.604,45341
584.375,44095
586.146,43074
587.917,41818
589.688,41000
591.458,40111
593.229,38478
595,38075
596.771,36704
598.542,35494
600.312,34610
602.083,33782
603.854,32501
605.625,31816
607.396,30798
609.167,29506
610.938,28982
612.708,27815
614.479,27112
616.25,26201
618.021,25686
619.792,24835
621.562,24431
623.333,23602
625.104,22920
626.875,22413
628.646,21831
630.417,21631
632.188,20549
633.958,20392
635.729,19548
637.5,19651
639.271,19178
641.042,18192
642.812,18175
644.583,17656
646.354,17258
648.125,17325
649.896,16666
651.667,16524
653.438,16274
655.208,15786
656.979,15797
658.75,15369
660.521,15250
662.292,15137
664.062,14586
665.833,14524
667.604,14461
669.375,14210
671.146,14239
672.917,13987
674.688,13643
676.458,13720
678.229,13549
680,13351
681.771,13458
683.542,13046
685.312,13177
687.083,12992
688.854,12810
690.625,12805
692.396,12792
694.167,12577
695.938,12671
697.708,12380
699.479,12660
701.25,12204
703.021,12386
704.792,12289
706.562,12164
708.333,12144
710.104,12169
711.875,11831
713.646,12104
715.417,11989
717.188,11830
718.958,12111
720.729,11849
722.5,11915
724.271,11971
726.042,11620
727.812,11922
729.583,11698
731.354,11680
733.125,11834
734.896,11645
736.667,11721
738.438,11818
740.208,11612
741.979,11645
743.75,11472
745.521,11614
747.292,11789
749.062,11525
750.833,11599
752.604,11636
754.375,11434
756.146,11664
757.917,11532
759.688,11583
761.458,11535
763.229,11468
765,11554
766.771,11629
768.542,11452
770.312,11664
772.083,11545
773.854,11482
775.625,11587
777.396,11463
779.167,11482
780.938,11685
782.708,11411
784.479,11631
786.25,11605
788.021,11514
789.792,11660
791.562,11494
793.333,11558
795.104,11602
796.875,11407
798.646,11441
800.417,11567
802.188,11437
803.958,11780
805.729,11420
807.5,11489
809.271,11647
811.042,11433
812.812,11523
814.583,11315
816.354,11481
818.125,11608
819.896,11399
821.667,11538
823.438,11462
825.208,11465
826.979,11618
828.75,11513
830.521,11385
832.292,11612
834.062,11287
835.833,11515
837.604,11586
839.375,11420
841.146,11549
842.917,11466
844.688,11428
846.458,11679
848.229,11495
